"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.641666982E-3,-2.602787476E0,1.625020752E0,8.573122101E0
2.159866691E-2,-3.171305237E0,1.671723633E0,8.654852142E0
4.155566683E-2,-2.583777008E0,2.013762360E0,8.443791046E0
6.151366699E-2,-1.942211151E0,2.101479950E0,8.991801453E0
8.147066692E-2,-1.816023560E0,1.508113861E0,8.145012360E0
1.014286666E-1,-3.651506653E0,-2.080673218E-1,5.820645905E0
1.213856670E-1,-4.607119446E0,-2.784210205E-1,6.043233032E0
1.413426669E-1,-3.198997650E0,-4.519102478E-1,1.246862137E1
1.613006666E-1,1.567689972E0,1.931134186E0,1.137185211E1
1.812576670E-1,2.600991211E0,4.229305115E0,8.049211578E0
2.012156667E-1,1.103654938E0,6.595883789E0,7.477849731E0
2.211726666E-1,-1.610500946E0,4.741390228E0,7.525151367E0
2.411296670E-1,-2.096240845E0,3.038082275E0,7.717351685E0
2.610876667E-1,-1.181493073E0,1.054407349E0,7.635022888E0
2.810446667E-1,6.813830566E-1,-1.106798401E0,1.012494507E1
3.010026668E-1,7.078779602E-1,-9.675878906E-1,1.370160736E1
3.209596667E-1,-5.718109131E-2,1.028511200E0,1.233435059E1
3.409176669E-1,1.687890015E0,3.388353882E0,1.153710846E1
3.608746668E-1,2.279310150E0,4.464017029E0,9.286987610E0
3.808316668E-1,2.323767700E0,2.994223480E0,9.103618927E0
4.007896669E-1,1.584904175E0,1.797013092E0,9.892628174E0
4.207466668E-1,8.547225952E-2,2.798131256E0,7.389234009E0
4.407041669E-1,7.438032532E-1,4.077371063E0,5.632487183E0
4.606611668E-1,1.022373962E-1,5.366939392E0,1.904040527E0
4.806191670E-1,-1.042282562E0,5.558990021E0,6.021228790E0
5.005761669E-1,3.991300049E0,4.585414581E0,9.817783813E0
5.205331668E-1,1.846260681E0,3.758234711E0,9.232201538E0
5.404911670E-1,2.440375214E0,4.484374695E0,8.778644714E0
5.604481669E-1,1.773511963E0,2.863994293E0,6.982829132E0
5.804061666E-1,2.198178864E0,1.233435059E0,9.083111572E0
6.003631670E-1,4.044439545E0,1.011147308E0,1.023960663E1
6.203211667E-1,2.861898651E0,1.875449982E0,8.515791321E0
6.402781666E-1,1.139131165E0,1.061293030E0,7.093000031E0
6.602361668E-1,1.098116455E0,-1.658551025E-1,6.785090332E0
6.801931667E-1,2.793341217E0,-1.131497040E0,5.150040436E0
7.001501666E-1,3.357368317E0,-8.663983154E-1,3.949087830E0
7.201081668E-1,4.845423889E0,-2.247576141E0,6.043083344E0
7.400651667E-1,4.334685974E0,-1.647024994E0,8.174501038E0
7.600231669E-1,3.287463684E0,-3.757186890E-1,7.686366119E0
7.799801668E-1,3.471131744E0,-9.569599915E-1,7.323221283E0
7.999381670E-1,6.440656586E0,-2.775827637E0,8.007598114E0
8.198951669E-1,8.939859467E0,-3.182681580E0,6.213279419E0
8.398531666E-1,8.408913574E0,-2.846181335E0,6.444997559E0
8.598101670E-1,8.528215485E0,-2.474055176E0,8.475824432E0
8.797681667E-1,7.908653870E0,-2.477198639E0,8.889713745E0
8.997251666E-1,8.586294708E0,-3.214265900E0,8.650062103E0
9.196831668E-1,9.728419647E0,-3.562741241E0,8.667126617E0
9.396401667E-1,1.043779449E1,-3.583098907E0,8.378826141E0
9.595981669E-1,9.811945953E0,-3.361409912E0,9.546098785E0
9.795551668E-1,9.186097412E0,-3.218606873E0,9.319020996E0
9.995131670E-1,8.417445831E0,-3.110232239E0,8.616382141E0
1.019470167E0,8.778495026E0,-3.028053131E0,8.009244690E0
1.039427167E0,8.303682404E0,-3.236719208E0,7.260352020E0
1.059385167E0,8.154293060E0,-3.502416687E0,7.576793976E0
1.079342167E0,9.291328583E0,-3.863166504E0,7.466473389E0
1.099300167E0,1.043075912E1,-4.429888000E0,6.918163605E0
1.119257167E0,1.125464584E1,-4.532424774E0,6.230942688E0
1.139215167E0,1.048704208E1,-4.916825409E0,6.263574829E0
1.159172167E0,1.012913635E1,-5.297034760E0,6.272406464E0
1.179130167E0,1.064196991E1,-5.535189514E0,5.523214417E0
1.199088167E0,1.108729385E1,-6.170468445E0,5.084476776E0
1.219045167E0,1.098251175E1,-6.401587830E0,4.311484222E0
1.239002167E0,1.097188385E1,-5.815556488E0,4.186643829E0
1.258960167E0,1.023451721E1,-5.311255188E0,3.965403900E0
1.278918167E0,9.882599030E0,-5.209466858E0,3.685635681E0
1.298875167E0,9.337582397E0,-5.210514679E0,3.094215546E0
1.318833167E0,9.621242523E0,-4.798271942E0,2.224673767E0
1.338790167E0,9.385632477E0,-4.334536285E0,2.177372131E0
1.358748167E0,9.088949432E0,-3.503165131E0,2.758613434E0
1.378705167E0,8.090825043E0,-2.158661041E0,2.930905151E0
1.398663167E0,7.443870392E0,-1.645528107E0,2.687211914E0
1.418620167E0,7.546856232E0,-1.468596039E0,2.233206024E0
1.438578292E0,7.750881958E0,-1.072819061E0,1.737137604E0
1.458535292E0,6.663243713E0,-7.629634094E-1,1.820963287E0
1.478493292E0,6.678811340E0,-1.091679840E0,1.552421722E0
1.498450292E0,6.442602539E0,-1.475781097E0,7.658074951E-1
1.518408292E0,6.470444641E0,-2.365081787E0,5.763015747E-2
1.538365292E0,7.081324310E0,-2.860850830E0,-6.400689697E-1
1.558323292E0,8.366252289E0,-3.934118958E0,-5.333409119E-1
1.578280292E0,8.400680695E0,-4.052971802E0,-3.370989990E-1
1.598238292E0,7.991581421E0,-3.529360657E0,1.767823792E-1
1.618195292E0,7.576793976E0,-3.303480377E0,3.062631226E-1
1.638153292E0,8.006849670E0,-4.336482239E0,-1.637594604E-1
1.658110292E0,8.248746643E0,-5.027894440E0,-5.426216125E-1
1.678068292E0,8.435857544E0,-4.882696381E0,-6.189628601E-1
1.698026292E0,9.458830261E0,-3.906576233E0,-2.945874023E-1
1.717983292E0,1.015383499E1,-2.824925537E0,-3.559597778E-1
1.737941292E0,1.010803024E1,-2.021845551E0,8.906478882E-1
1.757898292E0,1.018392242E1,-6.592291260E-1,1.855092316E0
1.777856292E0,1.015712814E1,5.613327026E-1,3.377276917E0
1.797813292E0,9.596693573E0,1.101858673E0,4.499642944E0
1.817771292E0,8.241711273E0,-5.180726624E-1,3.699706421E0
1.837728292E0,1.043330383E1,-1.965861969E0,2.581232300E0
1.857686292E0,9.040599976E0,-4.501139832E0,6.336323547E-1
1.877643292E0,9.862540741E0,-6.096821594E0,1.886077881E-1
1.897601292E0,9.615105286E0,-5.588927765E0,-1.080752563E-1
1.917559292E0,9.015901337E0,-4.479135590E0,1.332828369E0
1.937516292E0,8.092022552E0,-3.490142212E0,2.183958435E0
1.957474292E0,8.130941620E0,-2.771336975E0,2.233056335E0
1.977431292E0,8.047115936E0,-2.868634644E0,2.195185089E0
1.997389292E0,8.196355591E0,-3.231779480E0,1.654958496E0
2.017346292E0,9.230105896E0,-3.416495361E0,1.275497589E0
2.037304292E0,9.254804535E0,-3.995641022E0,4.912783813E-1
2.057261292E0,9.446406097E0,-3.162323914E0,5.923182678E-1
2.077219292E0,9.419462128E0,-2.161804504E0,1.258882141E0
2.097177292E0,9.584718475E0,-1.971400452E0,2.135309601E0
2.117134292E0,1.027343628E1,-2.190544739E0,2.656226349E0
2.137092292E0,1.020832169E1,-2.348466339E0,2.664608917E0
2.157049292E0,1.160102554E1,-3.633244629E0,2.670147400E0
2.177007292E0,1.183094742E1,-4.175866241E0,1.795965271E0
2.196964292E0,1.252385651E1,-3.856131134E0,1.798360291E0
2.216922292E0,1.123458755E1,-2.829266510E0,1.595831451E0
2.236880292E0,8.393046570E0,-1.843117218E0,1.321601715E0
2.256837292E0,5.459297333E0,-1.564696198E0,1.324894867E0
2.276795292E0,4.144581299E0,-2.263143768E0,5.498066711E-1
