"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.660966687E-2,2.003716305E-2,-1.816393249E-2,2.533279359E-2
3.656666679E-2,-8.693633974E-2,7.870010287E-2,-1.279993206E-1
5.652466696E-2,-1.311862469E-1,5.168421194E-2,-3.614866734E-1
7.648166688E-2,8.167358488E-2,-6.978365183E-1,-6.686377525E-1
9.643866681E-2,3.393796384E-1,-2.735498190E0,-3.889499009E-1
1.163966670E-1,9.331099391E-1,-5.528892517E0,1.096593887E-1
1.363536669E-1,2.608371258E0,-4.286012650E0,5.095582008E-1
1.563106668E-1,2.924233198E0,-1.380426288E0,-1.451305002E-1
1.762686670E-1,1.172952175E0,1.162888050E0,-4.743642211E-1
1.962256669E-1,1.533792168E-1,-1.258334517E-1,-6.697669625E-1
2.161836666E-1,-5.920924544E-1,-6.367449760E-1,-6.241612434E-1
2.361406670E-1,-1.248336911E0,-6.478533745E-1,-3.974930942E-1
2.560986667E-1,-1.813685775E0,-1.001240373E0,-2.563405335E-1
2.760556666E-1,-1.931937575E0,-1.334702969E0,1.742191147E-3
2.960126670E-1,-9.184585810E-1,-6.189613938E-1,4.496522248E-1
3.159706667E-1,6.604874134E-1,-5.965971947E-1,8.213407397E-1
3.359276666E-1,2.268289566E0,-9.652231336E-1,4.992204905E-1
3.558856668E-1,3.373003483E0,-1.723870516E0,-6.714331508E-1
3.758426667E-1,3.758934975E0,-2.302741528E0,-1.568118572E0
3.957996666E-1,3.715592861E0,-1.851324439E0,-1.787368178E0
4.157576668E-1,2.814623833E0,-1.542273521E0,-1.537480593E0
4.357141666E-1,1.240303040E0,-2.049028158E0,-1.517698169E0
4.556721668E-1,-8.165399432E-1,-9.040235877E-1,-1.404808879E0
4.756291667E-1,-2.107009649E0,5.609668046E-2,4.422151446E-1
4.955871669E-1,-2.054056406E0,-6.666399240E-1,8.822972775E-1
5.155441668E-1,-1.689568400E0,-1.385719180E0,6.761177182E-1
5.355011667E-1,-1.620910168E0,-1.900210738E0,4.974339902E-1
5.554591669E-1,-1.938789487E0,-2.375608206E0,5.554293394E-1
5.754161668E-1,-2.057404041E0,-2.584708691E0,8.043324351E-1
5.953741670E-1,-1.586259604E0,-2.520901918E0,7.469578981E-1
6.153311669E-1,-1.062438488E0,-2.286006689E0,6.683047414E-1
6.352891671E-1,-9.156150222E-1,-2.132875443E0,1.125029802E0
6.552461670E-1,-8.737176657E-1,-1.671238780E0,1.641032934E0
6.752041667E-1,-1.372795105E0,-1.214628696E0,1.223225594E0
6.951611666E-1,-2.257028818E0,-3.790348470E-1,4.316232502E-1
