"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.660966687E-2,2.767669678E0,3.027011108E1,-3.510345459E1
3.656666679E-2,2.738510132E0,3.016680908E1,-3.482887268E1
5.652466696E-2,2.625076294E0,3.017871094E1,-3.472048950E1
7.648166688E-2,2.219223022E0,3.031817627E1,-3.480632019E1
9.643866681E-2,8.542633057E-1,3.022329712E1,-3.491871643E1
1.163966670E-1,-2.255783081E0,2.973535156E1,-3.499085999E1
1.363536669E-1,-5.768478394E0,2.870089722E1,-3.527937317E1
1.563106668E-1,-8.452667236E0,2.657083130E1,-3.640939331E1
1.762686670E-1,-8.733398438E0,2.551425171E1,-3.702416992E1
1.962256669E-1,-8.525421143E0,2.441516113E1,-3.795018005E1
2.161836666E-1,-8.859329224E0,2.407580566E1,-3.811050415E1
2.361406670E-1,-9.652832031E0,2.454025269E1,-3.753256226E1
2.560986667E-1,-1.037370300E1,2.542117310E1,-3.670057678E1
2.760556666E-1,-1.129298401E1,2.669003296E1,-3.565184021E1
2.960126670E-1,-1.225157166E1,2.796127319E1,-3.435757446E1
3.159706667E-1,-1.252752686E1,2.896447754E1,-3.329763794E1
3.359276666E-1,-1.271446228E1,2.852456665E1,-3.362593079E1
3.558856668E-1,-1.334149170E1,2.700210571E1,-3.468490601E1
3.758426667E-1,-1.500917053E1,2.454544067E1,-3.568867493E1
3.957996666E-1,-1.740489197E1,2.113668823E1,-3.681027222E1
4.157576668E-1,-1.962178040E1,1.759048462E1,-3.707392883E1
4.357141666E-1,-2.146929932E1,1.503332520E1,-3.726098633E1
4.556721668E-1,-2.357012939E1,1.353439331E1,-3.651152039E1
4.756291667E-1,-2.445262146E1,1.382284546E1,-3.576000977E1
4.955871669E-1,-2.467834473E1,1.559133911E1,-3.500779724E1
5.155441668E-1,-2.495127869E1,1.753225708E1,-3.374052429E1
5.355011667E-1,-2.572294617E1,1.911053467E1,-3.223861694E1
5.554591669E-1,-2.683886719E1,2.060717773E1,-3.060728455E1
5.754161668E-1,-2.820378113E1,2.215399170E1,-2.779623413E1
5.953741670E-1,-2.937782288E1,2.391412354E1,-2.540002441E1
6.153311669E-1,-3.045018005E1,2.517861938E1,-2.284933472E1
6.352891671E-1,-3.111329651E1,2.649075317E1,-2.115330505E1
6.552461670E-1,-3.139305115E1,2.777166748E1,-1.901768494E1
6.752041667E-1,-3.118624878E1,2.925979614E1,-1.717001343E1
6.951611666E-1,-3.117893982E1,3.037344360E1,-1.545243835E1
7.151191668E-1,-3.111383057E1,3.153567505E1,-1.336299133E1
7.350761667E-1,-3.109341431E1,3.181756592E1,-1.248466492E1
7.550331666E-1,-3.136254883E1,3.236718750E1,-1.119189453E1
7.749911668E-1,-3.101000977E1,3.304815674E1,-9.607757568E0
7.949481667E-1,-3.005574036E1,3.472918701E1,-7.831481934E0
8.149061669E-1,-2.862052917E1,3.614199829E1,-5.496963501E0
8.348631668E-1,-2.756234741E1,3.724694824E1,-3.613250732E0
8.548211670E-1,-2.685453796E1,3.764739990E1,-1.516036987E0
