"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.142874947E-3,-1.903579570E-2,-2.243088931E-2,-1.269442588E-2
2.611187496E-2,-6.552098785E-3,-1.793882810E-2,-6.758675911E-3
4.608187499E-2,-7.318551186E-3,-1.381194126E-2,-9.832689539E-3
6.605087500E-2,-5.558687262E-3,-9.082700126E-3,-8.006275631E-3
8.601987502E-2,-1.023249514E-2,-9.432745166E-3,-6.851926446E-3
1.059898750E-1,-1.227636542E-2,-8.701733314E-3,-3.289328422E-3
1.259588751E-1,-1.315053925E-2,-8.863176219E-3,-5.072603002E-3
1.459278751E-1,-8.538594469E-3,-1.312431227E-2,-7.088318933E-3
1.658978749E-1,-9.226186201E-3,-1.307434868E-2,-8.732417598E-3
1.858668749E-1,-9.596039541E-3,-7.423550822E-3,-3.776376834E-3
2.058358749E-1,5.413042381E-4,-5.549937021E-3,6.302902475E-4
2.258048749E-1,2.233248204E-3,6.736314390E-5,2.231517807E-3
2.457748749E-1,-2.334159799E-3,5.723224021E-3,-3.110935912E-3
2.657438749E-1,-6.968394853E-3,6.533278152E-3,-2.610213589E-3
2.857128750E-1,-2.212255262E-3,1.857300056E-3,2.248457400E-3
3.056828750E-1,-6.917479448E-3,2.347054658E-3,6.131896749E-3
3.256518750E-1,-1.219950616E-2,8.466626517E-3,5.068648607E-3
3.456208750E-1,-1.448156871E-2,8.771025576E-3,1.859273063E-3
3.655898750E-1,-7.476129569E-3,6.678794511E-3,8.500204422E-5
3.855598751E-1,-2.734372392E-4,8.238663897E-3,3.992950078E-4
4.055288751E-1,1.088427100E-2,1.343581360E-3,1.242016209E-3
4.254978749E-1,4.365099967E-2,-2.109592780E-2,-5.539512262E-3
4.454678749E-1,5.297935382E-2,-3.165809810E-2,-1.429707510E-3
4.654368749E-1,5.934032053E-2,-3.664668277E-2,2.564965375E-2
4.854058749E-1,7.343900949E-2,-3.810811788E-2,4.909570515E-2
5.053758749E-1,6.955207884E-2,-5.214936659E-2,6.313879788E-2
5.253448749E-1,9.593336284E-2,-9.111530334E-2,3.750868887E-2
5.453138750E-1,1.871892810E-1,-1.177938953E-1,-3.866690397E-2
5.652828750E-1,2.321802527E-1,-1.226535439E-1,-9.821070731E-2
5.852528750E-1,1.973174810E-1,-1.206999347E-1,-1.369167864E-1
6.052218750E-1,1.395239532E-1,-2.372632921E-2,-1.327076107E-1
6.251908750E-1,8.914900571E-2,5.133231357E-2,-5.192852020E-2
6.451608751E-1,1.127045602E-1,1.251311302E-1,7.342577726E-2
6.651298751E-1,1.418540031E-1,2.749144733E-1,1.276269257E-1
6.850988748E-1,1.481083632E-1,3.701449335E-1,1.486551017E-1
7.050678749E-1,2.558915019E-1,4.342066050E-1,9.434204549E-2
7.250378749E-1,2.987454832E-1,5.104420185E-1,7.676683366E-2
7.450068749E-1,1.826788336E-1,4.854884446E-1,-3.762717545E-2
7.649758749E-1,1.327177882E-1,6.127653122E-1,-1.348106265E-1
7.849458749E-1,1.650924981E-1,5.334422588E-1,-7.659290731E-2
8.049148750E-1,2.051507495E-2,5.019963980E-1,-1.647265255E-2
8.248837499E-1,9.376225621E-2,5.140710473E-1,3.551074862E-2
8.448527500E-1,4.473378658E-1,4.763030112E-1,1.386483163E-1
8.648227500E-1,5.417621136E-1,4.269531667E-1,1.457750648E-1
8.847917500E-1,3.929306269E-1,3.466464877E-1,4.546631500E-2
9.047607500E-1,4.012252688E-1,3.044507504E-1,-3.126988420E-3
9.247307500E-1,4.613756537E-1,2.572265863E-1,1.403966844E-1
9.446997500E-1,5.881602168E-1,1.992660612E-1,1.941491216E-1
9.646687501E-1,6.423653960E-1,1.051214561E-1,8.557688445E-3
9.846377498E-1,5.999479294E-1,4.974320158E-2,-1.579753011E-1
1.004607750E0,5.439072847E-1,9.785328805E-2,-2.124167830E-1
1.024576750E0,5.990587473E-1,1.952144504E-1,-6.463582069E-2
1.044545750E0,7.020287514E-1,-2.606852539E-2,-2.564449050E-2
1.064515750E0,9.656441808E-1,-2.295204997E-1,-3.502493957E-3
1.084484750E0,1.340638876E0,-2.423785329E-1,-1.147519648E-1
1.104453750E0,1.705881357E0,-5.983541012E-1,-2.627986968E-1
1.124423750E0,1.784209609E0,-4.858641326E-1,-7.254258394E-1
1.144392750E0,1.698270082E0,-5.523922443E-1,-1.140906572E0
1.164361750E0,1.201340914E0,-6.987254024E-1,-1.207325339E0
1.184330750E0,-4.947739840E-1,-1.505572438E0,-7.523061037E-1
1.204300750E0,-2.096759558E0,-1.353557706E0,-4.084911644E-1
1.224269750E0,-1.826503634E0,-6.015586257E-1,-7.171774507E-1
1.244238750E0,-3.346146643E-1,-1.379783511E0,-9.339077398E-3
1.264208750E0,7.638687491E-1,-1.472510338E0,9.992013574E-1
1.284177750E0,6.306917667E-1,-7.768582106E-1,1.071561933E0
1.304146750E0,1.792434007E-1,6.444586813E-2,7.377719283E-1
1.324115750E0,2.534923553E-1,5.019250512E-1,2.753922939E-1
1.344085750E0,1.055253267E0,1.159197330E0,5.993683636E-2
1.364054750E0,1.874707818E0,7.021700740E-1,-1.125755347E-2
1.384023750E0,2.574952841E0,-2.296979576E-1,-8.089595437E-1
1.403993750E0,1.183097601E0,-9.495308995E-1,-1.593676686E0
1.423962750E0,-3.271285057E0,-4.661830068E-1,-1.188761592E0
1.443931750E0,-5.393350601E0,6.026042253E-2,-6.434655786E-1
1.463900750E0,-3.489827633E0,2.050803751E-1,-2.366093248E-1
1.483870750E0,-6.110705137E-1,2.682975233E-1,4.493740201E-1
1.503839750E0,-2.327130318E0,3.281620145E-1,-1.230323195E0
1.523808750E0,9.246678948E-1,1.274722576E0,-1.499236941E0
1.543778750E0,1.249232650E0,1.418391228E0,-9.962067753E-2
1.563747750E0,1.171914697E0,9.781274796E-1,2.815455496E-1
1.583716750E0,1.235175252E0,5.127809644E-1,4.419090152E-1
1.603685750E0,7.199799418E-1,3.645801842E-1,4.847095013E-1
1.623655750E0,3.263887763E-1,5.601063967E-1,4.246594310E-1
1.643624750E0,2.937850058E-1,7.145453691E-1,1.813864410E-1
1.663593750E0,3.655869663E-1,7.086802721E-1,1.130343881E-2
1.683562750E0,2.542331815E-1,6.937127113E-1,-6.646155566E-2
1.703532750E0,-2.131024450E-1,7.441961169E-1,4.946522042E-2
1.723501750E0,-8.705338836E-1,6.661679149E-1,1.962397248E-1
1.743470750E0,-1.275167704E0,4.477808774E-1,3.811780512E-1
1.763440750E0,-9.654177427E-1,3.892112374E-1,4.288431108E-1
1.783409750E0,-7.241092324E-1,8.410064578E-1,4.387235045E-1
1.803378750E0,-4.011370838E-1,1.330711842E0,1.466919780E-1
1.823347750E0,-9.293607436E-3,1.604770541E0,1.138915215E-2
1.843317750E0,2.447381616E-1,1.851670861E0,2.463648468E-1
1.863286750E0,7.070019841E-1,2.112026930E0,4.950437546E-1
1.883255750E0,9.491664171E-1,2.031572104E0,6.073314548E-1
1.903225750E0,1.143347383E0,1.687878132E0,5.601177812E-1
1.923194750E0,1.339638948E0,7.561385632E-1,5.186409950E-1
1.943163750E0,1.560630202E0,3.113399744E-1,5.156452656E-1
1.963132750E0,1.646215081E0,1.847216725E0,6.835691333E-1
1.983102750E0,1.286888361E0,1.404759049E0,5.827597976E-1
2.003071750E0,-9.003948569E-1,-3.821913898E-1,9.211474061E-1
2.023040750E0,-2.204242706E0,-7.402793169E-1,9.615949392E-1
2.043010750E0,-1.485626221E0,-2.822603285E-1,-9.382739663E-2
2.062979750E0,-1.820220947E-1,6.544576883E-1,-4.922696352E-1
2.082948750E0,3.210960627E-1,6.072450876E-1,-4.232277274E-1
2.102917750E0,5.175372958E-1,2.683865651E-2,-1.507841349E-1
2.122887750E0,7.389991283E-1,9.092465043E-2,1.620485336E-1
2.142856750E0,6.932429075E-1,4.088362455E-1,2.775713503E-1
2.162825750E0,3.489700854E-1,5.143418908E-1,3.696720898E-1
2.182795750E0,3.800719380E-1,7.625359893E-1,5.288013816E-1
2.202764750E0,5.281315446E-1,1.027478099E0,7.030098438E-1
2.222733750E0,4.950610697E-1,1.017079234E0,7.856501341E-1
2.242702750E0,3.710467219E-1,9.392685890E-1,6.084944010E-1
2.262672750E0,3.708553314E-1,7.169953585E-1,3.156116307E-1
2.282641750E0,5.255409479E-1,4.274938107E-1,1.644389182E-1
2.302610750E0,5.769650340E-1,1.410471499E-1,2.818499804E-1
2.322580750E0,3.287611008E-1,-7.554526627E-2,5.120402575E-1
2.342549750E0,-9.984481335E-2,-4.897745550E-1,6.256866455E-1
2.362518750E0,-6.484929919E-1,-1.016886115E0,6.190932393E-1
2.382487750E0,-7.558268905E-1,-1.376217842E0,4.759153724E-1
2.402457750E0,-2.219513059E-1,-1.142909169E0,1.322164983E-1
2.422426750E0,-9.256988764E-2,-8.706910610E-1,-1.670442969E-1
2.442395750E0,-6.095901132E-1,-2.321494669E-1,-6.419297457E-1
2.462364750E0,-7.217506170E-1,5.243906379E-1,-9.049239755E-1
2.482334750E0,-5.258290768E-1,4.777022600E-1,-5.504279137E-1
2.502303750E0,-2.004522979E-1,5.610287786E-1,-2.410011292E-1
2.522272750E0,-2.617872655E-1,6.135578752E-1,1.038973406E-1
2.542242750E0,-1.535982937E-1,8.881741166E-1,2.699317634E-1
2.562211750E0,2.862345576E-1,8.744176030E-1,3.040635288E-1
2.582180750E0,8.193923831E-1,6.855383515E-1,2.018393874E-1
2.602149750E0,7.822682261E-1,5.845117569E-1,-2.224241151E-3
