"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.428333629E-4,1.096020813E0,4.597988434E0,7.542365570E0
1.934416668E-2,5.575904846E-1,4.993615723E0,6.323300629E0
3.943116666E-2,4.737648010E-1,5.008285217E0,8.588390350E0
5.951816664E-2,6.295907593E-1,4.580923920E0,9.698781281E0
7.960516663E-2,7.047344971E-1,4.505929871E0,9.090446320E0
9.969216667E-2,6.972500610E-1,4.626129913E0,8.862919464E0
1.197791666E-1,8.012837219E-1,4.653522949E0,8.745114441E0
1.398661666E-1,9.912387085E-1,4.584516449E0,7.873926086E0
1.599531667E-1,8.590635681E-1,4.532424774E0,7.784711609E0
1.800401667E-1,7.222480774E-1,4.677323456E0,8.324339447E0
2.001271666E-1,8.740324402E-1,4.628824310E0,8.747210083E0
2.202151666E-1,7.973918152E-1,4.676425323E0,8.969797211E0
2.403021667E-1,8.249345398E-1,4.694088593E0,9.202263794E0
2.603891667E-1,6.566844177E-1,5.020559692E0,8.640631714E0
2.804761666E-1,8.391549683E-1,5.050198059E0,8.122708740E0
3.005631667E-1,9.473799133E-1,5.058430939E0,8.247100067E0
3.206501667E-1,1.253343658E0,4.920417938E0,8.304879913E0
3.407371666E-1,1.776056671E0,4.777165833E0,8.110583954E0
3.608241667E-1,2.559826813E0,4.061653748E0,7.717501373E0
3.809111667E-1,3.433709564E0,4.033063202E0,7.195985870E0
4.009981666E-1,3.560495911E0,3.893553314E0,6.907386017E0
4.210851666E-1,3.275787964E0,3.611240387E0,7.228468323E0
4.411721667E-1,3.292852478E0,3.575464783E0,7.512427826E0
4.612591667E-1,4.022285614E0,3.847149811E0,7.665110321E0
4.813461666E-1,4.537214813E0,3.371738434E0,6.701264648E0
5.014331667E-1,4.062102814E0,3.406316528E0,5.442382507E0
5.215201667E-1,2.969524841E0,3.825295258E0,7.517068176E0
5.416071666E-1,2.994373169E0,3.660487976E0,8.508456573E0
5.616941667E-1,3.243455200E0,3.256777496E0,6.301146698E0
5.817811667E-1,2.692151642E0,4.020788727E0,5.944737854E0
6.018681666E-1,3.914210358E0,4.377047882E0,8.091274109E0
6.219551666E-1,6.311624908E0,4.184398499E0,6.330485687E0
6.420421667E-1,5.492977295E0,4.813989258E0,6.851252747E0
6.621301667E-1,4.987029419E0,4.370611267E0,5.506598969E0
6.822171666E-1,3.859124908E0,4.394561462E0,4.024830322E0
7.023041666E-1,6.495292969E0,4.549040222E0,5.266498260E0
7.223911667E-1,7.411387939E0,4.478836212E0,6.109694824E0
7.424781666E-1,7.411986694E0,4.503085785E0,5.003794556E0
7.625651666E-1,7.688012695E0,5.787415009E0,6.024372253E0
7.826525000E-1,7.316634979E0,5.314398651E0,4.432283020E0
8.027395000E-1,7.357350311E0,5.032235413E0,4.647236023E0
8.228265000E-1,8.456215210E0,4.928800507E0,5.776936798E0
8.429135000E-1,8.258775787E0,4.902006226E0,5.880671082E0
8.630005000E-1,7.603737946E0,5.330265656E0,5.534740448E0
8.830875000E-1,7.779622192E0,4.760999451E0,4.881349182E0
9.031745000E-1,7.885452118E0,4.613855438E0,4.678221588E0
9.232615000E-1,8.357121277E0,5.146148529E0,5.208568726E0
9.433485000E-1,8.629105682E0,5.807323608E0,5.151237946E0
9.634355000E-1,7.790848846E0,4.872816925E0,3.875890045E0
9.835225000E-1,6.797664185E0,4.743036804E0,3.910318451E0
1.003609500E0,7.052284698E0,5.185217285E0,4.153712311E0
1.023696500E0,7.101083221E0,5.262905731E0,4.608017578E0
1.043784500E0,7.337591400E0,5.454956360E0,4.540657654E0
1.063871500E0,7.073390808E0,5.748645630E0,4.108206940E0
