"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.534166645E-3,-2.195043945E1,-3.679768372E1,-1.017300415E1
2.562116663E-2,-2.199801636E1,-3.658015442E1,-1.015509033E1
4.570816667E-2,-2.222521973E1,-3.638313293E1,-1.050712585E1
6.579516665E-2,-2.231143188E1,-3.619064331E1,-1.024993896E1
8.588216663E-2,-2.261306763E1,-3.615016937E1,-1.016615295E1
1.059691667E-1,-2.265368652E1,-3.613282013E1,-1.019866943E1
1.260561667E-1,-2.273342896E1,-3.630970001E1,-1.021022034E1
1.461431666E-1,-2.281484985E1,-3.629752350E1,-1.025256348E1
1.662301667E-1,-2.269448853E1,-3.637744904E1,-1.034040833E1
1.863171667E-1,-2.294769287E1,-3.625812531E1,-1.036788940E1
2.064041666E-1,-2.319039917E1,-3.616017914E1,-1.040814209E1
2.264911666E-1,-2.324111938E1,-3.622791290E1,-1.046217346E1
2.465781667E-1,-2.304586792E1,-3.619355011E1,-1.040394592E1
2.666651667E-1,-2.306359863E1,-3.632788849E1,-1.005999756E1
2.867521666E-1,-2.304867554E1,-3.632923126E1,-9.957931519E0
3.068391667E-1,-2.299526978E1,-3.628737640E1,-9.851333618E0
3.269261667E-1,-2.310012817E1,-3.632735443E1,-9.717010498E0
3.470141666E-1,-2.300778198E1,-3.632146454E1,-9.313766479E0
3.671011666E-1,-2.248641968E1,-3.663857269E1,-8.827194214E0
3.871881667E-1,-2.193368530E1,-3.707489014E1,-8.460601807E0
4.072751667E-1,-2.122601318E1,-3.742364502E1,-7.751815796E0
4.273621666E-1,-2.015826416E1,-3.799453735E1,-7.475631714E0
4.474491667E-1,-1.906192017E1,-3.847260284E1,-7.227981567E0
4.675361667E-1,-1.795462036E1,-3.907470703E1,-6.966049194E0
4.876231666E-1,-1.655801392E1,-3.951068878E1,-7.406982422E0
5.077101666E-1,-1.537704468E1,-3.993187714E1,-8.019699097E0
5.277971667E-1,-1.431869507E1,-4.025008392E1,-8.605758667E0
5.478841666E-1,-1.320059204E1,-4.057192993E1,-9.163925171E0
5.679711666E-1,-1.205429077E1,-4.079711151E1,-9.578659058E0
5.880581667E-1,-1.128366089E1,-4.090996552E1,-9.810089111E0
6.081451667E-1,-1.019369507E1,-4.105825043E1,-1.015756226E1
6.282321666E-1,-8.609283447E0,-4.125489044E1,-1.048236084E1
6.483191667E-1,-6.319091797E0,-4.154415131E1,-1.123548889E1
6.684061667E-1,-3.947052002E0,-4.182518768E1,-1.172142029E1
6.884931666E-1,-1.721313477E0,-4.173751831E1,-1.232420349E1
7.085801666E-1,6.241760254E-1,-4.172699738E1,-1.303880310E1
7.286671667E-1,2.554931641E0,-4.149220276E1,-1.325752258E1
7.487541666E-1,4.077392578E0,-4.132660675E1,-1.341709900E1
7.688421666E-1,5.087615967E0,-4.120515442E1,-1.375614929E1
7.889295000E-1,5.750061035E0,-4.086316681E1,-1.449092102E1
8.090165000E-1,5.877777100E0,-4.026327515E1,-1.625157166E1
8.291035000E-1,6.326751709E0,-3.956019592E1,-1.817070007E1
8.491905000E-1,6.668670654E0,-3.862369537E1,-2.000051880E1
8.692775000E-1,7.022735596E0,-3.774148560E1,-2.197918701E1
8.893645000E-1,6.770263672E0,-3.691757202E1,-2.345953369E1
9.094515000E-1,6.326934814E0,-3.615177917E1,-2.483558655E1
9.295385000E-1,6.060821533E0,-3.546864319E1,-2.588194275E1
9.496255000E-1,6.088378906E0,-3.449045563E1,-2.676298523E1
9.697125000E-1,6.386138916E0,-3.371027374E1,-2.796243286E1
9.897995000E-1,6.413208008E0,-3.309816742E1,-2.884655762E1
1.009886500E0,5.776092529E0,-3.270544434E1,-2.934729004E1
1.029973500E0,5.377014160E0,-3.268347168E1,-2.977369690E1
1.050060500E0,4.755950928E0,-3.272491455E1,-2.961842346E1
1.070147500E0,4.430908203E0,-3.249727631E1,-3.025228882E1
1.090234500E0,4.038238525E0,-3.202774048E1,-3.069631958E1
1.110321500E0,3.511718750E0,-3.158423615E1,-3.123274231E1
1.130408500E0,2.942230225E0,-3.110527802E1,-3.174511719E1
1.150496500E0,2.467498779E0,-3.076118469E1,-3.178692627E1
1.170583500E0,2.038604736E0,-3.056727600E1,-3.214080811E1
1.190670500E0,1.210906982E0,-3.019504547E1,-3.246060181E1
1.210757500E0,4.143371582E-1,-2.965549469E1,-3.304133606E1
1.230844500E0,-3.439636230E-1,-2.914620209E1,-3.328764343E1
1.250931500E0,-1.304779053E0,-2.859229279E1,-3.385377502E1
1.271018500E0,-2.731262207E0,-2.798780823E1,-3.376705933E1
1.291105500E0,-3.938842773E0,-2.756265259E1,-3.402865601E1
1.311192500E0,-5.154479980E0,-2.733403015E1,-3.398823547E1
1.331279500E0,-6.706756592E0,-2.691406250E1,-3.404846191E1
1.351366500E0,-8.010437012E0,-2.646229553E1,-3.385380554E1
1.371453500E0,-9.169158936E0,-2.640211487E1,-3.337965393E1
1.391540500E0,-1.027337646E1,-2.618267059E1,-3.326831055E1
1.411627500E0,-1.145837402E1,-2.578316498E1,-3.323207092E1
1.431714500E0,-1.278372192E1,-2.498390198E1,-3.317277527E1
1.451801500E0,-1.397174072E1,-2.451338196E1,-3.309730530E1
1.471888500E0,-1.465411377E1,-2.381996918E1,-3.310221863E1
1.491975500E0,-1.543493652E1,-2.326190948E1,-3.317185974E1
1.512063500E0,-1.605444336E1,-2.258342743E1,-3.330130005E1
1.532150500E0,-1.621054077E1,-2.217612457E1,-3.326930237E1
1.552237500E0,-1.589028931E1,-2.203836823E1,-3.385882568E1
1.572324500E0,-1.559371948E1,-2.196733093E1,-3.383895874E1
1.592411500E0,-1.508676147E1,-2.217608643E1,-3.384602356E1
1.612498500E0,-1.460711670E1,-2.231769562E1,-3.374992371E1
1.632585500E0,-1.429953003E1,-2.222315216E1,-3.415249634E1
1.652672500E0,-1.389929199E1,-2.173478699E1,-3.438002014E1
1.672759500E0,-1.424313354E1,-2.073664856E1,-3.484283447E1
1.692846500E0,-1.482449341E1,-1.993647766E1,-3.506752014E1
