"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.830083336E-3,-1.911524963E0,3.491938477E0,8.926237793E0
2.299308334E-2,-1.848955078E0,3.520978088E0,9.339228973E0
4.315608335E-2,-1.738185425E0,3.465293884E0,9.120683441E0
6.332008334E-2,-1.748513947E0,3.435356140E0,9.088500366E0
8.348308335E-2,-1.639390869E0,3.506907349E0,9.003327484E0
1.036460833E-1,-1.467099152E0,3.534749451E0,8.871302032E0
1.238090833E-1,-1.412612457E0,3.479364624E0,8.714727631E0
1.439720833E-1,-1.518592072E0,3.459306335E0,8.960815887E0
1.641350834E-1,-1.260828094E0,3.484454041E0,9.048383789E0
1.842980833E-1,-1.210682373E0,3.417992249E0,9.000633087E0
2.044610833E-1,-1.205143890E0,3.422782288E0,8.604856110E0
2.246250833E-1,-1.380728760E0,3.483555908E0,8.449179840E0
2.447880833E-1,-1.349743195E0,3.541186066E0,8.397088165E0
2.649510833E-1,-1.557062073E0,3.527414703E0,8.684191132E0
2.851140834E-1,-1.643432465E0,3.361409912E0,8.859476624E0
3.052770833E-1,-1.353934479E0,3.302731934E0,8.228538666E0
3.254400833E-1,-1.355730743E0,3.288960571E0,7.748936005E0
3.456030833E-1,-1.803150330E0,3.057392120E0,7.644602966E0
3.657670833E-1,-1.655557251E0,2.802921295E0,7.001989288E0
3.859300833E-1,-9.304650879E-1,2.702180786E0,6.752009125E0
4.060930834E-1,-1.905537415E-1,3.063828735E0,7.571554871E0
4.262560833E-1,-2.621049500E-1,3.009791107E0,8.725205841E0
4.464190833E-1,-8.511300659E-1,2.568957825E0,7.743098145E0
4.665820833E-1,-8.506809998E-1,2.570005646E0,6.947951660E0
4.867450833E-1,1.585203552E-1,2.910248108E0,6.874005432E0
5.069080833E-1,1.239422607E0,3.787723389E0,7.259154510E0
5.270720834E-1,1.789678345E0,3.673211517E0,8.599916382E0
5.472350833E-1,1.421444092E0,2.480042725E0,8.842861176E0
5.673980833E-1,8.378077698E-1,2.293680267E0,8.221503296E0
5.875610833E-1,4.846920776E-1,2.466570740E0,7.582332458E0
6.077240834E-1,1.083297272E0,2.100432129E0,7.967780914E0
6.278870833E-1,1.188378754E0,1.938169556E0,8.978179779E0
6.480500833E-1,-1.854643250E-1,1.535207520E0,1.027538223E1
6.682140833E-1,-9.553134155E-1,1.096020813E0,1.230950226E1
6.883770833E-1,-2.694396973E-1,1.500629425E0,1.314087341E1
7.085400833E-1,5.089416504E-1,2.257305908E0,1.372510849E1
7.287030000E-1,-5.164260864E-1,2.411036224E0,1.610066849E1
7.488660000E-1,-9.650431824E-1,2.656226349E0,1.922946213E1
7.690290000E-1,-4.086502075E-2,3.136577454E0,2.093052475E1
7.891920000E-1,7.694000244E-1,3.724854126E0,2.163495987E1
8.093560000E-1,-5.957611084E-2,3.627107391E0,2.233909561E1
8.295190000E-1,-9.590556335E-1,2.938688965E0,2.191652435E1
8.496820000E-1,-1.424288177E0,1.820065155E0,1.938798248E1
8.698450000E-1,-1.635498962E0,1.065334625E0,1.533441193E1
8.900080000E-1,-1.149160309E0,3.076103210E-1,1.168305496E1
9.101710000E-1,-4.460723877E-1,-5.891748047E-1,9.544152832E0
9.303340000E-1,3.917353821E-1,-1.312919769E0,7.822732544E0
9.504980000E-1,5.777984619E-1,-1.640139313E0,5.679788818E0
9.706610000E-1,3.522175598E-1,-1.660197601E0,3.661535797E0
9.908240000E-1,5.357359314E-1,-1.236428833E0,1.895657959E0
1.010987000E0,8.632548523E-1,-9.014254761E-1,4.644841003E-1
1.031150000E0,1.107846222E0,-5.041516113E-1,-6.213578796E-1
1.051313000E0,1.790277100E0,-1.945953369E-2,-1.093925171E0
1.071476000E0,1.762584686E0,1.224453735E-1,-1.415905609E0
1.091639000E0,1.301393738E0,3.652404785E-1,-1.807042236E0
1.111803000E0,7.426057434E-1,1.972897339E-1,-8.258326721E-1
1.131966000E0,4.147874451E-1,2.565664673E-1,-1.234632568E0
1.152129000E0,2.272274780E-1,2.517764282E-1,-1.498533783E0
1.172292000E0,2.844085693E-3,-1.986369324E-1,-1.104852448E0
1.192455000E0,-9.271719360E-1,-8.412506104E-1,1.128952332E0
1.212618000E0,-1.722917175E0,-8.918453979E-1,2.307601318E0
1.232781000E0,-2.435585175E0,-1.424288177E0,4.170178070E0
1.252945000E0,-2.374212799E0,-2.362836456E0,8.884474640E0
1.273108000E0,-2.009720764E0,-2.711012421E0,1.383228561E1
1.293271000E0,-2.766546936E0,-1.653910675E0,1.305390427E1
1.313434000E0,-6.648125153E0,-4.984634399E-1,1.191342590E1
1.333597000E0,-7.740254059E0,-1.490899658E0,1.908890442E1
1.353760000E0,-4.647535400E0,-2.026635590E0,2.612083145E1
1.373923000E0,-2.762954407E0,-6.740483093E-1,2.347972366E1
1.394087000E0,-4.367767181E0,-3.023712158E-2,2.316537735E1
1.414250000E0,-3.187172241E0,3.538641357E-1,2.600542145E1
1.434413000E0,-6.324348450E-1,8.446934509E-1,2.565589828E1
1.454576000E0,-3.826043701E-1,1.360221405E0,2.400797516E1
1.474739000E0,-1.977238312E0,2.007625122E0,2.044568298E1
1.494902000E0,-3.822900238E0,2.121538239E0,1.867651199E1
1.515065000E0,-4.616250458E0,1.384021912E0,1.875075760E1
1.535229000E0,-4.463118896E0,1.910028076E-1,1.860930176E1
1.555392000E0,-4.317172394E0,-9.274713135E-1,1.818583237E1
1.575555000E0,-3.893403625E0,-2.014959869E0,1.665960617E1
1.595718000E0,-3.956422577E0,-2.646795959E0,1.335567673E1
1.615881000E0,-3.578009491E0,-3.153192902E0,9.891430664E0
1.636044000E0,-2.532134399E0,-3.418740692E0,6.784790955E0
1.656208000E0,-1.850451965E0,-3.370540924E0,4.600233765E0
1.676371000E0,-1.571731567E0,-3.050207062E0,2.724484406E0
1.696534000E0,-1.058299255E0,-2.373763733E0,8.318202209E-1
1.716697250E0,-6.469546509E-1,-1.586700439E0,-6.746470642E-1
1.736860250E0,-3.869453430E-1,-9.424401855E-1,-1.283131714E0
1.757023250E0,-1.588197327E-1,-3.749702454E-1,-7.171586609E-1
1.777186250E0,-3.779640198E-1,3.457809448E-2,-4.436773682E-1
1.797350250E0,-5.851332092E-1,4.617897034E-1,-1.103205872E0
1.817513250E0,-4.746629333E-1,6.212081909E-1,-8.830137634E-1
1.837676250E0,-6.110293579E-1,7.011419678E-1,-3.302133179E-1
1.857839250E0,-1.276844788E-1,6.619235229E-1,1.407223663E0
1.878002250E0,1.728904724E-1,5.478607178E-1,2.318229218E0
1.898165250E0,-1.134640503E-1,7.946974182E-1,2.525847473E0
1.918329250E0,-6.839277649E-1,9.331594849E-1,2.928210754E0
1.938492250E0,-1.447489929E0,6.900650024E-1,4.269721069E0
1.958655250E0,-1.828597412E0,6.104306030E-1,5.726940765E0
1.978818250E0,-2.039508820E0,6.213578796E-1,6.472989349E0
1.998981250E0,-2.315684509E0,3.833528137E-1,9.525292053E0
2.019144250E0,-2.787203979E0,9.220825195E-2,1.308324326E1
