"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.559508335E-2,4.381410778E-2,-1.248256564E-1,5.716979876E-2
5.575808333E-2,7.097473741E-2,-8.954387158E-2,6.634323299E-2
7.592108333E-2,7.795114070E-2,-4.200381786E-2,9.677850455E-2
9.608408334E-2,6.544139236E-2,-3.229834139E-2,1.060641706E-1
1.162470834E-1,2.217579447E-2,-5.130749941E-2,8.738153428E-2
1.364100833E-1,-6.444779690E-3,-8.402545750E-2,8.844582736E-2
1.565740833E-1,3.002072498E-2,-1.481710821E-1,6.099045649E-2
1.767370833E-1,7.700495422E-2,-2.579126060E-1,-1.429032767E-3
1.969000833E-1,5.381258950E-2,-3.605153263E-1,-6.148259342E-2
2.170630833E-1,2.644665306E-3,-4.812070131E-1,-6.811324507E-2
2.372260834E-1,-5.931482092E-2,-5.290312171E-1,-3.832539171E-2
2.573890833E-1,-3.870688379E-2,-4.904558659E-1,2.302395180E-2
2.775520833E-1,7.631666213E-2,-4.241297841E-1,1.387187243E-1
2.977160834E-1,8.269035071E-2,-3.604010046E-1,1.587504297E-1
3.178790833E-1,-1.245241519E-2,-6.130535007E-1,7.987739146E-2
3.380420833E-1,-7.080577314E-2,-1.061108947E0,9.448496997E-2
3.582050834E-1,-1.098148599E-1,-1.505714893E0,1.605558395E-1
3.783680833E-1,-2.300873101E-1,-1.318015814E0,2.458648980E-1
3.985310833E-1,-3.707138002E-1,-6.504704952E-1,3.227027953E-1
4.186940833E-1,-3.320442438E-1,-7.669070363E-2,3.294470012E-1
4.388580833E-1,-3.383778632E-1,1.233615447E-2,3.577979803E-1
4.590210833E-1,-5.218201280E-1,-2.144613117E-1,4.315872490E-1
4.791840833E-1,-8.244906664E-1,-3.112605959E-2,4.666941762E-1
4.993470833E-1,-1.272408605E0,1.031636953E0,4.101091325E-1
5.195100833E-1,-1.364819884E0,1.539936543E0,3.330371082E-1
5.396730833E-1,-1.148576975E0,1.535306931E0,1.026137471E-1
5.598360834E-1,-1.030571818E0,1.359630942E0,-1.667558551E-1
5.799990833E-1,-1.121773124E0,5.593013763E-1,-3.125416338E-1
6.001630833E-1,-1.178927898E0,-2.231030259E-3,-3.628469408E-1
6.203260833E-1,-1.211827517E0,8.658033609E-2,-6.742293239E-1
6.404890833E-1,-1.388073087E0,3.059262037E-1,-8.085305691E-1
6.606520833E-1,-1.311917067E0,3.550311923E-1,-6.111873388E-1
6.808150834E-1,-9.961909056E-1,3.134366274E-1,-5.075794458E-1
7.009780833E-1,-9.697519541E-1,2.333801985E-1,-7.201375961E-1
7.211410000E-1,-1.094287038E0,3.164857626E-1,-7.816699147E-1
7.413050000E-1,-7.874947786E-1,2.913892269E-1,-5.129130483E-1
7.614680000E-1,-1.778335869E-1,6.160840392E-2,-3.742108941E-1
7.816310000E-1,4.142310321E-1,-2.904013395E-1,-6.841222048E-1
8.017940000E-1,1.207029104E0,-4.325381219E-1,-9.805905819E-1
8.219570000E-1,2.052726746E0,-2.603588998E-1,-7.910635471E-1
8.421200000E-1,2.673259974E0,-2.714123726E-1,-5.213002563E-1
8.622830000E-1,2.821503639E0,-9.224627018E-1,-3.261943161E-1
8.824470000E-1,2.565619946E0,-1.662368178E0,-2.755669355E-1
9.026100000E-1,2.304743052E0,-1.926432967E0,-3.154229224E-1
9.227730000E-1,2.311339855E0,-1.637811661E0,-4.291049838E-1
9.429360000E-1,2.405382156E0,-1.227591753E0,-5.572308898E-1
9.630990000E-1,2.400052309E0,-9.057025313E-1,-5.729768872E-1
9.832620000E-1,2.245921373E0,-7.667255402E-1,-5.261948109E-1
1.003425000E0,1.923253655E0,-7.730311751E-1,-5.414952636E-1
1.023588000E0,1.523594379E0,-8.007938862E-1,-5.295533538E-1
1.043752000E0,1.065783978E0,-6.027908921E-1,-6.095445156E-1
1.063915000E0,6.174257398E-1,-2.558318377E-1,-7.277214527E-1
1.084078000E0,1.645518094E-1,-2.490233630E-2,-8.029525280E-1
1.104241000E0,-1.483154893E-1,2.515001297E-1,-8.235054016E-1
1.124404000E0,-3.802358508E-1,5.045778155E-1,-8.402688503E-1
1.144567000E0,-8.778474927E-1,6.766191721E-1,-8.168067932E-1
1.164730000E0,-1.566746831E0,6.604362130E-1,-8.899214864E-1
1.184894000E0,-2.199082375E0,6.140332222E-1,-8.395923376E-1
1.205057000E0,-2.725132704E0,5.520876050E-1,-6.788598895E-1
1.225220000E0,-3.547060013E0,6.892321706E-1,-2.974839807E-1
1.245383000E0,-4.086311817E0,1.249912262E0,-2.397964709E-3
1.265546000E0,-3.642831564E0,1.745788097E0,-1.489493251E-1
1.285709000E0,-2.930335522E0,1.841035128E0,-6.934157014E-1
1.305872000E0,-4.002697945E0,1.697979569E0,-4.274995327E-1
1.326036000E0,-4.806859016E0,1.356330395E0,5.801708698E-1
1.346199000E0,-3.892290831E0,1.429277778E0,9.757144451E-1
1.366362000E0,-2.834123135E0,4.352656603E-1,3.124943972E-1
1.386525000E0,-2.602397919E0,-8.286942840E-1,9.363452345E-2
1.406688000E0,-1.840645790E0,-1.001211166E0,4.034912586E-1
1.426851000E0,-6.742333770E-1,-8.128910661E-1,1.315078288E-1
1.447014000E0,8.039502501E-1,-6.303153038E-1,-3.934087455E-1
1.467178000E0,1.736464262E0,-2.211674154E-1,-6.673743725E-1
1.487341000E0,1.983862400E0,1.541799307E-2,-4.811665416E-1
1.507504000E0,2.125501394E0,-1.833947748E-1,-1.540760845E-1
1.527667000E0,2.526567459E0,-9.364137053E-1,-2.332866378E-2
1.547830000E0,2.989395142E0,-1.562139034E0,-4.201010801E-3
1.567993000E0,3.496816158E0,-1.700764775E0,6.116084382E-2
1.588157000E0,3.690523863E0,-1.676574469E0,1.856105179E-1
1.608320000E0,3.735941410E0,-1.931936502E0,3.076278567E-1
1.628483000E0,3.653544188E0,-2.212100983E0,2.566695213E-1
1.648646000E0,3.606775284E0,-2.254145384E0,5.893021077E-2
1.668809000E0,3.510915756E0,-1.862819672E0,-6.042129919E-2
1.688972000E0,3.199520111E0,-1.113621235E0,-7.870804518E-2
1.709135000E0,2.634039164E0,-5.145805478E-1,-9.882839769E-2
1.729299250E0,1.969972372E0,-2.048391253E-1,-1.265244186E-1
1.749462250E0,1.399850726E0,2.270041034E-2,-2.147439420E-1
1.769625250E0,1.010183930E0,2.526548207E-1,-2.476447821E-1
1.789788250E0,4.442246854E-1,4.309215546E-1,-2.007209361E-1
1.809951250E0,-2.213526368E-1,5.000388622E-1,-1.661588848E-1
1.830114250E0,-8.441854715E-1,4.114354849E-1,-1.232988611E-1
1.850277250E0,-1.292727947E0,3.472460806E-1,-8.511275798E-2
1.870441250E0,-1.508221388E0,2.957083583E-1,-2.321595848E-1
