"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.559508335E-2,-3.448919296E1,-2.569961929E1,-1.950685883E1
5.575808333E-2,-3.395463181E1,-2.554822540E1,-1.977429962E1
7.592108333E-2,-3.323488235E1,-2.519032669E1,-2.019420624E1
9.608408334E-2,-3.261499405E1,-2.478797531E1,-2.074542999E1
1.162470834E-1,-3.148163986E1,-2.417178726E1,-2.076503754E1
1.364100833E-1,-3.098365021E1,-2.376825333E1,-2.113274384E1
1.565740833E-1,-3.008377838E1,-2.334347916E1,-2.177106476E1
1.767370833E-1,-2.980371475E1,-2.309122849E1,-2.190238190E1
1.969000833E-1,-2.952556610E1,-2.293922806E1,-2.231359100E1
2.170630833E-1,-2.900308228E1,-2.300458908E1,-2.241442108E1
2.372260834E-1,-2.789763069E1,-2.180705070E1,-2.092021179E1
2.573890833E-1,-2.742769432E1,-2.156147575E1,-2.068731689E1
2.775520833E-1,-2.694607162E1,-2.120664024E1,-2.092617798E1
2.977160834E-1,-2.636693382E1,-2.097480583E1,-2.086067200E1
3.178790833E-1,-2.194800758E1,-2.023219872E1,-1.998305511E1
3.380420833E-1,-2.167617226E1,-2.002088737E1,-1.960514069E1
3.582050834E-1,-2.158787537E1,-1.964195442E1,-1.878524017E1
3.783680833E-1,-2.358575439E1,-1.886278343E1,-1.763935089E1
3.985310833E-1,-2.371576309E1,-1.851833534E1,-1.704354095E1
4.186940833E-1,-2.421974754E1,-1.788322258E1,-1.669369507E1
4.388580833E-1,-2.396511841E1,-1.733490562E1,-1.650514221E1
4.590210833E-1,-2.367625427E1,-1.683283806E1,-1.621777344E1
4.791840833E-1,-2.364107513E1,-1.622311211E1,-1.599536133E1
4.993470833E-1,-2.597079849E1,-1.419369888E1,-1.623588562E1
5.195100833E-1,-2.559865952E1,-1.310350037E1,-1.725263977E1
5.396730833E-1,-2.617007065E1,-1.252924538E1,-1.874526978E1
5.598360834E-1,-2.593983459E1,-1.197765541E1,-2.011316681E1
5.799990833E-1,-2.572047806E1,-1.154905510E1,-2.083037567E1
6.001630833E-1,-2.534397125E1,-1.088228416E1,-2.179088593E1
6.203260833E-1,-2.533914566E1,-1.055685234E1,-2.236551666E1
6.404890833E-1,-2.476923370E1,-1.061457825E1,-2.288697052E1
6.606520833E-1,-2.434604263E1,-1.013360977E1,-2.358116913E1
6.808150834E-1,-2.325879288E1,-9.777210236E0,-2.410562897E1
7.009780833E-1,-2.292272186E1,-9.472728729E0,-2.464820099E1
7.211410000E-1,-2.274003029E1,-9.564657211E0,-2.542026520E1
7.413050000E-1,-2.225986481E1,-9.429311752E0,-2.588336945E1
7.614680000E-1,-2.209429932E1,-9.288656235E0,-2.617771149E1
7.816310000E-1,-2.196576691E1,-9.356588364E0,-2.630838776E1
8.017940000E-1,-2.215061951E1,-9.892290115E0,-2.604599762E1
8.219570000E-1,-2.271040916E1,-1.091570473E1,-2.540305328E1
8.421200000E-1,-2.307434082E1,-1.257816505E1,-2.481568909E1
8.622830000E-1,-2.351637650E1,-1.428819084E1,-2.365862274E1
8.824470000E-1,-2.424423027E1,-1.607785034E1,-2.209181976E1
9.026100000E-1,-2.648821640E1,-1.803308296E1,-1.870292664E1
9.227730000E-1,-2.727649307E1,-1.937590981E1,-1.673162079E1
9.429360000E-1,-2.712522125E1,-2.036378670E1,-1.469588470E1
9.630990000E-1,-2.721556473E1,-2.150159454E1,-1.309004211E1
9.832620000E-1,-2.722927475E1,-2.255902863E1,-1.166696167E1
1.003425000E0,-2.696344566E1,-2.366304016E1,-1.020345306E1
1.023588000E0,-2.700432396E1,-2.442457581E1,-8.917701721E0
1.043752000E0,-2.702138901E1,-2.500769615E1,-7.535911560E0
1.063915000E0,-2.681024170E1,-2.565222740E1,-6.682121277E0
1.084078000E0,-2.650197220E1,-2.643614197E1,-6.576309204E0
1.104241000E0,-2.605971909E1,-2.683591080E1,-6.402610779E0
1.124404000E0,-2.551065826E1,-2.719809723E1,-6.770011902E0
1.144567000E0,-2.501940536E1,-2.750003052E1,-7.380119324E0
1.164730000E0,-2.467514420E1,-2.764128494E1,-8.093521118E0
1.184894000E0,-2.387826729E1,-2.802796173E1,-9.504989624E0
1.205057000E0,-2.314563370E1,-2.784622383E1,-1.139949036E1
1.225220000E0,-2.288213348E1,-2.715301323E1,-1.377299500E1
1.245383000E0,-2.250696182E1,-2.644248581E1,-1.643332672E1
1.265546000E0,-2.174331474E1,-2.526099014E1,-1.964162445E1
1.285709000E0,-2.048624039E1,-2.373519325E1,-2.260935974E1
1.305872000E0,-1.906652069E1,-2.238889503E1,-2.496357727E1
1.326036000E0,-1.776213455E1,-2.015772057E1,-2.773280334E1
1.346199000E0,-1.695794868E1,-1.706058311E1,-2.992856598E1
1.366362000E0,-1.625137329E1,-1.441100693E1,-3.167572784E1
1.386525000E0,-1.620413780E1,-1.221976280E1,-3.247679138E1
1.406688000E0,-1.674719810E1,-1.051155663E1,-3.293437195E1
1.426851000E0,-1.733667374E1,-9.323867798E0,-3.294878387E1
1.447014000E0,-1.782747650E1,-8.919300079E0,-3.286536407E1
1.467178000E0,-1.810723877E1,-9.577405930E0,-3.246213531E1
1.487341000E0,-1.808072662E1,-1.095420456E1,-3.234608459E1
1.507504000E0,-1.807158089E1,-1.249008369E1,-3.193032074E1
1.527667000E0,-1.824637985E1,-1.401110458E1,-3.095673370E1
1.547830000E0,-1.900259781E1,-1.568476677E1,-3.010086823E1
1.567993000E0,-2.015199089E1,-1.764025879E1,-2.862286377E1
1.588157000E0,-2.161544037E1,-1.966850090E1,-2.672034454E1
1.608320000E0,-2.291488647E1,-2.169902039E1,-2.428826141E1
1.628483000E0,-2.466297150E1,-2.339562035E1,-2.123744202E1
1.648646000E0,-2.572052002E1,-2.491072083E1,-1.835784149E1
1.668809000E0,-2.687031937E1,-2.631475830E1,-1.504327393E1
1.688972000E0,-2.723844337E1,-2.785530090E1,-1.092713928E1
1.709135000E0,-2.744387436E1,-2.851879311E1,-8.711357117E0
1.729299250E0,-2.752856445E1,-2.915026474E1,-7.129562378E0
1.749462250E0,-2.750072479E1,-2.949287796E1,-6.132659912E0
1.769625250E0,-2.715205574E1,-2.999929810E1,-5.550712585E0
1.789788250E0,-2.700525665E1,-3.002964783E1,-5.243438721E0
1.809951250E0,-2.677878380E1,-3.012948608E1,-5.287506104E0
1.830114250E0,-2.650570679E1,-3.033393860E1,-5.788497925E0
1.850277250E0,-2.653436089E1,-3.007590103E1,-6.456726074E0
1.870441250E0,-2.642635345E1,-3.004717445E1,-7.772018433E0
1.890604250E0,-2.610131454E1,-2.973612785E1,-8.571166992E0
1.910767250E0,-2.575024796E1,-2.973854828E1,-1.003723907E1
1.930930250E0,-2.560253143E1,-2.937384605E1,-1.166816711E1
1.951093250E0,-2.543195343E1,-2.899540901E1,-1.397926331E1
1.971256250E0,-2.486078262E1,-2.837782478E1,-1.608365631E1
1.991420250E0,-2.424422073E1,-2.738143349E1,-1.890129852E1
2.011583250E0,-2.340643883E1,-2.593992043E1,-2.171231079E1
2.031746250E0,-2.218877029E1,-2.421695900E1,-2.410366821E1
2.051909250E0,-2.124792099E1,-2.247535706E1,-2.651290894E1
2.072072250E0,-2.063179970E1,-2.020765305E1,-2.834304047E1
2.092235250E0,-2.065413284E1,-1.781322861E1,-2.978696442E1
2.112398250E0,-2.057954788E1,-1.570535851E1,-3.084390259E1
2.132562250E0,-2.049941254E1,-1.406163025E1,-3.120897675E1
2.152725250E0,-2.054707909E1,-1.271910477E1,-3.196623993E1
2.172888250E0,-2.079884720E1,-1.185723877E1,-3.210680389E1
2.193051250E0,-2.119071579E1,-1.165805054E1,-3.180648041E1
2.213214250E0,-2.166686249E1,-1.184787750E1,-3.119304657E1
2.233377250E0,-2.198105240E1,-1.275331306E1,-3.100198364E1
2.253541250E0,-2.213531113E1,-1.384778023E1,-3.066189575E1
2.273704250E0,-2.262471199E1,-1.524856186E1,-3.009068298E1
2.293867250E0,-2.286196136E1,-1.649179459E1,-2.927014160E1
2.314030250E0,-2.347684097E1,-1.790105438E1,-2.818601227E1
2.334193250E0,-2.399317169E1,-1.920384789E1,-2.699678802E1
2.354356250E0,-2.443288040E1,-2.096447945E1,-2.560630035E1
2.374520250E0,-2.528737640E1,-2.254362679E1,-2.376330566E1
2.394683250E0,-2.612766075E1,-2.388373566E1,-2.194482422E1
2.414846250E0,-2.702233124E1,-2.520067406E1,-1.947232056E1
2.435009250E0,-2.797344398E1,-2.629691124E1,-1.690009308E1
2.455172250E0,-2.829454613E1,-2.747093582E1,-1.465361786E1
2.475335250E0,-2.863410950E1,-2.897589493E1,-1.179673767E1
2.495499250E0,-2.858785248E1,-2.948087502E1,-1.019772339E1
2.515662250E0,-2.849907494E1,-2.980443192E1,-9.144996643E0
2.535825250E0,-2.829799652E1,-3.029264832E1,-8.248001099E0
2.555988250E0,-2.803720856E1,-3.068552399E1,-7.572151184E0
2.576151250E0,-2.774775314E1,-3.097764206E1,-7.013458252E0
2.596314250E0,-2.751322174E1,-3.120293427E1,-7.338478088E0
2.616477250E0,-2.703980446E1,-3.148765182E1,-7.638916016E0
2.636641250E0,-2.659085464E1,-3.146404266E1,-8.651397705E0
2.656804250E0,-2.606399918E1,-3.143270111E1,-1.026864624E1
2.676967250E0,-2.566841888E1,-3.118147469E1,-1.209146881E1
2.697130250E0,-2.528610229E1,-3.030806160E1,-1.435058594E1
2.717293458E0,-2.451072311E1,-2.968255997E1,-1.718308258E1
2.737457458E0,-2.331582642E1,-2.906330681E1,-1.973493195E1
2.757620458E0,-2.248092270E1,-2.808248329E1,-2.192272186E1
2.777783458E0,-2.205528259E1,-2.703046227E1,-2.384538269E1
2.797946458E0,-2.156270218E1,-2.578040123E1,-2.529626465E1
2.818109458E0,-2.105313492E1,-2.445837402E1,-2.694065094E1
2.838272458E0,-2.070648003E1,-2.293815613E1,-2.856847382E1
2.858436458E0,-2.039250183E1,-2.158395767E1,-2.983474731E1
2.878599458E0,-2.024252892E1,-1.982526779E1,-3.061412048E1
2.898762458E0,-2.010679245E1,-1.867523956E1,-3.162351990E1
2.918925458E0,-1.988885117E1,-1.732732010E1,-3.264128113E1
2.939088458E0,-1.976360893E1,-1.636429596E1,-3.313168335E1
2.959251458E0,-1.953330994E1,-1.557336807E1,-3.350509644E1
2.979415458E0,-1.971736526E1,-1.497125053E1,-3.375024414E1
2.999578458E0,-2.018959427E1,-1.454311180E1,-3.390863037E1
3.019741458E0,-2.095916939E1,-1.453199959E1,-3.361207581E1
3.039904458E0,-2.158291626E1,-1.483509827E1,-3.336462402E1
3.060067458E0,-2.207911301E1,-1.525547791E1,-3.275370789E1
3.080230458E0,-2.268795967E1,-1.622807884E1,-3.177923584E1
3.100394458E0,-2.340001488E1,-1.737465858E1,-3.051049805E1
3.120557458E0,-2.447998428E1,-1.876244736E1,-2.908174896E1
3.140720458E0,-2.537078857E1,-2.059742928E1,-2.698552704E1
3.160883458E0,-2.601382065E1,-2.249158478E1,-2.517871857E1
3.181046458E0,-2.653011322E1,-2.440334702E1,-2.286057281E1
3.201210458E0,-2.677363205E1,-2.616520882E1,-2.032171631E1
3.221373458E0,-2.689669228E1,-2.794830322E1,-1.768856812E1
3.241536458E0,-2.714081192E1,-2.951939774E1,-1.471795654E1
3.261699458E0,-2.716358566E1,-3.092756081E1,-1.033055115E1
3.281862458E0,-2.723403549E1,-3.169556808E1,-7.817741394E0
3.302025458E0,-2.704886627E1,-3.226879883E1,-6.131645203E0
3.322189458E0,-2.678709030E1,-3.274868774E1,-3.746482849E0
3.342352458E0,-2.622391510E1,-3.333728027E1,-1.876869202E0
3.362515458E0,-2.588440704E1,-3.381655884E1,-2.847671509E-1
3.382678458E0,-2.532222939E1,-3.426649094E1,4.556579590E-1
3.402841458E0,-2.515548325E1,-3.413860703E1,-9.068145752E-1
3.423005458E0,-2.496696472E1,-3.399816132E1,-3.354019165E0
3.443168458E0,-2.498324203E1,-3.352246094E1,-5.581146240E0
3.463331458E0,-2.462494659E1,-3.357165527E1,-7.290908813E0
3.483494458E0,-2.452396011E1,-3.309496689E1,-9.616722107E0
3.503657458E0,-2.460435104E1,-3.198225212E1,-1.304074097E1
3.523820458E0,-2.438048172E1,-3.052587891E1,-1.663112640E1
3.543984458E0,-2.375988770E1,-2.853103828E1,-2.028594971E1
3.564147458E0,-2.361531448E1,-2.620956802E1,-2.326836395E1
3.584310458E0,-2.363071823E1,-2.411948204E1,-2.546782684E1
3.604473458E0,-2.356954002E1,-2.194817162E1,-2.683202362E1
3.624636458E0,-2.337522507E1,-2.009515953E1,-2.835005188E1
3.644800458E0,-2.321012115E1,-1.833252144E1,-2.955216217E1
3.664963458E0,-2.283349228E1,-1.671023750E1,-3.041650391E1
3.685126458E0,-2.286813927E1,-1.556287384E1,-3.118151093E1
3.705289458E0,-2.274695206E1,-1.501950836E1,-3.171445465E1
3.725452333E0,-2.287023163E1,-1.501020622E1,-3.138539886E1
3.745615333E0,-2.309838486E1,-1.503639793E1,-3.129927826E1
3.765779333E0,-2.340213013E1,-1.537058449E1,-3.066886139E1
3.785942333E0,-2.365136909E1,-1.630033493E1,-3.015334320E1
3.806105333E0,-2.388262367E1,-1.719863510E1,-2.957369232E1
3.826268333E0,-2.406305885E1,-1.820714760E1,-2.840789032E1
3.846431333E0,-2.471978378E1,-1.930008507E1,-2.742085266E1
3.866595333E0,-2.552542877E1,-2.014631844E1,-2.617851257E1
3.886758333E0,-2.651290321E1,-2.078614998E1,-2.520982361E1
3.906921333E0,-2.692031670E1,-2.109223747E1,-2.456895447E1
3.927084333E0,-2.730494881E1,-2.093132591E1,-2.473947144E1
3.947247333E0,-2.760311508E1,-2.118539238E1,-2.441046143E1
3.967411333E0,-2.848612595E1,-2.221626663E1,-2.253084564E1
3.987574333E0,-2.916326904E1,-2.369560623E1,-2.011676788E1
4.007737333E0,-2.937082481E1,-2.527418137E1,-1.779167175E1
4.027900333E0,-2.901004028E1,-2.684088516E1,-1.557159424E1
4.048063333E0,-2.838681793E1,-2.816275978E1,-1.392471313E1
4.068227333E0,-2.723278236E1,-2.981061935E1,-1.152343750E1
4.088390333E0,-2.675573349E1,-3.035127449E1,-1.042591095E1
4.108553333E0,-2.672137070E1,-3.049334145E1,-9.958923340E0
4.128716333E0,-2.658423233E1,-3.072710228E1,-9.674774170E0
4.148879333E0,-2.680582047E1,-3.063229179E1,-9.849227905E0
4.169042333E0,-2.670951080E1,-3.066296959E1,-9.903594971E0
4.189206333E0,-2.697048759E1,-3.047983742E1,-1.024824524E1
4.209369333E0,-2.705113602E1,-3.024996376E1,-1.032826996E1
4.229532333E0,-2.702213669E1,-2.999193001E1,-1.126891327E1
4.249695333E0,-2.714992523E1,-2.970850754E1,-1.197232056E1
4.269858333E0,-2.719109726E1,-2.947673416E1,-1.316563416E1
