"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.8533200000E-02,6.045777740E0,-5.364843750E0,3.503015442E0
3.8489200000E-02,7.014114075E0,-6.843768311E0,6.039341125E0
5.8444200000E-02,1.038061340E1,-9.682315521E0,1.001237915E1
7.8400200000E-02,1.250275040E1,-1.266456390E1,5.464835815E0
9.8355200000E-02,7.770940247E0,-1.017853363E1,3.109932861E0
1.1831120000E-01,4.478985901E0,-5.120551758E0,3.234473877E0
1.3826620000E-01,2.458637238E0,-2.279908905E0,3.417842560E0
1.5822220000E-01,2.221679993E0,-3.178041229E0,3.195554810E0
1.7817720000E-01,3.467838593E0,-6.849456482E0,3.758234711E0
1.9813320000E-01,4.949457550E0,-8.861272888E0,3.009192352E0
2.1808820000E-01,5.563181305E0,-9.809700623E0,2.403551788E0
2.3804330000E-01,5.358856201E0,-9.673633575E0,2.868185577E0
2.5799830000E-01,6.883286133E0,-9.424252167E0,1.655856628E0
2.7795430000E-01,7.145840149E0,-1.014365616E1,6.189628601E-1
2.9790930000E-01,5.854325867E0,-1.169128784E1,9.665400696E-1
3.1786430000E-01,4.366270294E0,-1.182585800E1,1.701062622E0
3.3782030000E-01,4.538562012E0,-1.011970596E1,2.978356476E0
3.5777630000E-01,5.046006775E0,-8.542435913E0,2.873724060E0
3.7773130000E-01,4.057761841E0,-7.972121887E0,1.155896301E0
3.9768630000E-01,2.812651062E0,-8.047565002E0,6.556365967E-1
4.1764230000E-01,2.417921906E0,-8.975335693E0,4.022135925E-1
4.3759730000E-01,2.213596802E0,-1.064750839E1,-3.189866638E-1
4.5755330000E-01,2.331551514E0,-1.156195679E1,-3.073109436E-1
4.7750830000E-01,3.089724884E0,-1.103175934E1,2.080673218E-1
4.9746430000E-01,3.716172180E0,-9.915680237E0,5.436694336E-1
5.1741930000E-01,4.594545593E0,-8.985813904E0,1.118773499E0
5.3737530000E-01,4.306544495E0,-8.241411896E0,1.405577087E0
5.5733030000E-01,3.787573700E0,-7.868836670E0,9.300160217E-1
5.7728630000E-01,3.289259949E0,-7.921976166E0,3.682342529E-1
5.9724130000E-01,2.928360443E0,-8.129744110E0,2.894979858E-1
6.1719730000E-01,2.875969391E0,-8.371491394E0,4.423301697E-1
6.3715230000E-01,2.610122223E0,-8.523724823E0,3.478765869E-1
6.5710830000E-01,2.293530579E0,-8.550818481E0,7.089257812E-1
6.7706330000E-01,2.601889343E0,-8.940458221E0,7.864645386E-1
6.9701930000E-01,3.114124146E0,-9.221873016E0,1.153501282E0
7.1697430000E-01,3.229384460E0,-9.153914337E0,8.720864868E-1
7.3693030000E-01,3.310066681E0,-8.913813629E0,5.466632080E-1
7.5688530000E-01,3.071911926E0,-9.095685425E0,5.783972168E-1
7.7684130000E-01,2.984344025E0,-9.092242584E0,3.848497009E-1
7.9679630000E-01,2.951262817E0,-9.337582397E0,5.418731689E-1
8.1675230000E-01,2.963986359E0,-9.644294586E0,6.182144165E-1
8.3670730000E-01,2.502046967E0,-9.745633850E0,4.200265503E-1
8.5666330000E-01,2.063758392E0,-9.538464661E0,2.427951050E-1
8.7661830000E-01,1.903741150E0,-9.283395081E0,-3.278182983E-2
8.9657430000E-01,1.794019318E0,-9.220525818E0,-2.327659607E-1
9.1652930000E-01,1.847308502E0,-9.311985626E0,-3.568579102E-1
