"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.4791200000E-02,-9.076772332E-1,1.333933473E-1,2.146639079E-1
3.4747200000E-02,-6.280811429E-1,2.948441207E-1,1.767109483E-1
5.4702200000E-02,3.086026013E-2,5.755094886E-1,-1.951528341E-1
7.4658200000E-02,-3.938426077E-2,9.350875020E-1,-4.996191263E-1
9.4613200000E-02,-1.191850454E-1,9.836645722E-1,1.620924473E-1
1.1456920000E-01,-4.866398871E-2,8.387616277E-1,5.890049934E-1
1.3452420000E-01,-4.738805443E-2,6.249502897E-1,5.887174010E-1
1.5448020000E-01,-3.332678974E-1,1.481187344E-1,3.260925114E-1
1.7443520000E-01,-5.275877118E-1,-7.204496264E-1,2.774751186E-1
1.9439120000E-01,-5.172193050E-1,-1.346678495E0,5.111417174E-1
2.1434620000E-01,-7.166228890E-1,-1.224686861E0,8.416503668E-1
2.3430130000E-01,-7.195421457E-1,-8.062404990E-1,1.107051611E0
2.5425630000E-01,-6.708617806E-1,-2.987144887E-1,1.013686180E0
2.7421230000E-01,-4.919980466E-1,-3.204068244E-1,7.729724646E-1
2.9416730000E-01,-5.952882171E-1,-1.060619354E0,6.776885390E-1
3.1412330000E-01,-9.048845768E-1,-1.006267190E0,9.817482233E-1
3.3407830000E-01,-9.754613638E-1,-2.501228452E-1,1.270366430E0
3.5403430000E-01,-7.968391776E-1,3.566816449E-1,1.179332018E0
3.7398930000E-01,-7.716274858E-1,7.334700227E-1,1.027397633E0
3.9394530000E-01,-7.621234655E-1,4.439689219E-1,1.015590429E0
4.1390030000E-01,-6.893578768E-1,-1.963371038E-1,1.025669694E0
4.3385630000E-01,-5.713094473E-1,-4.412625432E-1,1.053766131E0
4.5381130000E-01,-5.444476008E-1,-7.814458013E-1,1.109356880E0
4.7376730000E-01,-6.113521457E-1,-1.168388247E0,1.112989187E0
4.9372230000E-01,-6.490708590E-1,-9.500678778E-1,1.058268666E0
5.1367830000E-01,-6.196890473E-1,-6.413214803E-1,8.965076208E-1
5.3363330000E-01,-4.410044253E-1,-2.000643611E-1,8.104975224E-1
5.5358930000E-01,-3.464690149E-1,2.582054138E-1,8.016455770E-1
5.7354430000E-01,-4.646161497E-1,6.566537023E-1,8.285906315E-1
5.9350030000E-01,-5.887126327E-1,6.901650429E-1,8.505328298E-1
6.1345530000E-01,-5.992657542E-1,3.988897502E-1,7.915356159E-1
6.3341130000E-01,-5.852751136E-1,2.604232132E-1,6.861422062E-1
6.5336630000E-01,-6.382357478E-1,1.188322008E-1,6.853221059E-1
6.7332230000E-01,-6.538184285E-1,-3.542679176E-2,7.379334569E-1
6.9327730000E-01,-5.077532530E-1,8.951648138E-3,6.896604896E-1
7.1323330000E-01,-3.831055164E-1,2.011443079E-1,6.061258316E-1
7.3318830000E-01,-3.580417037E-1,4.662357569E-1,4.565020204E-1
7.5314430000E-01,-2.992633879E-1,8.129922748E-1,4.091535807E-1
7.7309930000E-01,-2.867460549E-1,1.178376317E0,4.372307360E-1
7.9305530000E-01,-3.240324259E-1,1.386727333E0,4.160997570E-1
8.1301030000E-01,-2.744943500E-1,1.501661181E0,3.375739753E-1
8.3296630000E-01,-2.541875243E-1,1.564617157E0,3.057630658E-1
8.5292130000E-01,-2.837086022E-1,1.404746890E0,3.322694600E-1
8.7287730000E-01,-2.954809368E-1,1.174054265E0,3.311433196E-1
8.9283230000E-01,-2.672351003E-1,8.297011852E-1,2.858154476E-1
9.1278830000E-01,-1.672017872E-1,4.597453177E-1,2.224228382E-1
9.3274330000E-01,-9.313702583E-2,7.493662089E-2,1.477777511E-1
9.5269930000E-01,-7.658614963E-2,-7.867549360E-2,4.470997490E-3
9.7265430000E-01,-1.313346326E-1,-1.138106957E-1,-7.769659162E-2
9.9261030000E-01,-2.740277052E-1,-1.010181829E-1,-5.079705641E-2
1.0125653000E+00,-3.139822781E-1,3.651968390E-2,7.565788925E-2
1.0325213000E+00,-2.127175331E-1,1.710588485E-1,1.728484333E-1
1.0524763000E+00,-1.145684496E-1,1.895512044E-1,1.496842355E-1
1.0724323000E+00,-1.418712139E-1,3.650923446E-2,1.696090847E-1
1.0923873000E+00,-1.921831816E-1,2.598243998E-3,1.649671346E-1
1.1123433000E+00,-2.774023414E-1,1.374992728E-2,1.348124743E-1
1.1322983000E+00,-3.402273655E-1,-1.796139590E-2,1.959132850E-1
1.1522543000E+00,-3.251596987E-1,-3.448399901E-2,3.193618357E-1
1.1722093000E+00,-1.843762249E-1,-4.241915420E-2,3.761742413E-1
1.1921653000E+00,1.507977489E-3,-1.503605247E-1,3.178122044E-1
1.2121203000E+00,1.704042777E-3,-3.523507118E-1,2.765142918E-1
1.2320753000E+00,-7.571160048E-2,-4.663930833E-1,2.900538743E-1
1.2520314000E+00,-8.741251379E-2,-3.605166376E-1,3.174106479E-1
1.2719874000E+00,-1.731656492E-1,-1.441903859E-1,3.403863311E-1
1.2919424000E+00,-3.388175666E-1,1.433121115E-1,3.648302555E-1
1.3118984000E+00,-3.705805242E-1,2.509301603E-1,2.493362129E-1
1.3318534000E+00,-2.373168170E-1,6.689412147E-2,1.553403884E-1
1.3518094000E+00,-1.227298230E-1,-1.579984576E-1,8.797292411E-2
1.3717644000E+00,-1.432438493E-1,-2.048857510E-1,-3.101449832E-2
1.3917194000E+00,-1.636357009E-1,-1.377346218E-1,-7.674063742E-2
1.4116754000E+00,-1.565289050E-1,-1.342961639E-1,-6.654478610E-2
1.4316304000E+00,-2.920725048E-1,-3.821084201E-1,-8.878850937E-2
1.4515864000E+00,-5.162013769E-1,-7.150646448E-1,-7.081137598E-2
1.4715414000E+00,-7.055845261E-1,-6.714452505E-1,7.979236543E-2
1.4914974000E+00,-7.945070863E-1,-5.794188380E-2,4.207597375E-1
1.5114534000E+00,-6.440051794E-1,1.007946849E0,4.934173822E-1
1.5314084000E+00,-3.566342294E-1,1.047431231E0,4.214383960E-1
1.5513634000E+00,-2.612629533E-2,4.722042382E-1,3.609499931E-1
1.5713194000E+00,3.599145114E-1,1.635128558E-1,2.168302536E-1
1.5912754000E+00,8.191874027E-1,-1.944871433E-2,3.444633260E-2
1.6112304000E+00,1.289846539E0,-3.981368244E-2,-1.323560923E-1
1.6311854000E+00,1.386320472E0,5.541643500E-2,-1.724023931E-2
1.6511414000E+00,1.220721126E0,2.129577249E-1,8.279252797E-4
1.6710964000E+00,1.100946069E0,1.074727029E-1,-1.887384206E-1
1.6910524000E+00,1.135113716E0,-4.739466906E-1,-4.561055899E-1
1.7110084000E+00,1.286275983E0,-1.123069406E0,-8.681762218E-1
1.7309634000E+00,1.435610771E0,-1.275864959E0,-1.383674026E0
1.7509194000E+00,1.485645175E0,-1.135464072E0,-1.646826625E0
1.7708744000E+00,1.306784034E0,-1.291096330E0,-1.548660994E0
1.7908294000E+00,8.650947213E-1,-1.519199252E0,-1.353106260E0
1.8107854000E+00,1.135701612E-1,-1.426520944E0,-1.136900663E0
1.8307414000E+00,3.075714409E-1,-8.063932061E-1,-9.781481028E-1
1.8506964000E+00,1.232624888E0,-1.355330944E-1,-1.122275233E0
1.8706524000E+00,1.281757951E0,5.818594694E-1,-1.221359611E0
1.8906074000E+00,8.221599460E-1,6.866469979E-1,-1.211015582E0
1.9105634000E+00,7.032431364E-1,1.118046716E-1,-1.150624156E0
1.9305184000E+00,9.784394503E-1,-1.648166925E-1,-1.165193319E0
1.9504744000E+00,1.109688044E0,4.143067077E-2,-1.248148680E0
1.9704294000E+00,1.124773383E0,-4.576119781E-1,-1.242897272E0
1.9903854000E+00,1.174342871E0,-3.285492361E-1,-1.225958228E0
2.0103404000E+00,1.256934166E0,-5.131591558E-1,-1.304071665E0
2.0302964000E+00,1.139397621E0,-4.360949099E-1,-1.389536619E0
2.0502514000E+00,9.448552132E-1,-5.426920056E-1,-1.397093177E0
2.0702064000E+00,8.676965833E-1,-4.752783179E-1,-1.370316505E0
2.0901624000E+00,8.624105453E-1,-1.395294815E-2,-1.349451780E0
2.1101184000E+00,8.349534869E-1,3.329221606E-1,-1.347914457E0
2.1300734000E+00,8.644631505E-1,4.603537619E-1,-1.337511420E0
2.1500294000E+00,9.254448414E-1,5.418270826E-1,-1.247757196E0
2.1699844000E+00,9.267535210E-1,4.298531711E-1,-1.120928049E0
2.1899404000E+00,8.935961723E-1,1.876346171E-1,-9.942600727E-1
2.2098954000E+00,7.617392540E-1,-1.613499373E-1,-9.241172075E-1
2.2298514000E+00,5.910226107E-1,-3.284576237E-1,-8.751181960E-1
2.2498068000E+00,4.271337986E-1,-4.234206378E-1,-7.711417079E-1
2.2697628000E+00,2.154545784E-1,-2.604844570E-1,-6.292085648E-1
2.2897178000E+00,4.088053107E-2,9.396348149E-3,-3.918700814E-1
2.3096738000E+00,-7.464861870E-2,2.544198930E-1,-2.918576896E-1
2.3296288000E+00,-1.383179724E-1,2.436736673E-1,-1.896625459E-1
2.3495848000E+00,-2.182217091E-1,3.601100445E-1,-1.159026846E-1
2.3695398000E+00,-2.940770984E-1,3.070439696E-1,-9.954302758E-2
2.3894958000E+00,-3.595736027E-1,-7.143694907E-2,-1.507164687E-1
2.4094508000E+00,-5.351847410E-1,-3.438515961E-1,-1.028925478E-1
2.4294068000E+00,-7.613891363E-1,-4.625216424E-1,8.180959150E-3
2.4493618000E+00,-8.083079457E-1,-4.537390769E-1,-5.966226757E-2
2.4693178000E+00,-7.820217013E-1,8.902703412E-3,-1.016194560E-2
2.4892728000E+00,-7.322076559E-1,8.685262799E-1,6.893892586E-2
2.5092288000E+00,-4.439166486E-1,1.251472950E0,4.030628502E-2
2.5291838000E+00,-1.778135747E-1,1.253648520E0,-3.827367723E-2
2.5491398000E+00,-9.631484747E-2,1.130263686E0,-1.605322808E-1
2.5690948000E+00,-6.830206513E-2,7.697829008E-1,-3.763908148E-1
2.5890508000E+00,-1.035461873E-1,5.617406368E-1,-2.733570933E-1
2.6090058000E+00,-5.495766178E-2,5.995424986E-1,2.016957849E-2
2.6289618000E+00,5.057443678E-2,6.092287302E-1,1.831724942E-1
2.6489168000E+00,2.018409669E-1,3.510879576E-1,1.670864671E-1
2.6688728000E+00,1.648339480E-1,2.879299596E-2,1.387248635E-1
2.6888278000E+00,1.425077319E-1,-1.905897260E-1,2.019353211E-1
2.7087838000E+00,1.782104373E-1,-2.634095252E-1,1.657363027E-1
