"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.4791200000E-02,6.586456299E0,4.511962891E1,-5.059036255E0
3.4747200000E-02,7.044204712E0,4.546545410E1,-4.344619751E0
5.4702200000E-02,7.573867798E0,4.572811890E1,-4.119598389E0
7.4658200000E-02,7.726684570E0,4.602050781E1,-4.572952271E0
9.4613200000E-02,7.402221680E0,4.611099243E1,-4.417312622E0
1.1456920000E-01,7.713409424E0,4.619049072E1,-4.243331909E0
1.3452420000E-01,8.449081421E0,4.624218750E1,-4.384399414E0
1.5448020000E-01,8.895721436E0,4.636123657E1,-4.412536621E0
1.7443520000E-01,9.450042725E0,4.638125610E1,-4.027603149E0
1.9439120000E-01,9.825149536E0,4.653094482E1,-4.209823608E0
2.1434620000E-01,1.024020386E1,4.649160767E1,-3.699722290E0
2.3430130000E-01,1.129791260E1,4.626028442E1,-3.281936646E0
2.5425630000E-01,1.238858032E1,4.633166504E1,-2.520584106E0
2.7421230000E-01,1.347599792E1,4.631689453E1,-2.187042236E0
2.9416730000E-01,1.410856628E1,4.644281006E1,-1.826187134E0
3.1412330000E-01,1.494921875E1,4.628115845E1,-8.830718994E-1
3.3407830000E-01,1.604722595E1,4.595504761E1,-1.528472900E-1
3.5403430000E-01,1.708224487E1,4.550668335E1,6.811065674E-1
3.7398930000E-01,1.793843079E1,4.512542725E1,1.518127441E0
3.9394530000E-01,1.920176697E1,4.487384033E1,2.740921021E0
4.1390030000E-01,1.995805359E1,4.423410034E1,3.714065552E0
4.3385630000E-01,2.087557983E1,4.358215332E1,4.680892944E0
4.5381130000E-01,2.202825928E1,4.316961670E1,5.121292114E0
4.7376730000E-01,2.299917603E1,4.234365845E1,5.583450317E0
4.9372230000E-01,2.392912292E1,4.189654541E1,5.819778442E0
5.1367830000E-01,2.470040894E1,4.122015381E1,6.154602051E0
5.3363330000E-01,2.513430786E1,4.101666260E1,6.297409058E0
5.5358930000E-01,2.558465576E1,4.053976440E1,6.483947754E0
5.7354430000E-01,2.623690796E1,3.998242188E1,7.032333374E0
5.9350030000E-01,2.678594971E1,3.939938354E1,7.638900757E0
6.1345530000E-01,2.728622437E1,3.869461060E1,8.836914062E0
6.3341130000E-01,2.792025757E1,3.833465576E1,9.376998901E0
6.5336630000E-01,2.826074219E1,3.774285889E1,1.016503906E1
6.7332230000E-01,2.895408630E1,3.724926758E1,1.086851501E1
6.9327730000E-01,2.934260559E1,3.672518921E1,1.132920837E1
7.1323330000E-01,2.985578918E1,3.615942383E1,1.177706909E1
7.3318830000E-01,3.029026794E1,3.557437134E1,1.231709290E1
7.5314430000E-01,3.041246033E1,3.516101074E1,1.250529480E1
7.7309930000E-01,3.040399170E1,3.490664673E1,1.344132996E1
7.9305530000E-01,3.049096680E1,3.440512085E1,1.428303528E1
8.1301030000E-01,3.040437317E1,3.402688599E1,1.536604309E1
8.3296630000E-01,3.007914734E1,3.373263550E1,1.628720093E1
8.5292130000E-01,2.976391602E1,3.343518066E1,1.750897217E1
8.7287730000E-01,2.960552979E1,3.314202881E1,1.819729614E1
8.9283230000E-01,2.938180542E1,3.273464966E1,1.891729736E1
9.1278830000E-01,2.937677002E1,3.261218262E1,1.938214111E1
