"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.925593900E-2,7.765908718E0,5.597930431E0,5.249813557E0
3.925593900E-2,7.276198864E0,5.664508820E0,5.781307220E0
5.925593900E-2,7.162340164E0,5.158652306E0,6.913879395E0
7.925593900E-2,7.156470776E0,4.522081852E0,7.857579231E0
9.925593900E-2,6.845750332E0,3.993604898E0,7.546437263E0
1.192559390E-1,6.310129166E0,3.508328915E0,6.766358376E0
1.392559390E-1,5.893566608E0,4.106553555E0,5.721586227E0
1.592559390E-1,5.556597233E0,4.723146915E0,5.728127480E0
1.792559390E-1,5.179098606E0,4.588755608E0,6.457075596E0
1.992559390E-1,5.033387661E0,4.349258900E0,7.402976513E0
2.192559390E-1,4.578977585E0,4.248022556E0,7.192909241E0
2.392559390E-1,4.809117794E0,4.158220768E0,5.946411610E0
2.592559390E-1,5.487194061E0,4.250943184E0,5.123409271E0
2.792559390E-1,5.515100956E0,4.310482025E0,5.107167244E0
2.992559390E-1,4.341731548E0,5.112865448E0,5.763935089E0
3.192559390E-1,3.185973644E0,5.598304272E0,6.943902969E0
3.392559390E-1,3.112883568E0,3.906877279E0,9.589284897E0
3.592559390E-1,4.600506306E0,2.693122387E0,9.306032181E0
3.792559390E-1,5.927411079E0,3.148001671E0,7.950387001E0
3.992559390E-1,4.977765560E0,4.136146069E0,6.515733242E0
4.192559390E-1,4.351126194E0,4.915889740E0,5.183494568E0
4.392559390E-1,4.934009075E0,4.665389061E0,4.498589993E0
4.592559390E-1,4.681123734E0,4.450428009E0,4.454804897E0
4.792559390E-1,4.242525101E0,4.005968571E0,5.653581619E0
4.992559390E-1,3.750612497E0,3.455196857E0,7.516366005E0
5.192559390E-1,2.661844492E0,3.272720337E0,9.132298470E0
5.392559390E-1,2.895317554E0,2.912843227E0,1.327422142E1
5.592559390E-1,3.023953199E0,2.753963947E0,1.132140446E1
5.792559390E-1,4.220833778E0,2.940903187E0,7.615083694E0
5.992559390E-1,3.490161657E0,3.108152628E0,7.707959652E0
6.192559390E-1,2.995768785E0,3.368909836E0,9.656782150E0
6.392559390E-1,2.363622904E0,3.642969370E0,8.520072937E0
6.592559390E-1,3.491023779E0,1.746483922E0,8.463090897E0
6.792559390E-1,1.777225375E0,4.557688236E0,1.107347965E1
6.992559390E-1,1.900766253E0,3.380526543E0,9.262103081E0
7.192559390E-1,1.551519275E0,2.791878462E0,9.396159172E0
7.392559390E-1,2.028310061E0,1.977332830E0,8.553783417E0
7.592559390E-1,1.552227974E0,1.590161681E0,9.456474304E0
7.792559390E-1,1.557131290E0,1.890519023E0,9.561809540E0
7.992559390E-1,1.365432382E0,2.586053848E0,9.685618401E0
8.192559390E-1,1.310126305E0,2.902414083E0,9.783147812E0
8.392559390E-1,1.273705721E0,2.903228045E0,9.480875969E0
8.592559390E-1,2.028817654E0,2.644500971E0,8.111794472E0
8.792559390E-1,2.454497099E0,2.616527081E0,6.256939411E0
8.992559390E-1,2.639999866E0,2.639798880E0,6.493936539E0
9.192559390E-1,2.198461294E0,2.887004852E0,7.974779129E0
9.392559390E-1,1.649767756E0,2.943910360E0,9.241217613E0
9.592559390E-1,1.892300367E0,2.881708860E0,9.317955017E0
9.792559390E-1,2.068800926E0,3.422032356E0,7.393974304E0
9.992559390E-1,1.854232550E0,3.897319555E0,5.913582325E0
1.019255939E0,9.438613057E-1,4.591647625E0,6.258136749E0
1.039255939E0,8.575838804E-1,4.276226044E0,8.112569809E0
1.059255939E0,1.374185562E0,3.776144266E0,7.561415195E0
1.079255939E0,1.551864028E0,4.002118587E0,5.078245163E0
1.099255939E0,1.043000460E0,4.655036449E0,4.587625504E0
1.119255939E0,3.088807464E-1,4.746322632E0,4.794197083E0
1.139255939E0,-1.201218814E-1,4.006524086E0,7.539953709E0
1.159255939E0,7.849533558E-1,4.006207943E0,8.249289513E0
1.179255939E0,1.070706129E0,4.217165947E0,7.983561039E0
1.199255939E0,1.374271661E-1,4.679869175E0,5.795538425E0
1.219255939E0,-5.533286929E-1,4.850297928E0,9.726041794E0
1.239255939E0,-8.443199992E-1,4.368661404E0,1.022315502E1
1.259255939E0,3.572148737E-3,3.008208990E0,1.054876614E1
1.279255939E0,-5.996325612E-1,4.250799656E0,9.831972122E0
1.299255939E0,-1.405980468E0,5.175736904E0,9.739027977E0
1.319255939E0,-1.195894122E0,5.296826363E0,9.554320335E0
1.339255939E0,-8.666722775E-1,4.705899239E0,9.678847313E0
1.359255939E0,-6.799532771E-1,3.502247572E0,1.010921001E1
1.379255939E0,4.804587960E-1,3.706702948E0,8.504137993E0
1.399255939E0,-6.290333867E-1,3.112988710E0,1.148494720E1
1.419255939E0,-7.878742814E-1,4.769105911E0,1.121955395E1
1.439255939E0,-4.400063753E-1,5.161286831E0,9.416777611E0
1.459255939E0,-2.043403238E-1,4.694713116E0,8.414977074E0
1.479255939E0,1.938345656E-2,3.724994659E0,8.084088326E0
1.499255939E0,-3.352839947E-1,3.211447954E0,8.491045952E0
1.519255939E0,-7.672745585E-1,3.205644369E0,9.318482399E0
1.539255939E0,-1.026940107E0,3.500533342E0,9.682065010E0
1.559255939E0,-9.918698668E-1,3.495208740E0,9.098627090E0
1.579255939E0,-8.383249044E-1,3.216399193E0,7.541658401E0
1.599255939E0,-7.101776600E-1,3.718721867E0,5.224750996E0
1.619255939E0,-2.035291672E0,3.609460115E0,5.751724720E0
1.639255939E0,-1.544298291E0,2.510531187E0,7.281293869E0
1.659255939E0,-8.896278739E-1,1.894177437E0,5.575137615E0
1.679255939E0,6.644388288E-2,9.626605511E-1,6.574822426E0
1.699255939E0,3.732177317E-1,1.042732239E0,7.556971550E0
1.719255939E0,1.237131879E-1,1.642546773E0,8.878600121E0
1.739255939E0,-2.781487703E-1,1.743361831E0,1.062243176E1
1.759255939E0,-1.440466642E0,2.487958431E0,9.400737762E0
1.779255939E0,-1.784206867E0,2.367520571E0,8.498218536E0
1.799255939E0,-1.905075788E0,2.024795532E0,8.842572212E0
1.819255939E0,-2.226578712E0,2.778202772E0,9.271556854E0
1.839255939E0,-2.709814787E0,1.037512898E0,1.218159199E1
1.859255939E0,1.538801193E-1,-7.972403765E-1,1.366901493E1
1.879255939E0,3.420069218E0,-1.200538874E0,1.068133736E1
1.899255939E0,2.890778065E0,-2.143337250E0,1.177836132E1
1.919255939E0,-2.161964029E-1,-6.968084574E-1,1.381420898E1
1.939255939E0,-2.293913364E0,9.134836793E-1,1.318806648E1
1.959255939E0,-5.157320976E0,1.715493321E0,1.255971432E1
1.979255939E0,-3.765696049E0,1.976920962E0,9.890772820E0
1.999255939E0,-1.145702124E0,1.232467890E0,8.112982750E0
2.019255939E0,-1.482307673E0,1.937493324E0,8.312026024E0
2.039255939E0,-1.305146337E0,2.055345535E0,8.592033386E0
2.059255939E0,-2.703005791E0,1.688879371E0,9.280691147E0
2.079255939E0,-1.798572183E0,1.275161386E0,7.260445118E0
2.099255939E0,-5.554355979E-1,1.709843040E0,5.793824196E0
2.119255939E0,2.687251866E-1,1.765129924E0,5.095972061E0
2.139255939E0,-1.096055865E0,1.985712528E0,5.062989235E0
2.159255939E0,3.312808871E-1,1.411630869E0,4.386397839E0
2.179255939E0,3.926078796E0,1.903897882E0,1.036482525E1
2.199255939E0,2.314216137E0,1.918598294E0,9.485022545E0
2.219255939E0,-9.377800226E-1,4.577991009E0,6.477684975E0
2.239255939E0,-1.790173292E0,6.909589291E0,6.249229908E0
2.259255939E0,-2.553885221E0,5.917508602E0,6.901429653E0
2.279255939E0,-1.436156988E0,5.295763016E0,6.635175228E0
2.299255939E0,-1.076509595E0,5.144238949E0,7.267004967E0
2.319255939E0,2.679973602E0,1.538638473E0,1.537874317E1
2.339255939E0,-2.583927631E0,-1.548109889E0,1.238093472E1
2.359255939E0,5.734591484E-1,-7.469813228E-1,1.227888393E1
2.379255939E0,2.191336155E0,1.480287015E-1,1.200386620E1
2.399255939E0,1.378246069E0,-3.980025053E-1,1.117425728E1
2.419255939E0,1.187619790E-1,-1.158448815E0,1.077001858E1
2.439255939E0,-2.687922120E-1,-9.362477660E-1,9.642963409E0
2.459255939E0,1.483274937E0,-6.772429943E-1,1.138863277E1
2.479255939E0,2.629886866E-1,-1.080273390E0,9.417429924E0
2.499255939E0,5.258528590E-1,8.544713855E-1,8.275156021E0
2.519255939E0,2.568192959E0,-1.113820910E0,9.772029877E0
2.539255939E0,2.700151920E0,-1.856914043E0,9.329015732E0
2.559255939E0,1.760207415E0,7.629650235E-1,8.034902573E0
2.579255939E0,1.361170650E0,2.180514336E0,1.002455044E1
2.599255939E0,1.340178251E0,2.111906052E0,7.164083481E0
2.619255939E0,2.812966585E0,1.097904205E0,6.629572868E0
2.639255939E0,2.926604986E0,3.054905534E-1,8.259604454E0
2.659255939E0,1.084228516E0,-5.479657054E-1,7.919281483E0
2.679255939E0,-1.309312224E0,3.690518141E-1,9.337654114E0
2.699255939E0,-2.453979969E0,3.984334469E-1,3.758408070E0
2.719255939E0,-4.684973657E-1,-4.081922174E-1,5.917029858E0
2.739255939E0,2.908763289E-1,-1.121731281E0,2.084095192E1
2.759255939E0,-3.100797415E0,1.785921216E0,8.649273872E0
2.779255939E0,-1.129823685E0,3.310127258E-1,8.378729820E0
2.799255939E0,-1.178751588E0,1.473975897E0,9.056623459E0
2.819255939E0,-5.290132165E-1,1.996821642E0,7.713725090E0
2.839255939E0,-2.560799837E0,2.351556063E0,9.068154335E0
2.859255939E0,-2.736380816E0,9.597971439E-1,7.096652985E0
2.879255939E0,-2.490170717E0,1.323782802E0,7.593267918E0
2.899255939E0,-1.678268313E0,5.576766133E-1,6.953843594E0
2.919255939E0,-1.286433220E0,3.151727095E-2,7.337969303E0
2.939255939E0,-1.477212787E0,-5.840798616E-1,7.633279800E0
2.959255939E0,-2.598867416E0,-6.825198531E-1,7.568004131E0
2.979255939E0,-5.732733727E0,3.268564120E-2,1.061917496E1
2.999255939E0,-7.379772186E0,1.386051178E-1,1.847628593E1
3.019255939E0,-9.368616104E0,-2.148183107E0,1.498538399E1
3.039255939E0,-8.630964279E0,-2.179374695E0,5.443897247E0
3.059255939E0,-7.068717480E0,5.391071439E-1,4.617218018E0
3.079255939E0,-6.886183262E0,8.054094389E-3,8.915002823E0
3.099255939E0,-6.806504250E0,-1.393185854E0,8.242997169E0
3.119255939E0,-8.492673874E0,-9.034376144E-1,6.474974632E0
3.139255939E0,-9.929040909E0,1.518316507E0,5.425634384E0
3.159255939E0,-9.452432632E0,2.244142532E0,5.710544109E0
3.179255939E0,-7.949611187E0,2.258115113E-1,3.945107937E0
3.199255939E0,-6.931845665E0,-5.446425676E-1,1.271024227E0
3.219255939E0,-6.479944706E0,-7.054945827E-1,4.510101080E-1
3.239255939E0,-7.876472950E0,-8.996451646E-2,5.211697817E-1
3.259255939E0,-1.058496666E1,3.806205988E-1,2.865830660E0
3.279255939E0,-9.671204567E0,-4.309658706E-1,3.037351131E0
3.299255939E0,-6.529304028E0,-8.029960394E-1,1.895748019E0
3.319255939E0,-4.564785004E0,-5.251728892E-1,2.221819162E0
3.339255939E0,-4.551635742E0,-1.095826030E0,3.932849646E0
3.359255939E0,-8.936789513E0,-1.483830363E-1,3.079996824E0
3.379255939E0,-9.958940506E0,1.680451751E0,2.707190752E0
3.399255939E0,-6.285411358E0,5.122633651E-2,3.381704330E0
3.419255939E0,-4.358529091E0,-1.958792090E0,2.886190891E0
3.439255939E0,-2.863072395E0,-9.636086822E-1,2.113764048E0
3.459255939E0,-6.953719139E0,2.115573883E0,1.623096347E0
3.479255939E0,-6.684352398E0,1.955947757E0,2.364848614E0
3.499255939E0,-7.954466820E0,-2.856761403E-2,2.215680361E0
3.519255939E0,-1.215828323E1,-1.083232522E0,1.918512106E0
3.539255939E0,-1.437372303E1,-1.247177958E0,1.456574798E0
3.559255939E0,-1.440306759E1,-2.650974989E0,2.895202637E0
3.579255939E0,-1.326108074E1,-2.714028597E0,4.912307739E0
3.599255939E0,-1.253170204E1,-1.932906032E0,5.917594910E0
3.619255939E0,-1.210606098E1,-1.342045784E0,5.230794430E0
3.639255939E0,-1.175117397E1,-4.848066568E-1,3.643064976E0
3.659255939E0,-9.931015015E0,-2.337315381E-1,4.226321220E0
3.679255939E0,-1.007076836E1,2.875914983E-2,2.804826260E0
3.699255939E0,-1.134588242E1,6.739390492E-1,3.598331690E0
3.719255939E0,-1.149356747E1,1.603731960E-1,4.780109882E0
3.739255939E0,-1.033315468E1,-1.705341935E-1,3.697576284E0
3.759255939E0,-9.745759964E0,3.637175262E-1,1.147933483E0
3.779255939E0,-9.440690994E0,1.365643024E0,-1.277354509E-1
3.799255939E0,-1.011962891E1,4.100357533E0,4.015554786E-1
3.819255939E0,-9.028228760E0,4.182210445E0,2.745919466E0
3.839255939E0,-1.130968189E1,3.163324594E0,4.549586296E0
3.859255939E0,-8.727487564E0,2.780357599E0,2.825023890E0
3.879255939E0,-8.403484344E0,2.026030779E0,2.064730644E0
3.899255939E0,-8.455937386E0,2.470231771E0,2.731879652E-1
3.919255939E0,-1.076028061E1,4.298262119E0,2.104828835E0
3.939255939E0,-1.013854313E1,5.558215618E0,3.098317146E0
3.959255939E0,-1.000868225E1,3.808743715E0,2.705304146E0
3.979255939E0,-7.668991566E0,2.329414606E0,2.878251791E0
3.999255939E0,-6.513061523E0,2.067201614E0,1.194802403E0
4.019255939E0,-1.068240166E1,4.345552444E0,1.350760698E0
4.039255939E0,-1.212593365E1,5.247927189E0,1.662581444E0
4.059255939E0,-1.003703022E1,4.885272503E0,4.226378918E0
4.079255939E0,-6.838127136E0,3.644693136E0,5.340630531E0
4.099255939E0,-5.735501289E0,2.169625521E0,4.687023163E0
4.119255939E0,-6.990695000E0,2.655169487E0,5.019280910E0
4.139255939E0,-9.852637291E0,4.640633106E0,4.995702744E0
4.159255939E0,-1.178250790E1,6.038147926E0,4.797625542E0
4.179255939E0,-1.083967209E1,4.077909470E0,4.926117897E0
4.199255939E0,-9.877231598E0,3.113180399E0,5.062510490E0
4.219255939E0,-9.670842171E0,3.414313555E0,3.638401031E0
4.239255939E0,-9.894334793E0,3.691150188E0,2.008754253E0
4.259255939E0,-1.056402206E1,4.433323860E0,1.548100352E0
4.279255939E0,-1.057019901E1,5.374302864E0,-1.172392666E-1
4.299255939E0,-9.680868149E0,4.105683327E0,-2.863369286E-1
4.319255939E0,-9.564068794E0,3.797491074E0,-1.436904073E-1
4.339255939E0,-9.089078903E0,3.359754324E0,-9.020489454E-1
4.359255939E0,-1.081435013E1,4.625597477E0,-4.685069323E-1
4.379255939E0,-1.155643845E1,5.111649036E0,-2.248710871E0
4.399255939E0,-9.729891777E0,4.053450584E0,-1.740230203E0
4.419255939E0,-7.176255226E0,3.981854200E0,-2.505675554E0
4.439255939E0,-8.881041527E0,3.039199591E0,-5.438381195E0
4.459255939E0,-8.366211891E0,2.162222624E0,-6.084652901E0
4.479255939E0,-1.023313332E1,3.852950335E0,-2.308862686E0
4.499255939E0,-1.034654331E1,2.739742279E0,-7.174943089E-1
4.519255939E0,-9.111660957E0,1.478860021E0,1.199925900E0
4.539255939E0,-7.318183422E0,5.897876024E-1,1.853973985E0
4.559255939E0,-5.902712345E0,4.682770967E-1,8.832784295E-1
4.579255939E0,-6.942725182E0,2.686217546E0,7.771099806E-1
4.599255939E0,-8.548640251E0,3.432135820E0,4.092542648E0
4.619255939E0,-8.482953072E0,2.806301117E0,3.557094097E0
4.639255939E0,-8.310063362E0,1.260049105E0,2.322873592E0
4.659255939E0,-9.140831947E0,1.667044282E0,9.050465226E-1
4.679255939E0,-1.095487213E1,2.181328297E0,7.497777343E-1
4.699255939E0,-1.073048592E1,1.560540557E0,1.842510462E0
4.719255939E0,-9.025011063E0,1.437497854E0,2.649088383E0
4.739255939E0,-8.366910934E0,1.526600361E0,3.548053503E0
4.759255939E0,-8.612500191E0,1.604622602E0,6.976129055E0
4.779255939E0,-9.129024506E0,1.194323540E0,5.543352604E0
4.799255939E0,-9.010261536E0,1.028807640E0,3.634656668E0
4.819255939E0,-7.534523487E0,1.074335694E0,3.630528927E0
4.839255939E0,-7.143905163E0,2.233809233E0,3.868388176E0
4.859255939E0,-5.590116024E0,3.730156422E0,7.363127708E0
4.879255939E0,-4.483582973E0,3.034171581E0,7.803679943E0
4.899255939E0,-5.669316292E0,2.226856470E0,7.042869568E0
4.919255939E0,-7.213356018E0,2.531533003E0,7.948414326E0
4.939255939E0,-8.197575569E0,3.051237583E0,8.008690834E0
4.959255939E0,-7.538890839E0,1.784915566E0,8.692695618E0
4.979255939E0,-7.603065014E0,1.553099394E0,7.613532543E0
4.999255939E0,-5.975927353E0,2.190301895E0,6.625167847E0
5.019255939E0,-2.225228548E0,2.667111874E0,5.752845287E0
5.039255939E0,-6.152906418E-1,2.609488249E0,5.230391979E0
5.059255939E0,-2.395044327E0,2.313632011E0,6.395755291E0
5.079255939E0,-4.765447617E0,2.179278851E0,7.210453987E0
5.099255939E0,-5.472723484E0,2.056810617E0,7.665314198E0
5.119255939E0,-4.761712551E0,1.193586111E0,8.435912132E0
5.139255939E0,-5.730071545E0,4.951017499E-1,6.601780891E0
5.159255939E0,-6.276313305E0,1.751090288E0,8.491601944E0
5.179255939E0,-6.248492718E0,1.420498967E0,9.861487389E0
5.199255939E0,-6.480854511E0,1.202856421E0,9.890676498E0
5.219255939E0,-5.855039120E0,-1.662533581E-1,8.305870056E0
5.239255939E0,-5.476353168E0,-2.267213166E-1,5.956754208E0
5.259255939E0,-5.071503162E0,7.036175728E-1,3.766854763E0
5.279255939E0,-4.177240372E0,2.248921394E0,6.021426678E0
5.299255939E0,-1.130542010E-1,-5.257475376E-1,1.003426170E1
5.319255939E0,-1.203028798E0,-2.670770168E0,4.654270649E0
5.339255939E0,-6.248157501E0,1.158592463E0,8.847541809E0
5.359255939E0,-3.550476551E0,8.674479723E-1,9.075508118E0
5.379255939E0,-2.193557978E0,1.114462495E0,8.912367821E0
5.399255939E0,-3.844991922E0,1.336405039E0,1.030940342E1
