"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.473750100E-2,-5.225515962E-1,6.629458666E-1,3.081553280E-1
4.473750100E-2,-4.901582599E-1,8.356287479E-1,3.883706629E-1
6.473750100E-2,-4.088608325E-1,9.551139474E-1,4.621108174E-1
8.473750100E-2,-3.773576319E-1,6.981142163E-1,2.953620553E-1
1.047375010E-1,-4.111297429E-1,3.678106964E-1,9.131562710E-2
1.247375010E-1,-5.616818666E-1,1.007054932E-2,-1.764527857E-1
1.447375010E-1,-8.668003082E-1,1.752310619E-2,-3.713187873E-1
1.647375010E-1,-9.337511659E-1,3.572340012E-1,-3.724009097E-1
1.847375010E-1,-7.854505181E-1,5.551717877E-1,-2.590243220E-1
2.047375010E-1,-4.502600431E-1,5.307546258E-1,-1.571145356E-1
2.247375010E-1,-1.194154248E-1,4.544662833E-1,-1.082104165E-3
2.447375010E-1,-7.787659019E-2,6.650925875E-1,1.064999923E-1
2.647375010E-1,-2.442064732E-1,1.147309661E0,1.062032878E-1
2.847375010E-1,-3.361329734E-1,1.576154470E0,2.651155181E-2
3.047375010E-1,-3.290992677E-1,1.760007501E0,2.013062686E-1
3.247375010E-1,-3.417529166E-1,1.598477244E0,6.603278518E-1
3.447375010E-1,-3.530451953E-1,5.930454135E-1,8.685805798E-1
3.647375010E-1,-2.770361006E-1,-6.901031733E-2,3.105813265E-1
3.847375010E-1,-4.884303808E-1,-5.052553415E-1,-1.274613887E-1
4.047375010E-1,-7.346963286E-1,-9.780825377E-1,-3.619812801E-2
4.247375010E-1,-8.055043817E-1,-1.381078959E-1,2.415884733E-1
4.447375010E-1,-7.372096181E-1,1.047232509E0,3.767467737E-1
4.647375010E-1,-7.913671732E-1,2.119388103E0,4.965461791E-1
4.847375010E-1,-9.449037910E-1,2.821027994E0,5.199335814E-1
5.047375010E-1,-9.461255074E-1,3.010396242E0,4.075692892E-1
5.247375010E-1,-7.264409661E-1,3.079493761E0,2.741563320E-1
5.447375010E-1,-2.567204833E-1,1.271873832E0,1.450194120E-1
5.647375010E-1,3.915297091E-1,-8.098327555E-3,1.710073650E-1
5.847375010E-1,4.885351062E-1,7.919256687E-1,4.195771366E-2
6.047375010E-1,2.769139409E-1,1.186160684E0,-1.411098689E-1
6.247375010E-1,5.159193277E-2,5.098630190E-1,-2.000845522E-1
6.447375010E-1,-1.768367589E-1,5.449267030E-1,2.617993741E-4
6.647375010E-1,-2.911907434E-1,9.853430986E-1,-2.140297294E-1
6.847375010E-1,-1.722639985E-2,5.319414735E-1,-4.916592315E-2
7.047375010E-1,1.572716236E-1,8.342499137E-1,1.287878454E-1
7.247375010E-1,3.331135511E-1,1.077548862E0,1.886700988E-1
7.447375010E-1,2.809281945E-1,1.168794632E0,1.616174914E-2
7.647375010E-1,1.854935884E-1,6.719168425E-1,-3.492927551E-1
7.847375010E-1,2.192133516E-1,3.302162886E-1,-5.632875562E-1
8.047375010E-1,3.809530139E-1,1.798910797E-1,-5.348386765E-1
8.247375010E-1,5.203175545E-1,-1.865931451E-1,-3.983016014E-1
8.447375010E-1,6.681469679E-1,-6.869441271E-1,-2.579421997E-1
8.647375010E-1,6.165201068E-1,-9.226159453E-1,-2.146231383E-1
8.847375010E-1,2.399304062E-1,-6.207612753E-1,-1.268156171E-1
9.047375010E-1,-6.768386811E-2,-1.394343525E-1,-1.245466918E-1
9.247375010E-1,2.998475730E-2,3.089931011E-1,-1.166752577E-1
9.447375010E-1,2.436828762E-1,1.753881425E-1,-5.700245500E-2
9.647375010E-1,4.274660349E-1,-1.320865154E-1,-1.044230461E-1
9.847375010E-1,5.230926275E-1,-1.548281610E-1,-1.660506278E-1
1.004737501E0,5.433558822E-1,4.409748912E-1,-1.019272283E-1
1.024737501E0,7.683986425E-1,1.495991468E0,1.000771821E-1
1.044737501E0,1.094164371E0,1.508714914E0,1.978156120E-1
1.064737501E0,1.126173735E0,1.003005862E0,2.473829687E-1
1.084737501E0,6.186668873E-1,9.373465180E-1,1.832944751E-1
1.104737501E0,2.384992391E-1,1.298175931E0,2.576629519E-1
1.124737501E0,1.527163088E-1,2.484057188E0,5.911604762E-1
1.144737501E0,4.082325101E-1,2.493621588E0,5.690471530E-1
1.164737501E0,5.955063105E-1,1.441711783E0,1.407258958E-1
1.184737501E0,4.297349751E-1,1.265363693E-1,6.440265104E-3
1.204737501E0,-2.478018403E-1,8.189084530E-1,1.972396523E-1
1.224737501E0,-1.803623289E-1,6.534163356E-1,3.642502055E-2
1.244737501E0,3.281218931E-2,5.764473677E-1,-2.478367537E-1
1.264737501E0,2.131047100E-2,-1.821425557E-1,-1.028173447E0
1.284737501E0,-2.972644866E-1,-6.298718452E-1,-1.120815516E0
1.304737501E0,-4.576776922E-1,-8.899782896E-1,-1.022291660E0
1.324737501E0,-6.873281002E-1,-1.313587189E0,-7.527605295E-1
1.344737501E0,-1.056308150E0,-1.924836397E0,-4.786216319E-1
1.364737501E0,-1.343833685E0,-2.702572584E0,-4.270296991E-1
1.384737501E0,-1.383487582E0,-5.812295675E-1,-7.650650740E-1
1.404737501E0,-1.130903482E0,-4.243069887E-1,-1.089033127E0
1.424737501E0,-8.462926745E-1,-1.014821649E0,-6.802245975E-1
1.444737501E0,-7.893600464E-1,-7.583630085E-1,-8.038986474E-2
