"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.384958333E-3,1.857637024E0,5.093009033E0,8.029003601E0
2.247195833E-2,1.806144104E0,5.100493469E0,8.003855896E0
4.255895833E-2,1.927990723E0,5.407505035E0,7.865693207E0
6.264595833E-2,1.918859711E0,5.603148193E0,7.543712769E0
8.273395833E-2,1.756896515E0,5.681884460E0,7.457791443E0
1.028209583E-1,1.589694214E0,5.714815979E0,7.314239960E0
1.229079583E-1,1.487456818E0,5.626499634E0,7.243137817E0
1.429949583E-1,1.530866547E0,5.524711304E0,7.491321716E0
1.630819583E-1,1.696422272E0,5.506449280E0,7.875123596E0
1.831689583E-1,1.984722748E0,5.367538147E0,8.355923767E0
2.032559583E-1,2.274669800E0,5.354964294E0,9.126371613E0
2.233429583E-1,2.544259186E0,5.281018066E0,9.732311554E0
2.434299583E-1,2.579136658E0,5.248236237E0,9.562265167E0
2.635169583E-1,2.615361328E0,5.458997955E0,8.657546539E0
2.836039583E-1,2.324665833E0,5.726042633E0,7.983797607E0
3.036909583E-1,2.363135834E0,5.873486023E0,7.816295929E0
3.237779583E-1,2.873873749E0,6.220464478E0,8.236172791E0
3.438649583E-1,2.399061127E0,6.515500946E0,9.433682556E0
3.639519583E-1,1.351838837E0,5.820496216E0,9.239985352E0
3.840389583E-1,1.777553558E0,4.225413208E0,9.142537994E0
4.041259583E-1,2.550396423E0,3.458707581E0,8.618777161E0
4.242129583E-1,1.605112152E0,3.137774963E0,9.295070801E0
4.442999583E-1,1.148112488E0,2.793939972E0,8.901688843E0
4.643869583E-1,1.448088684E0,1.918410645E0,8.017477570E0
4.844749583E-1,1.409768372E0,2.671045532E0,7.876770172E0
5.045619583E-1,1.303639069E0,3.214116211E0,7.790399780E0
5.246489583E-1,6.331832886E-1,3.314557343E0,7.502398682E0
5.447359583E-1,-6.697073364E-1,4.223167877E0,7.297474823E0
5.648229583E-1,-1.635049896E0,5.084027710E0,8.021519165E0
5.849099583E-1,-4.006268921E0,5.565426636E0,8.351732483E0
6.049969583E-1,-6.336024170E0,5.420977020E0,9.096583557E0
6.250839583E-1,-1.476529541E0,2.781815186E0,8.087681580E0
6.451709583E-1,-4.987628174E-1,3.648662567E0,9.147627411E0
6.652579583E-1,6.090834045E-1,4.149521027E0,8.869356079E0
6.853449583E-1,1.337319031E0,4.352498932E0,8.903784485E0
7.054315000E-1,7.423063660E-1,4.239783325E0,7.979905701E0
7.255185000E-1,7.699987793E-1,3.989653473E0,8.443042603E0
7.456055000E-1,3.550616455E-1,3.412603455E0,7.298073578E0
7.656925000E-1,9.253756714E-1,4.227059784E0,6.648723907E0
7.857805000E-1,1.887275391E0,5.594166870E0,6.808292084E0
8.058675000E-1,2.270179138E0,6.431375885E0,6.949149170E0
8.259545000E-1,2.315385132E0,5.241799622E0,7.407196655E0
8.460415000E-1,2.421963501E0,4.011358337E0,7.725584564E0
8.661285000E-1,1.879341888E0,4.820725250E0,8.336164856E0
8.862155000E-1,3.531007233E0,5.958658905E0,8.468789062E0
9.063025000E-1,3.472329254E0,5.268893280E0,8.371341705E0
9.263895000E-1,3.101101227E0,4.865332489E0,7.632029114E0
9.464765000E-1,2.866838379E0,3.639381866E0,8.050259399E0
9.665635000E-1,4.341871033E0,4.213737488E0,1.052012329E1
9.866505000E-1,4.011208649E0,6.337820435E0,1.198392929E1
1.006737500E0,5.433401184E0,4.123624878E0,7.426356812E0
1.026824500E0,3.741918640E0,5.004992065E0,6.951544189E0
1.046912500E0,3.942052460E0,4.906197510E0,6.129453735E0
1.066999500E0,3.926634521E0,5.679639130E0,6.194867706E0
1.087086500E0,4.629423065E0,5.861959991E0,6.372847595E0
1.107173500E0,5.910758514E0,5.591173096E0,6.643933868E0
1.127260500E0,6.615193634E0,5.454956360E0,6.536157990E0
1.147347500E0,6.060896301E0,5.347330170E0,5.592071228E0
1.167434500E0,5.525609436E0,5.290598145E0,4.619543610E0
1.187521500E0,6.203399963E0,5.711373138E0,4.079167328E0
1.207608500E0,7.589218140E0,5.257516937E0,3.961212616E0
1.227695500E0,7.338190155E0,4.958139496E0,4.285887451E0
1.247782500E0,7.040010223E0,4.890929260E0,3.894601135E0
1.267870500E0,5.969735870E0,5.316194916E0,3.460354156E0
1.287957500E0,4.952750702E0,4.986730042E0,2.856210480E0
1.308044500E0,5.645510101E0,4.678970032E0,2.774929504E0
1.328131500E0,7.531288605E0,3.650458832E0,5.615422668E0
1.348218500E0,7.328310699E0,3.901337128E0,4.207899628E0
1.368305500E0,5.150639191E0,4.805606689E0,5.176535339E0
1.388392500E0,3.337609406E0,4.852758636E0,5.538782043E0
1.408479500E0,3.716770935E0,4.272265778E0,4.853357391E0
1.428566500E0,5.361849976E0,4.332740021E0,5.145998840E0
1.448653500E0,6.443051605E0,4.455035706E0,4.313280487E0
1.468740500E0,6.069727936E0,3.949836273E0,3.240760803E0
1.488828500E0,5.546416168E0,4.216880951E0,2.781366119E0
1.508915500E0,6.444099426E0,5.016817474E0,4.396208038E0
1.529002500E0,8.920699310E0,5.782325592E0,4.464915161E0
1.549089500E0,7.838150482E0,6.099216614E0,5.111271057E0
1.569176500E0,6.607858887E0,6.030958557E0,4.486919403E0
1.589263500E0,5.834716644E0,6.069578247E0,4.728217621E0
1.609350500E0,6.273903351E0,6.457571411E0,4.827760620E0
1.629437500E0,7.081923065E0,7.407795410E0,4.969515839E0
1.649524500E0,8.413703613E0,7.855364685E0,4.860542450E0
1.669611500E0,9.230255585E0,7.232659607E0,4.092339935E0
1.689699708E0,9.249415741E0,6.751560059E0,3.637435913E0
1.709786708E0,8.890312500E0,6.925498352E0,3.168610840E0
1.729873708E0,8.248147888E0,7.435936890E0,3.009791107E0
1.749960708E0,8.110733643E0,7.721992035E0,2.954406281E0
1.770047708E0,7.784112854E0,7.592361603E0,2.315983887E0
1.790134708E0,7.351063385E0,7.194039917E0,2.502346344E0
1.810221708E0,6.878196716E0,7.494914246E0,3.029400330E0
1.830308708E0,6.344107361E0,7.293433228E0,2.478695526E0
1.850395708E0,6.311325531E0,7.290289764E0,1.569785614E0
1.870483708E0,6.338718567E0,7.221582642E0,1.398691406E0
1.890570708E0,6.302344208E0,7.098987579E0,1.648970947E0
1.910657708E0,6.394103394E0,7.292385406E0,1.783092041E0
1.930744708E0,7.455995178E0,7.966284027E0,2.091301117E0
1.950831708E0,7.780520325E0,7.348219299E0,1.901046753E0
1.970918708E0,7.601791992E0,6.680308228E0,2.099234619E0
1.991005708E0,7.671996002E0,7.245383148E0,2.764151917E0
2.011092708E0,7.870483246E0,7.542365570E0,2.906356201E0
2.031179708E0,7.787705383E0,7.219037933E0,3.081342316E0
2.051267708E0,8.084388428E0,7.320526886E0,3.152594147E0
2.071354708E0,7.873776398E0,6.422394562E0,2.803669739E0
2.091441708E0,7.992030487E0,6.007457428E0,2.818339233E0
2.111528708E0,8.459658051E0,6.376889191E0,2.051334229E0
2.131615708E0,8.509803772E0,6.928791504E0,2.359692993E0
2.151702708E0,8.653055878E0,5.849835205E0,-6.316864014E-1
2.171789708E0,7.371121674E0,4.460574188E0,3.212020569E0
2.191876708E0,7.295528870E0,5.251828766E0,3.281176758E0
2.211963708E0,7.404053192E0,6.131100311E0,2.475851440E0
2.232051708E0,8.173602905E0,7.375013580E0,1.925745392E0
2.252138708E0,7.583080902E0,7.095395050E0,2.455942841E0
2.272225708E0,6.994205475E0,5.943540344E0,1.730700989E0
2.292312708E0,6.681505737E0,5.230722656E0,-6.167175293E-2
2.312399708E0,6.920259247E0,4.999004517E0,1.709445190E0
2.332486708E0,8.214168549E0,5.132077789E0,8.393046570E-1
2.352573708E0,8.834029541E0,4.555776215E0,-2.526745605E-1
2.372660708E0,9.288185120E0,3.963008881E0,4.775070190E-1
2.392748708E0,9.698481903E0,3.276237030E0,6.906637573E-1
2.412835708E0,9.830207977E0,3.172951813E0,9.924362183E-1
2.432922708E0,1.021011795E1,3.383114777E0,3.793112183E-1
2.453009708E0,1.039543259E1,3.367397461E0,-2.326162720E-1
2.473096708E0,9.428742828E0,2.392325134E0,-3.353027344E-2
2.493183708E0,8.776549072E0,2.509381714E0,-2.424957275E-1
2.513270708E0,8.108937378E0,4.071682892E0,-3.451821899E-1
2.533357708E0,7.600893860E0,5.770350494E0,-1.736389160E-2
2.553444708E0,7.363637238E0,5.854176178E0,1.454525299E0
2.573532708E0,7.545958099E0,4.219126282E0,1.717827759E0
2.593619708E0,7.839198303E0,3.201093292E0,2.111509094E0
2.613706708E0,8.658444672E0,2.976260834E0,7.111711121E-1
2.633793708E0,8.626560974E0,3.313509521E0,-3.174897766E-1
2.653880708E0,8.336763611E0,3.301384735E0,-1.152603149E0
2.673967708E0,7.680977325E0,3.065475311E0,-7.554789734E-1
2.694054125E0,7.356751556E0,3.009791107E0,-1.880090332E-1
2.714142125E0,7.438032532E0,3.101250916E0,2.412982178E-1
2.734229125E0,8.640182648E0,5.182373199E0,9.244775391E-1
2.754316125E0,1.021146515E1,6.751410370E0,1.040486298E0
2.774403125E0,9.305099945E0,6.115532684E0,2.309846649E0
2.794490125E0,7.611970825E0,5.523214417E0,2.220482483E0
2.814577125E0,7.434589691E0,6.772965546E0,1.605411530E0
2.834664125E0,7.897876282E0,8.593928833E0,1.196312256E0
2.854751125E0,7.869435425E0,8.500972137E0,2.333647156E-1
2.874839125E0,8.241262207E0,6.907236328E0,-4.086502075E-2
2.894926125E0,7.979456635E0,5.860313416E0,4.758604431E-1
2.915013125E0,9.281748505E0,5.586383057E0,-3.188369751E-1
2.935100125E0,9.847422180E0,4.619543610E0,9.665400696E-1
2.955187125E0,8.758287048E0,4.495152283E0,1.889071655E0
2.975274125E0,8.574768677E0,3.814517670E0,2.050436096E0
2.995361125E0,8.860075378E0,4.008065186E0,2.111509094E0
3.015449125E0,9.566606140E0,4.260739746E0,8.298742676E-1
3.035536125E0,9.559870148E0,4.591402130E0,1.044976959E0
3.055623125E0,8.745862885E0,4.748874664E0,1.057999878E0
3.075710125E0,8.340056763E0,5.002746735E0,7.836204529E-1
3.095797125E0,7.820936279E0,4.986280975E0,6.041436768E-1
3.115884125E0,7.159162445E0,5.136867828E0,7.972421265E-1
3.135971125E0,6.862479401E0,4.833448792E0,9.901908875E-1
3.156058125E0,7.472460938E0,5.037025452E0,6.620732117E-1
3.176146125E0,7.648644562E0,5.344037018E0,5.834866333E-1
3.196233125E0,7.603438568E0,6.024072876E0,5.643264771E-1
3.216320125E0,7.774682465E0,6.603368225E0,9.774673462E-1
3.236407125E0,6.735842743E0,7.385641479E0,2.164199524E0
3.256494125E0,6.052962799E0,8.124804382E0,1.676813049E0
3.276581125E0,5.930367737E0,7.519163818E0,8.825646973E-1
3.296668125E0,7.137307892E0,6.538103943E0,1.197809143E0
3.316756125E0,7.409741364E0,6.583908691E0,9.352551270E-1
3.336843125E0,7.623945923E0,6.473438416E0,8.267308044E-1
3.356930125E0,7.216044159E0,5.745053101E0,1.324745178E0
3.377017125E0,8.200696564E0,4.812791748E0,1.138532410E0
3.397104125E0,8.233179016E0,4.674928436E0,3.029699707E-1
3.417191125E0,8.178692322E0,4.711602173E0,5.969586182E-1
3.437278125E0,8.167914734E0,4.985981598E0,7.682025146E-1
3.457366125E0,7.713160400E0,5.127437439E0,1.530118103E0
3.477453125E0,7.741750946E0,5.610482941E0,5.322930908E-1
3.497540125E0,7.234755249E0,6.019282837E0,1.636097717E-1
3.517627125E0,5.434898071E0,3.298989716E0,-1.815873871E0
3.537714125E0,3.522175598E0,1.985171814E0,-4.122427368E-1
3.557801125E0,1.949096832E0,1.804497528E0,2.730022888E0
3.577888125E0,3.319796448E0,3.304977264E0,4.714146881E0
3.597976125E0,2.526146851E0,1.154354507E1,1.672322388E0
3.618063125E0,-3.222947845E0,2.641886169E1,2.287243652E0
3.638150125E0,1.194800400E1,2.594479752E1,-5.923182678E0
3.658237125E0,1.081096848E1,1.013257919E1,6.560856628E-1
3.678324125E0,4.742887115E0,7.876171417E0,1.833537140E0
3.698411958E0,3.182082825E0,6.913672943E0,-6.045927429E-1
3.718498958E0,3.667373657E0,7.005282440E0,-4.622387695E-1
3.738586958E0,3.602857819E0,7.611372070E0,3.156935120E-1
3.758673958E0,4.471501465E0,9.013955383E0,6.456074524E-1
3.778760958E0,5.157075806E0,9.554481354E0,9.837542725E-1
3.798847958E0,4.756508789E0,9.681716766E0,1.303339691E0
3.818934958E0,4.370162201E0,9.613009644E0,1.502874756E0
3.839021958E0,4.237238617E0,9.190588074E0,7.667056274E-1
3.859108958E0,4.208049316E0,8.887618103E0,7.173083496E-1
3.879196958E0,4.177063751E0,8.866961060E0,7.958949280E-1
3.899283958E0,4.240681458E0,8.517737274E0,8.602610779E-1
3.919370958E0,4.462370453E0,8.095615082E0,7.981402588E-1
3.939457958E0,4.237088928E0,7.974217529E0,7.848179626E-1
3.959544958E0,3.803440704E0,8.127498779E0,9.734257507E-1
3.979631958E0,3.603007507E0,8.382568359E0,1.012644196E0
3.999718958E0,3.698808289E0,8.550818481E0,1.148860931E0
4.019806958E0,4.293970642E0,8.568930817E0,1.329984283E0
4.039893958E0,4.636608124E0,8.393795013E0,1.435365143E0
4.059980958E0,4.913083191E0,8.192313995E0,1.779499512E0
4.080067958E0,5.033432922E0,7.966733093E0,2.222877502E0
4.100154958E0,4.907245331E0,7.892786865E0,2.067799988E0
4.120241958E0,5.035977631E0,7.974666595E0,1.942510529E0
4.140328958E0,4.911586304E0,8.060438232E0,1.881886597E0
4.160416958E0,4.784949646E0,8.298443298E0,1.862427063E0
4.180503958E0,4.924908600E0,8.608897705E0,1.877096558E0
4.200590958E0,4.900509338E0,8.572223969E0,2.353406067E0
4.220677958E0,5.181774445E0,8.604107666E0,2.092648315E0
4.240764958E0,5.381608887E0,8.372389526E0,1.753603363E0
4.260851958E0,4.790338440E0,8.409362640E0,1.649420013E0
4.280938958E0,4.079167328E0,8.275391235E0,1.861079865E0
4.301026958E0,4.007915497E0,7.930358734E0,2.160008240E0
4.321113958E0,4.366270294E0,7.307803345E0,2.072440338E0
4.341200958E0,4.718936920E0,6.770420837E0,1.995650024E0
4.361287958E0,4.795128479E0,6.981931000E0,2.233206024E0
4.381374958E0,4.554728394E0,7.431146851E0,2.486479340E0
4.401461958E0,4.666695557E0,7.738308105E0,2.060165863E0
4.421549958E0,4.651726685E0,7.986192627E0,1.769021301E0
