"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.498195833E-2,9.351389110E-2,2.906326652E-1,3.286965787E-1
4.506895833E-2,-4.580968525E-3,4.672139883E-1,3.607693911E-1
6.515595833E-2,-9.172008187E-2,5.216798186E-1,3.793646991E-1
8.524395833E-2,-1.225922033E-1,5.479460359E-1,4.006412327E-1
1.053309583E-1,-1.698949188E-1,5.531433225E-1,4.236651361E-1
1.254179583E-1,-2.469383478E-1,5.281158686E-1,4.625729322E-1
1.455049583E-1,-2.840109169E-1,4.942018390E-1,4.757636786E-1
1.655919583E-1,-2.421197146E-1,3.902851343E-1,4.447759390E-1
1.856789583E-1,-1.128933206E-1,2.246100903E-1,3.883971870E-1
2.057659583E-1,1.377406418E-1,1.430441588E-1,3.272907436E-1
2.258529583E-1,4.109907448E-1,1.848742217E-1,2.683921158E-1
2.459399583E-1,5.444341898E-1,3.429996669E-1,2.844991088E-1
2.660269583E-1,4.664433897E-1,4.489371181E-1,3.175105453E-1
2.861139583E-1,2.894290090E-1,4.999609888E-1,3.982827663E-1
3.062009583E-1,1.201339588E-1,4.462487102E-1,3.240394294E-1
3.262879583E-1,8.252596855E-2,4.677271843E-1,1.485945731E-1
3.463749583E-1,6.006191671E-2,7.149062157E-1,9.041539580E-2
3.664619583E-1,-1.690045744E-1,8.486381173E-1,1.922341585E-1
3.865489583E-1,-4.448708892E-1,1.286901593E0,2.048124671E-1
4.066359583E-1,-6.789153218E-1,1.401497364E0,1.381863505E-1
4.267229583E-1,-6.021295190E-1,1.366988778E0,-7.968145609E-2
4.468099583E-1,-3.544307053E-1,9.049623609E-1,-4.102478623E-1
4.668969583E-1,-1.003304943E-1,5.525122881E-1,-8.003813624E-1
4.869849583E-1,1.237931773E-1,5.169695020E-1,-1.024968386E0
5.070719583E-1,2.052914798E-1,6.376299858E-1,-1.197102427E0
5.271589583E-1,1.067518443E-1,6.312358975E-1,-1.259866476E0
5.472459583E-1,-1.319879740E-1,3.041341901E-3,-1.160587549E0
5.673329583E-1,-2.551793456E-1,-2.280115634E-1,-1.031883001E0
5.874199583E-1,-3.759103417E-1,-3.209878206E-1,-6.711847186E-1
6.075069583E-1,-4.402609766E-1,-2.430980504E-1,2.669907175E-2
6.275939583E-1,-3.595725000E-1,-1.205827594E0,3.113280237E-1
6.476809583E-1,-7.053223252E-2,-1.742877245E0,3.765531480E-1
6.677679583E-1,1.855257899E-1,-1.894041300E0,3.920571879E-2
6.878545000E-1,4.523418248E-1,-1.769285798E0,-4.119546711E-1
7.079415000E-1,7.522508502E-1,-1.991471529E0,-6.474001408E-1
7.280285000E-1,6.806365848E-1,-1.647285700E0,-2.677332759E-1
7.481155000E-1,4.473202527E-1,-1.084001660E0,4.252844751E-1
7.682025000E-1,3.616560996E-2,-8.466825485E-1,8.545117974E-1
7.882905000E-1,-3.598341644E-1,-1.009660602E0,5.631186366E-1
8.083775000E-1,-5.647051334E-1,-1.419454932E0,-1.421428937E-2
8.284645000E-1,-6.179438233E-1,-1.540801048E0,-2.930645347E-1
8.485515000E-1,-5.849130154E-1,-1.396737099E0,-1.519353241E-1
8.686385000E-1,-6.091006398E-1,-1.029305816E0,5.098651350E-2
8.887255000E-1,-4.326791465E-1,-8.594022393E-1,-3.883561790E-1
9.088125000E-1,-1.441089958E-1,-1.259331942E0,-6.838240027E-1
9.288995000E-1,3.967532888E-2,-2.353590012E0,-6.253272891E-1
9.489865000E-1,-2.292371914E-2,-2.169795752E0,-5.385772586E-1
9.690735000E-1,1.169055939E0,-1.278703809E0,-5.657337308E-1
9.891605000E-1,1.975914598E0,-8.132674266E-4,-8.754600286E-1
1.009247500E0,2.082603455E0,-7.769873738E-1,-1.252177119E0
1.029334500E0,1.717463374E0,-1.443764806E0,-1.312901974E0
1.049422500E0,1.306817293E0,-2.289627552E0,-1.428864121E0
1.069509500E0,9.853072166E-1,-2.687757969E0,-1.542686224E0
1.089596500E0,7.324012518E-1,-2.649354935E0,-1.505699158E0
1.109683500E0,4.689579010E-1,-2.254380703E0,-1.451061964E0
1.129770500E0,1.125918999E-1,-1.994590640E0,-1.298408628E0
1.149857500E0,-3.076590300E-1,-1.854332566E0,-1.049132109E0
1.169944500E0,-6.976493001E-1,-1.886517048E0,-9.702033401E-1
1.190031500E0,-1.076770186E0,-2.674779654E0,-1.290500522E0
1.210118500E0,-1.508435369E0,-3.534876823E0,-1.816767812E0
