"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.498195833E-2,-3.448898315E1,9.281631470E0,-2.351698303E1
4.506895833E-2,-3.455920410E1,9.424957275E0,-2.376086426E1
6.515595833E-2,-3.434448242E1,9.682357788E0,-2.425512695E1
8.524395833E-2,-3.384384155E1,9.909286499E0,-2.459387207E1
1.053309583E-1,-3.375088501E1,1.040393829E1,-2.503446960E1
1.254179583E-1,-3.346221924E1,1.076336670E1,-2.525144958E1
1.455049583E-1,-3.307485962E1,1.111812592E1,-2.572123718E1
1.655919583E-1,-3.265835571E1,1.167236328E1,-2.586895752E1
1.856789583E-1,-3.239270020E1,1.191017151E1,-2.590357971E1
2.057659583E-1,-3.240557861E1,1.226418304E1,-2.606752014E1
2.258529583E-1,-3.234127808E1,1.232577515E1,-2.643218994E1
2.459399583E-1,-3.213964844E1,1.220740509E1,-2.667161560E1
2.660269583E-1,-3.167355347E1,1.214415741E1,-2.698907471E1
2.861139583E-1,-3.151660156E1,1.218767548E1,-2.759194946E1
3.062009583E-1,-3.114831543E1,1.223506165E1,-2.822698975E1
3.262879583E-1,-3.087893677E1,1.220114899E1,-2.817070007E1
3.463749583E-1,-3.055020142E1,1.233800507E1,-2.866021729E1
3.664619583E-1,-2.999368286E1,1.241770935E1,-2.898764038E1
3.865489583E-1,-2.924160767E1,1.279502106E1,-3.003648376E1
4.066359583E-1,-2.843603516E1,1.310767365E1,-3.049061584E1
4.267229583E-1,-2.790011597E1,1.342131805E1,-3.075167847E1
4.468099583E-1,-2.718463135E1,1.374545288E1,-3.125109863E1
4.668969583E-1,-2.686331177E1,1.358481598E1,-3.153068542E1
4.869849583E-1,-2.658349609E1,1.308718109E1,-3.222790527E1
5.070719583E-1,-2.659674072E1,1.241969299E1,-3.226068115E1
5.271589583E-1,-2.654055786E1,1.158277893E1,-3.244178772E1
5.472459583E-1,-2.654617310E1,1.086536407E1,-3.275909424E1
5.673329583E-1,-2.680398560E1,1.050115967E1,-3.275491333E1
5.874199583E-1,-2.717816162E1,1.022093964E1,-3.300138855E1
6.075069583E-1,-2.741479492E1,1.028424072E1,-3.286766052E1
6.275939583E-1,-2.767507935E1,1.059080505E1,-3.260649109E1
6.476809583E-1,-2.846765137E1,1.097244263E1,-3.184785461E1
6.677679583E-1,-2.959854126E1,1.101815796E1,-3.037783813E1
6.878545000E-1,-3.080877686E1,1.067890930E1,-2.938613892E1
7.079415000E-1,-3.194064331E1,1.000087738E1,-2.820346069E1
7.280285000E-1,-3.325207520E1,9.531967163E0,-2.716442871E1
7.481155000E-1,-3.414895630E1,9.148254395E0,-2.626597595E1
7.682025000E-1,-3.449331665E1,9.448532104E0,-2.570338440E1
7.882905000E-1,-3.476464844E1,9.934959412E0,-2.516705322E1
8.083775000E-1,-3.525036621E1,1.046964264E1,-2.422644043E1
8.284645000E-1,-3.595983887E1,1.067591095E1,-2.283853149E1
8.485515000E-1,-3.673590088E1,1.060649109E1,-2.185482788E1
8.686385000E-1,-3.751806641E1,1.105281830E1,-2.071929932E1
8.887255000E-1,-3.786721802E1,1.114374542E1,-1.966755676E1
9.088125000E-1,-3.818975830E1,1.105707550E1,-1.915327454E1
9.288995000E-1,-3.903732300E1,1.045931244E1,-1.765342712E1
9.489865000E-1,-3.990097046E1,1.000776672E1,-1.591380310E1
9.690735000E-1,-4.064733887E1,9.523818970E0,-1.436041260E1
9.891605000E-1,-4.101654053E1,8.420448303E0,-1.405705261E1
1.009247500E0,-4.139553833E1,7.275474548E0,-1.437887573E1
1.029334500E0,-4.156857300E1,5.676437378E0,-1.358923340E1
1.049422500E0,-4.210159302E1,4.034904480E0,-1.233514404E1
1.069509500E0,-4.286373901E1,2.373786926E0,-1.006922913E1
1.089596500E0,-4.327713013E1,8.772125244E-1,-8.086486816E0
1.109683500E0,-4.361575317E1,-6.388092041E-1,-5.658645630E0
1.129770500E0,-4.369042969E1,-1.954940796E0,-3.817855835E0
1.149857500E0,-4.393188477E1,-3.031143188E0,-1.890731812E0
1.169944500E0,-4.376217651E1,-3.859130859E0,-5.446014404E-1
1.190031500E0,-4.366574097E1,-4.884460449E0,1.248596191E0
1.210118500E0,-4.352832031E1,-6.381942749E0,4.194015503E0
1.230205500E0,-4.291012573E1,-8.151428223E0,6.728088379E0
1.250292500E0,-4.180386353E1,-1.041566467E1,9.280593872E0
1.270380500E0,-4.087188721E1,-1.246597290E1,1.117384338E1
1.290467500E0,-3.944506836E1,-1.467436218E1,1.281724548E1
1.310554500E0,-3.820596313E1,-1.659570312E1,1.424851990E1
1.330641500E0,-3.661059570E1,-1.889230347E1,1.553497314E1
1.350728500E0,-3.514974976E1,-2.074548340E1,1.678414917E1
1.370815500E0,-3.335766602E1,-2.283755493E1,1.767068481E1
1.390902500E0,-3.156152344E1,-2.477935791E1,1.863908386E1
1.410989500E0,-2.935748291E1,-2.640765381E1,1.945793152E1
1.431076500E0,-2.738455200E1,-2.768075562E1,2.077511597E1
1.451163500E0,-2.531979370E1,-2.912033081E1,2.156803894E1
1.471250500E0,-2.293197632E1,-3.059004211E1,2.218644714E1
1.491338500E0,-2.044296265E1,-3.214801025E1,2.261270142E1
