"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.621499985E-3,-4.278852081E0,5.808072052E0,6.793472900E0
1.633449970E-2,-4.192781067E0,5.819598083E0,6.468348999E0
3.629149962E-2,-4.214336243E0,5.860163727E0,6.532415771E0
5.624850001E-2,-4.243375854E0,5.917793884E0,6.562353516E0
7.620449970E-2,-4.060755615E0,5.909561005E0,6.723119202E0
9.616149962E-2,-3.949686584E0,5.837411041E0,7.094646606E0
1.161185000E-1,-3.885919189E0,5.796096954E0,7.125332794E0
1.360744997E-1,-3.861968994E0,5.757626953E0,7.096143494E0
1.560314996E-1,-4.027225342E0,5.816304932E0,6.962022400E0
1.759885000E-1,-3.910917206E0,5.854625244E0,6.950047302E0
1.959444997E-1,-3.817960510E0,5.827381897E0,6.955136719E0
2.159014996E-1,-3.601959686E0,5.812712402E0,6.854695587E0
2.358574998E-1,-3.977079620E0,5.587879944E0,7.166497192E0
2.558149998E-1,-4.154311066E0,5.728587341E0,7.167545013E0
2.757719997E-1,-3.941004639E0,5.487887878E0,6.560257874E0
2.957279999E-1,-3.227139130E0,5.229076080E0,6.051765289E0
3.156849998E-1,-4.267475739E0,4.893174591E0,5.721851349E0
3.356419997E-1,-3.784430237E0,6.163882141E0,6.272855530E0
3.555979999E-1,-3.706741791E0,6.042334900E0,7.494764557E0
3.755549998E-1,-4.332440643E0,5.009333038E0,7.279512177E0
3.955119997E-1,-3.643124084E0,5.286257172E0,6.046077118E0
4.154679999E-1,-2.129771118E0,6.110293579E0,5.553301849E0
4.354249998E-1,-1.808688812E0,6.638245697E0,6.584956512E0
4.553819997E-1,-2.429148560E0,6.239025879E0,7.695497131E0
4.753379999E-1,-3.246149597E0,5.184169464E0,7.256160736E0
4.952949998E-1,-3.020718384E0,5.160368958E0,7.659571838E0
5.152519997E-1,-2.150128784E0,4.509223022E0,8.077502747E0
5.352079999E-1,-2.474653931E0,5.100643158E0,7.853269043E0
5.551649998E-1,-2.469863892E0,5.073848877E0,7.885601807E0
5.751219997E-1,-2.817740479E0,5.386099548E0,9.360484772E0
5.950779999E-1,-3.669319611E0,5.354515228E0,9.305998077E0
6.150349998E-1,-4.407135315E0,4.270319824E0,7.203769684E0
