"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.259249961E-2,6.416859105E-5,-3.051240742E-1,3.579487093E-3
3.254950000E-2,-6.239629909E-2,-3.767068684E-1,3.941688687E-3
5.250549968E-2,-1.319053322E-1,-4.377745092E-1,7.066348568E-3
7.246249961E-2,-2.151211351E-1,-5.803712606E-1,-2.306525409E-2
9.241950000E-2,-2.354463637E-1,-6.332835555E-1,-4.257562757E-2
1.123754997E-1,-1.958810836E-1,-6.117970347E-1,-2.162183076E-2
1.323324996E-1,-1.354273707E-1,-5.460045338E-1,2.356161177E-2
1.522895000E-1,-9.942325205E-2,-4.669817388E-1,1.132374033E-1
1.722454997E-1,-1.279814243E-1,-4.559271336E-1,1.947081536E-1
1.922024996E-1,-1.131936833E-1,-3.005804718E-1,2.941546738E-1
2.121595000E-1,-6.694869697E-2,-9.815430269E-3,4.077500999E-1
2.321154997E-1,3.076057136E-2,2.087583691E-1,5.124336481E-1
2.520724996E-1,1.440943033E-1,2.105291933E-1,6.238939762E-1
2.720299996E-1,1.554854512E-1,2.938115001E-1,5.692679286E-1
2.919859998E-1,-5.512427166E-2,2.536298037E-1,3.123174310E-1
3.119429997E-1,-2.655518055E-1,3.292573690E-1,4.608773887E-1
3.318999996E-1,-4.774896204E-1,4.083919525E-1,6.853973269E-1
3.518559998E-1,-3.333787918E-1,4.424865544E-1,7.487114072E-1
3.718129997E-1,-1.239624247E-1,5.266902447E-1,9.804196954E-1
3.917699996E-1,-1.924693584E-1,5.040058494E-1,1.144552350E0
4.117259998E-1,-4.759020805E-1,3.802409172E-1,1.026308179E0
4.316829997E-1,-6.099402905E-1,2.867660820E-1,6.929244995E-1
4.516399996E-1,-5.266110897E-1,4.335661530E-1,4.244211614E-1
4.715959998E-1,-6.360611320E-1,3.666636050E-1,4.428204894E-1
4.915529997E-1,-6.878378391E-1,-2.060794085E-1,3.510752320E-1
5.115099996E-1,-7.736634612E-1,-7.903956771E-1,-3.381491825E-2
