"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.259249961E-2,3.443331909E1,-1.777346802E1,9.805755615E-1
3.254950000E-2,3.433647156E1,-1.767535400E1,8.233337402E-1
5.250549968E-2,3.457250977E1,-1.770892334E1,5.237121582E-1
7.246249961E-2,3.439724731E1,-1.764166260E1,8.332824707E-2
9.241950000E-2,3.444573975E1,-1.771533203E1,-1.166229248E-1
1.123754997E-1,3.458532715E1,-1.764135742E1,-6.892700195E-1
1.323324996E-1,3.427903748E1,-1.766131592E1,-1.291152954E0
1.522895000E-1,3.438594055E1,-1.772540283E1,-1.613021851E0
1.722454997E-1,3.425112915E1,-1.789788818E1,-1.965560913E0
1.922024996E-1,3.416462708E1,-1.805184937E1,-2.103942871E0
2.121595000E-1,3.402937317E1,-1.820080566E1,-2.419174194E0
2.321154997E-1,3.400660706E1,-1.826922607E1,-2.379348755E0
2.520724996E-1,3.381831360E1,-1.834948730E1,-2.271270752E0
2.720299996E-1,3.344763184E1,-1.892803955E1,-1.963577271E0
2.919859998E-1,3.337762451E1,-1.939340210E1,-1.927444458E0
3.119429997E-1,3.325155640E1,-1.959542847E1,-1.739517212E0
3.318999996E-1,3.298162842E1,-2.008731079E1,-1.628616333E0
3.518559998E-1,3.274006653E1,-2.043963623E1,-1.432525635E0
3.718129997E-1,3.238041687E1,-2.094165039E1,-1.427490234E0
3.917699996E-1,3.191065979E1,-2.167169189E1,-1.236053467E0
4.117259998E-1,3.152073669E1,-2.233291626E1,-9.223937988E-1
4.316829997E-1,3.118785095E1,-2.296365356E1,-8.486633301E-1
4.516399996E-1,3.077555847E1,-2.321795654E1,-1.199569702E0
4.715959998E-1,3.064921570E1,-2.363626099E1,-9.609222412E-1
4.915529997E-1,3.041743469E1,-2.398745728E1,-1.131301880E0
5.115099996E-1,3.028547668E1,-2.408062744E1,-1.659378052E0
5.314659998E-1,3.016017151E1,-2.412145996E1,-2.366394043E0
5.514229997E-1,3.015112305E1,-2.403475952E1,-2.909713745E0
5.713789999E-1,3.014042664E1,-2.397097778E1,-3.010833740E0
5.913359998E-1,3.005177307E1,-2.401696777E1,-3.055450439E0
6.112929997E-1,2.977330017E1,-2.426312256E1,-2.337677002E0
6.312489999E-1,2.967254639E1,-2.455386353E1,-1.368957520E0
6.512059998E-1,2.937976074E1,-2.494964600E1,-1.373764038E0
6.711629997E-1,2.892176819E1,-2.552566528E1,-1.153869629E0
6.911189999E-1,2.846049500E1,-2.596295166E1,-1.589401245E0
7.110759998E-1,2.819946289E1,-2.630929565E1,-2.124313354E0
7.310329997E-1,2.774440002E1,-2.659292603E1,-2.532302856E0
7.509889998E-1,2.759483337E1,-2.682205200E1,-2.933471680E0
7.709459998E-1,2.763606262E1,-2.672149658E1,-3.003982544E0
7.909029997E-1,2.785899353E1,-2.651119995E1,-3.078094482E0
8.108589998E-1,2.804533386E1,-2.643948364E1,-2.908355713E0
8.308159998E-1,2.794973755E1,-2.634658813E1,-3.082565308E0
8.507729997E-1,2.780116272E1,-2.635372925E1,-4.133102417E0
8.707289998E-1,2.759318542E1,-2.639706421E1,-5.587661743E0
8.906859998E-1,2.753350830E1,-2.610650635E1,-6.676696777E0
9.106429997E-1,2.769175720E1,-2.594433594E1,-7.217956543E0
9.305989998E-1,2.782894897E1,-2.566708374E1,-7.863494873E0
