"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.233838000E-2,6.752050877E0,7.212800503E0,-1.380113602E0
3.233838000E-2,6.817613602E0,7.117070675E0,-1.510444283E0
5.233681800E-2,6.807549477E0,7.132728577E0,-1.293615818E0
7.233838000E-2,6.744369984E0,7.206297874E0,-9.907302260E-1
9.233681800E-2,6.659625053E0,7.227577686E0,-1.054205298E0
1.123477550E-1,6.562928200E0,7.143033504E0,-1.282947302E0
1.323399430E-1,6.805719376E0,7.197267056E0,-1.220688462E0
1.523368180E-1,6.650210857E0,7.248742104E0,-1.124642730E0
1.723383800E-1,6.670475483E0,7.307639599E0,-1.362884879E0
1.923383800E-1,6.683672428E0,7.282864571E0,-1.477251172E0
2.123399430E-1,6.676882267E0,7.237489700E0,-1.417089581E0
2.323368180E-1,6.743249893E0,7.203932285E0,-1.252378106E0
2.523383800E-1,6.874825478E0,7.184012413E0,-1.082945228E0
2.723430680E-1,6.776184082E0,7.190352440E0,-1.226875067E0
2.923383800E-1,6.574831963E0,7.285920620E0,-1.503501177E0
3.123399430E-1,6.499577522E0,7.347009659E0,-1.520049810E0
3.323399430E-1,6.890023708E0,7.197573185E0,-1.306793571E0
3.523383800E-1,6.947063446E0,7.138676167E0,-9.710403085E-1
3.723399430E-1,6.800691128E0,7.263289452E0,-9.848021269E-1
3.923383800E-1,6.688594818E0,7.333707809E0,-1.033959866E0
4.123368180E-1,6.682685852E0,7.397498608E0,-1.060238719E0
4.323383800E-1,6.622409344E0,7.419247627E0,-1.064634442E0
4.523368180E-1,6.750422478E0,7.394233227E0,-1.154828787E0
4.723415050E-1,6.848077297E0,7.329484463E0,-1.136814833E0
4.923368180E-1,6.579735279E0,7.376506329E0,-1.256400347E0
5.123368180E-1,6.334568977E0,7.441015720E0,-1.487938881E0
5.323415050E-1,6.186214924E0,7.495431423E0,-1.630853534E0
5.523383800E-1,6.190734863E0,7.463396549E0,-1.484883785E0
5.723368180E-1,6.197812080E0,7.435346127E0,-1.405903935E0
5.923368180E-1,6.171715260E0,7.465197086E0,-1.428457260E0
6.123383800E-1,6.250235558E0,7.448073864E0,-1.296316504E0
6.323368180E-1,6.256000996E0,7.432081699E0,-1.241795778E0
6.523368180E-1,6.170393944E0,7.505477428E0,-1.272757530E0
6.723383800E-1,6.059733868E0,7.579343319E0,-1.391040683E0
6.923383800E-1,5.968735218E0,7.599942684E0,-1.459476590E0
7.123383800E-1,5.960728645E0,7.559413910E0,-1.436530590E0
7.323399430E-1,6.026042461E0,7.550354004E0,-1.552860022E0
7.523383800E-1,6.131732464E0,7.520369053E0,-1.451604486E0
7.723368180E-1,6.144843102E0,7.507996082E0,-1.351718307E0
7.923383800E-1,6.018955708E0,7.591716290E0,-1.386463046E0
8.123399430E-1,6.025171280E0,7.629314899E0,-1.459955454E0
8.323415050E-1,6.229454041E0,7.559193611E0,-1.351277828E0
8.523368180E-1,6.227059841E0,7.543726921E0,-1.250146747E0
8.723368180E-1,6.169369221E0,7.578462124E0,-1.204551578E0
8.923399430E-1,6.212771416E0,7.604520798E0,-1.067909718E0
9.123383800E-1,6.215586662E0,7.621720314E0,-9.500191808E-1
9.323477550E-1,6.162607670E0,7.601973057E0,-1.039725184E0
9.523368180E-1,6.165844917E0,7.630761147E0,-1.120266080E0
9.723383800E-1,6.228783607E0,7.603878975E0,-1.060181141E0
9.923383800E-1,6.272827148E0,7.602317810E0,-9.144988060E-1
1.012336818E0,6.273373127E0,7.619115829E0,-9.127749801E-1
1.032339943E0,6.219293118E0,7.657815456E0,-9.618657231E-1
1.052338380E0,6.189738750E0,7.658648491E0,-9.855491519E-1
1.072338380E0,6.187641621E0,7.615352154E0,-1.001456261E0
1.092341505E0,6.184846401E0,7.643028736E0,-9.502394795E-1
1.112338380E0,6.241300583E0,7.670294285E0,-8.036281466E-1
1.132339943E0,6.352362633E0,7.610689163E0,-6.851534843E-1
1.152338380E0,6.335057259E0,7.612009525E0,-7.028896809E-1
1.172338380E0,6.124348640E0,7.678405762E0,-7.679257989E-1
1.192338380E0,6.028790951E0,7.737015724E0,-6.956592202E-1
1.212338380E0,6.139096737E0,7.680253983E0,-6.076387763E-1
1.232336818E0,6.171734810E0,7.660286427E0,-5.178466439E-1
1.252338380E0,6.171945095E0,7.680397511E0,-4.160835147E-1
1.272338380E0,6.131732464E0,7.696467400E0,-5.678471327E-1
1.292338380E0,6.020871162E0,7.724460602E0,-6.345112920E-1
1.312336818E0,5.957635403E0,7.743690968E0,-6.009254456E-1
1.332338380E0,5.951420307E0,7.747435093E0,-5.456864238E-1
1.352336818E0,6.146089077E0,7.687359810E0,-5.527732372E-1
1.372338380E0,6.263135433E0,7.633241653E0,-4.545056522E-1
1.392339943E0,6.126800060E0,7.653390884E0,-5.041996837E-1
1.412336818E0,5.957530022E0,7.686986446E0,-4.874498546E-1
1.432338380E0,5.978847980E0,7.691479206E0,-4.290122092E-1
1.452338380E0,6.091873646E0,7.654818058E0,-2.447927445E-1
1.472338380E0,6.273009300E0,7.613043785E0,7.556100190E-2
1.492341505E0,6.187632084E0,7.671816826E0,1.587259918E-1
1.512336818E0,6.097323895E0,7.728185654E0,3.325833380E-1
1.532372755E0,6.042916775E0,7.720294476E0,5.510782003E-1
1.552338380E0,6.071494102E0,7.729240417E0,5.685941577E-1
1.572338380E0,6.101067543E0,7.707729816E0,5.527637005E-1
1.592338380E0,6.058239937E0,7.707863808E0,6.836882234E-1
1.612338380E0,6.016312599E0,7.747425556E0,7.828656435E-1
1.632338380E0,6.052848339E0,7.744533539E0,7.490211725E-1
1.652336818E0,6.087554455E0,7.732064724E0,7.399232388E-1
1.672339943E0,6.161478043E0,7.732332706E0,8.225327730E-1
1.692338380E0,6.089057922E0,7.758611202E0,8.496159315E-1
1.712338380E0,6.032861233E0,7.770936966E0,8.094220757E-1
1.732339943E0,6.055788040E0,7.694283962E0,8.575838804E-1
1.752338380E0,6.016858578E0,7.729469299E0,8.448945880E-1
1.772338380E0,6.014272690E0,7.755786419E0,7.191128135E-1
1.792338380E0,6.143598080E0,7.691927910E0,6.922498941E-1
1.812338380E0,6.106736660E0,7.711445808E0,6.979289055E-1
1.832338380E0,6.076742172E0,7.757548332E0,6.144670248E-1
1.852344630E0,6.076052666E0,7.703717232E0,6.202131510E-1
1.872338380E0,6.131866455E0,7.688413620E0,5.771558285E-1
1.892339943E0,6.050569057E0,7.678367138E0,6.376333237E-1
1.912338380E0,5.924308300E0,7.720170021E0,5.950357318E-1
1.932339943E0,5.974098206E0,7.710056782E0,5.299134254E-1
1.952336818E0,6.125622272E0,7.645298481E0,4.719641805E-1
1.972338380E0,6.098730564E0,7.665132046E0,5.004456043E-1
1.992338380E0,6.102216721E0,7.682341576E0,6.004753113E-1
2.012338380E0,6.093884945E0,7.681058407E0,5.960987210E-1
2.032339943E0,6.103921413E0,7.652356625E0,5.140255094E-1
2.052338380E0,6.095330715E0,7.632542133E0,4.987026155E-1
