"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.381838000E-2,3.588397056E-2,-1.132718660E-2,-2.146754880E-3
3.381838000E-2,1.195550524E-2,-7.155850180E-4,-1.249655709E-2
5.381681800E-2,5.567600485E-3,-1.415462047E-2,-2.272418700E-2
7.381838000E-2,4.768239334E-2,-1.445132587E-2,-2.925171889E-2
9.381681800E-2,9.786061198E-2,2.007128671E-3,-2.956587821E-2
1.138277550E-1,8.583529294E-2,2.172934823E-2,-1.923352852E-2
1.338199430E-1,5.989969894E-2,2.110103145E-2,-3.872885555E-2
1.538168180E-1,4.005530477E-2,2.499311417E-2,-4.567526653E-2
1.738183800E-1,3.686135262E-2,1.485275198E-2,-4.066617042E-2
1.938183800E-1,3.508111695E-3,4.239404574E-2,-4.122467712E-2
2.138199430E-1,-9.337511845E-3,7.333873212E-2,-4.302236438E-2
2.338168180E-1,-4.886921961E-3,7.866198570E-2,-3.614576906E-2
2.538183800E-1,4.921828397E-3,3.689625859E-2,-4.298745841E-2
2.738230680E-1,4.295255244E-2,3.490658492E-5,-6.199409440E-2
2.938183800E-1,4.495968297E-2,-1.199041214E-2,-6.112143025E-2
3.138199430E-1,5.427973811E-3,1.884955564E-3,-4.274311289E-2
3.338199430E-1,-1.904154196E-2,4.066617228E-3,-5.684537441E-2
3.538183800E-1,-3.979350906E-3,5.372123420E-2,-1.174257547E-1
3.738199430E-1,5.398303270E-2,1.372003257E-1,-1.517214775E-1
3.938183800E-1,8.560840040E-2,1.269377917E-1,-1.538333148E-1
4.138168180E-1,7.232644409E-2,5.934119597E-2,-1.404990107E-1
4.338183800E-1,8.400269598E-2,-1.206022501E-2,-1.187871099E-1
4.538168180E-1,8.325220644E-2,-3.274237737E-2,-1.302015632E-1
4.738215050E-1,8.906415105E-2,-1.364847459E-2,-1.724734306E-1
4.938168180E-1,1.076868176E-1,4.426154867E-2,-2.146056890E-1
5.138168180E-1,9.852383286E-2,7.997098565E-2,-2.116037160E-1
5.338215050E-1,4.125958309E-2,6.248278543E-2,-1.849874407E-1
5.538183800E-1,-2.670353744E-3,3.872885555E-2,-1.480911821E-1
5.738168180E-1,-8.342674002E-3,4.305727407E-2,-1.281071603E-1
5.938168180E-1,-1.413716655E-2,4.822344705E-2,-1.133940443E-1
6.138183800E-1,-1.450368576E-2,5.473352596E-2,-1.090830788E-1
6.338168180E-1,7.173303049E-3,4.303981736E-2,-1.175828278E-1
6.538168180E-1,2.371902391E-2,2.619739249E-2,-1.252448261E-1
6.738183800E-1,2.797762863E-2,1.780235791E-3,-1.123293936E-1
6.938183800E-1,7.016223390E-3,-1.118756086E-2,-8.026769012E-2
7.138183800E-1,0.000000000E0,-2.652900526E-3,-4.632103816E-2
7.338199430E-1,-2.296853252E-2,4.188790335E-4,-2.228785492E-2
7.538183800E-1,-7.288494706E-2,-6.632251316E-4,-1.410226058E-2
7.738168180E-1,-7.737044245E-2,4.756022245E-2,-2.898991853E-2
7.938183800E-1,-6.688101590E-2,1.200262904E-1,-2.986258268E-2
8.138199430E-1,-8.330456167E-2,1.403419226E-1,-9.389871731E-3
8.338215050E-1,-1.294510663E-1,9.030333161E-2,-2.460914198E-3
8.538168180E-1,-1.427504718E-1,6.627015024E-2,-1.535889693E-2
8.738168180E-1,-1.453335732E-1,8.991936594E-2,-2.340486459E-2
8.938199430E-1,-1.315105557E-1,1.133067757E-1,-2.528982051E-2
9.138183800E-1,-9.995500743E-2,1.328370124E-1,-3.171263263E-2
9.338277550E-1,-7.593927532E-2,1.281246245E-1,-2.597049996E-2
9.538168180E-1,-9.450957924E-2,8.915141970E-2,-1.137954649E-2
9.738183800E-1,-1.271297783E-1,4.539601505E-2,-4.974188283E-3
9.938183800E-1,-1.199041158E-1,5.825908855E-2,-1.555088349E-2
1.013816818E0,-9.124581516E-2,9.096655995E-2,-2.420771681E-2
1.033819943E0,-8.290313929E-2,1.081929579E-1,-3.169517964E-2
1.053818380E0,-8.948303014E-2,1.132718697E-1,-2.935643867E-2
1.073818380E0,-1.143714264E-1,1.083151326E-1,-2.143264376E-2
1.093821505E0,-1.363276690E-1,1.087863743E-1,-1.870992966E-2
1.113818380E0,-1.406211704E-1,1.236391217E-1,-1.675515994E-2
1.133819943E0,-1.175828278E-1,1.270425171E-1,-3.932226822E-2
1.153818380E0,-1.028697044E-1,1.300619394E-1,-6.904522330E-2
1.173818380E0,-1.114043668E-1,1.270250678E-1,-7.098253816E-2
1.193818380E0,-1.304284483E-1,1.143714264E-1,-4.127703607E-2
1.213818380E0,-1.442514658E-1,7.145377994E-2,-1.832595654E-2
1.233816818E0,-1.487893164E-1,5.909684673E-2,-2.457423508E-2
1.253818380E0,-1.114741787E-1,8.349654824E-2,-3.284709528E-2
1.273818380E0,-9.738937020E-2,1.056796834E-1,-4.218460619E-2
1.293818380E0,-1.318770796E-1,9.747663885E-2,-3.433062509E-2
1.313816818E0,-1.714262366E-1,9.583602846E-2,-1.565560326E-2
1.333818380E0,-1.855983138E-1,9.960594028E-2,1.370083448E-2
1.353816818E0,-2.128428966E-1,1.047721133E-1,2.401573025E-2
1.373818380E0,-2.307325304E-1,1.318596303E-1,3.839724232E-4
1.393819943E0,-2.455329150E-1,1.935395598E-1,-2.464404888E-2
1.413816818E0,-2.733360231E-1,2.436130494E-1,-1.583013684E-2
1.433818380E0,-3.093596101E-1,2.625324130E-1,6.597344764E-3
1.453818380E0,-3.520503640E-1,2.603158653E-1,1.658062823E-2
1.473818380E0,-3.460813463E-1,2.833367586E-1,-9.581857361E-3
1.493821505E0,-3.116459846E-1,3.208962381E-1,-4.323180392E-2
1.513816818E0,-2.965663373E-1,3.333055377E-1,-5.127777159E-2
1.533852755E0,-2.509608865E-1,3.150668442E-1,-3.729768470E-2
1.553818380E0,-2.031214237E-1,2.414314002E-1,-1.963495463E-2
1.573818380E0,-2.110626698E-1,1.515294909E-1,-2.003637888E-2
1.593818380E0,-1.984439343E-1,8.627162129E-2,-1.839577034E-2
1.613818380E0,-1.679530293E-1,7.579965144E-2,-1.089085452E-2
1.633818380E0,-1.220508739E-1,7.658504695E-2,-4.852015525E-3
1.653816818E0,-1.031140536E-1,6.914994121E-2,-8.412486874E-3
1.673819943E0,-9.051277488E-2,6.796312332E-2,-2.213077433E-2
1.693818380E0,-6.330309063E-2,6.002187356E-2,-2.497566119E-2
1.713818380E0,-4.886921868E-2,3.602359444E-2,-1.656317525E-2
1.733819943E0,-3.677408770E-2,3.056071512E-2,-1.572541706E-2
1.753818380E0,-7.993607782E-3,3.710569814E-2,-1.195550524E-2
1.773818380E0,3.263765713E-3,2.518510073E-2,6.649704650E-3
1.793818380E0,-5.480333697E-3,-5.166174378E-3,8.447393775E-3
1.813818380E0,-9.197885171E-3,-2.008873969E-2,1.972222002E-3
1.833818380E0,-4.607669078E-3,-1.371828746E-2,-3.857177682E-3
