"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.272916846E-4,5.672903137E0,3.805536346E0,6.483916626E0
2.068029158E-2,4.922663269E0,3.130440216E0,6.556665344E0
4.063329147E-2,4.095483398E0,2.845881958E0,7.233258362E0
6.058529159E-2,3.508104858E0,3.095263367E0,8.081843719E0
8.053829148E-2,3.101250916E0,2.929557953E0,8.518485718E0
1.004912914E-1,2.907404022E0,2.456391907E0,9.638007660E0
1.204442917E-1,2.457888794E0,2.050585785E0,9.521100769E0
1.403962914E-1,2.707419891E0,1.842668152E0,9.297316132E0
1.603492917E-1,3.021766205E0,1.978884888E0,8.689879303E0
1.803022916E-1,3.419189758E0,1.756148071E0,8.465795288E0
2.002542918E-1,3.728446655E0,1.835333405E0,8.604407043E0
2.202072917E-1,4.103865967E0,1.367256775E0,8.995543671E0
2.401602915E-1,3.243904266E0,7.659571838E-1,9.354048157E0
2.601132914E-1,4.291575623E0,4.640350342E-1,8.816815338E0
2.800652916E-1,5.189707947E0,3.427871704E-1,7.066505127E0
3.000182915E-1,3.394640808E0,-9.250762939E-2,7.654033356E0
3.199712913E-1,2.997666321E0,1.228046265E0,8.263565826E0
3.399242917E-1,2.905009003E0,1.869013367E0,8.307574310E0
3.598762914E-1,2.578537903E0,1.058299255E0,7.104975128E0
3.798292917E-1,2.223925323E0,7.244934082E-1,6.720125427E0
3.997822916E-1,2.340383148E0,-1.045575714E0,6.630312195E0
4.197342917E-1,3.149750061E0,-7.957452393E-1,7.991132355E0
4.396872916E-1,2.629282379E0,-9.342073059E-1,7.393125916E0
4.596402915E-1,5.243595886E-1,-6.776408386E-1,6.986271973E0
4.795932914E-1,4.875361633E-1,-1.127156067E0,8.442892914E0
4.995452915E-1,2.883004761E-1,-8.786727905E-1,1.066771637E1
5.194982914E-1,2.710862732E0,-1.240919495E0,9.261839905E0
5.394512913E-1,3.948489075E0,-3.353626099E0,9.295519867E0
5.594032914E-1,4.447700958E0,-2.217189331E0,8.411757660E0
5.793562913E-1,4.266278229E0,-1.330283661E0,9.483229523E0
5.993092917E-1,2.793939972E0,-2.370021515E0,9.567953339E0
6.192622916E-1,1.518891449E0,-1.981429596E0,8.607400818E0
6.392142917E-1,5.480702820E0,-1.378932495E0,1.067714676E1
6.591672916E-1,6.923851776E0,-6.683601379E-1,1.022254211E1
6.791202915E-1,6.601422272E0,-9.163943481E-1,9.113947449E0
6.990732914E-1,5.012476501E0,-9.861492920E-1,1.037193146E1
7.190252915E-1,3.951931915E0,6.162684631E-1,1.033256332E1
7.389782914E-1,3.480262756E0,1.775457916E0,8.639434204E0
7.589309164E-1,4.689298553E0,1.412762146E0,8.351732483E0
7.788829166E-1,4.693938904E0,-7.170089722E-2,8.706794128E0
7.988359164E-1,4.969665527E0,-1.207987976E0,8.423732758E0
8.187889163E-1,6.238277435E0,-1.603615265E0,8.367150421E0
8.387419167E-1,7.844138031E0,-1.609902191E0,9.046437836E0
8.586939164E-1,8.334518280E0,-2.048490143E0,9.679471436E0
8.786469167E-1,8.609945526E0,-2.826721802E0,9.740245056E0
8.985999166E-1,8.599617004E0,-3.407663727E0,1.010623398E1
9.185519167E-1,8.650660858E0,-2.731070709E0,9.441915436E0
9.385049166E-1,7.706574097E0,-3.572171631E0,8.851243744E0
9.584579165E-1,8.471633148E0,-4.863685913E0,8.262817383E0
9.784109164E-1,9.149423676E0,-4.815785522E0,7.184459839E0
9.983629165E-1,8.922794952E0,-4.413721619E0,6.897506561E0
1.018315916E0,7.778125305E0,-3.897295532E0,8.386759644E0
1.038268916E0,7.907306671E0,-3.112327881E0,8.634793854E0
1.058220916E0,8.588989105E0,-3.162772980E0,7.967182159E0
1.078173916E0,8.993298340E0,-4.578079834E0,7.171586609E0
1.098126917E0,8.682843933E0,-4.178111572E0,5.633385315E0
1.118078916E0,8.091423798E0,-3.815266113E0,5.688321075E0
1.138031917E0,7.748936005E0,-3.979774017E0,5.045557709E0
1.157984917E0,7.906558228E0,-4.059707794E0,4.296814728E0
1.177937916E0,8.822802887E0,-3.738625488E0,3.797153778E0
1.197889917E0,9.530980225E0,-3.294349365E0,2.837649078E0
1.217842916E0,8.406668243E0,-3.687282257E0,3.133583679E0
1.237795916E0,7.867040405E0,-3.056194611E0,2.935246124E0
1.257747917E0,8.349187775E0,-2.618953857E0,3.300785980E0
1.277700916E0,7.695197754E0,-2.083217926E0,3.742816772E0
1.297653917E0,7.185807037E0,-1.994901581E0,3.434607697E0
1.317606917E0,6.166127472E0,-2.337688751E0,3.083437958E0
1.337558916E0,6.641538849E0,-2.294728088E0,3.677552490E0
1.357511917E0,7.622898102E0,-2.787952423E0,3.774700470E0
1.377464917E0,7.830067291E0,-3.596421204E0,3.632346497E0
1.397416917E0,6.558311920E0,-3.186423798E0,4.197870483E0
1.417369917E0,5.880671082E0,-2.386786652E0,4.198469238E0
1.437322916E0,8.889863434E0,-7.632627869E-1,3.995491333E0
1.457274917E0,1.027164001E1,9.180409241E-1,2.683020630E0
1.477227916E0,8.575966187E0,-1.058448944E0,2.991678772E0
1.497180916E0,6.607260132E0,-4.489464111E0,8.620573425E-1
1.517133917E0,5.342689819E0,-6.293512573E0,1.154249725E0
1.537085916E0,6.432872772E0,-3.851939850E0,2.996468811E0
1.557038917E0,7.916287994E0,-1.804796906E0,4.337679749E0
1.576991917E0,7.812254333E0,-1.487606506E0,4.898413696E0
1.596943917E0,8.727900238E0,-3.536994781E0,4.588558044E0
1.616896917E0,9.628277893E0,-6.876699829E0,3.746708679E0
1.636849917E0,8.796307983E0,-7.385192413E0,1.770218811E0
1.656801917E0,8.103997650E0,-5.323230286E0,1.385967865E0
1.676754917E0,7.908504181E0,-4.460274811E0,3.444487152E0
1.696707916E0,8.154442749E0,-6.326144714E0,3.423231354E0
1.716660916E0,6.393205261E0,-7.368277588E0,3.461551666E0
1.736612916E0,6.793173523E0,-6.631060638E0,4.411775665E0
1.756566583E0,6.621480560E0,-5.675747223E0,5.844147034E0
1.776519583E0,7.988887024E0,-5.843248901E0,4.603826294E0
1.796471583E0,7.206613770E0,-5.525310059E0,2.812351685E0
1.816424583E0,4.097429352E0,-5.618117065E0,3.470832367E0
1.836377583E0,2.260299683E0,-5.224136353E0,4.643942871E0
1.856329583E0,1.740879822E0,-4.699627075E0,4.744533691E0
1.876282583E0,6.473288727E0,-4.455035706E0,5.691763916E0
1.896235583E0,9.330696716E0,-5.844147034E0,3.456611938E0
1.916188583E0,5.194947052E0,-5.344486084E0,3.430117035E0
1.936140583E0,4.179309082E0,-5.931265869E0,4.411027222E0
1.956093583E0,3.300785980E0,-5.202880554E0,3.053799591E0
1.976046583E0,2.886746979E0,-5.301076355E0,1.808539124E0
1.995998583E0,3.507955170E0,-6.045628052E0,1.717079315E0
