"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.070429152E-2,-6.264981031E-1,9.085870385E-1,4.337608442E-2
3.065629164E-2,-1.055159450E0,1.153907061E0,-4.212668538E-2
5.060929153E-2,-1.253700972E0,1.323962688E0,-5.651525408E-2
7.056229142E-2,-1.304952025E0,1.213609219E0,-4.139322788E-2
9.051429154E-2,-1.213826418E0,1.059787750E0,-2.667701989E-2
1.104672914E-1,-9.516443014E-1,6.841400862E-1,5.925187096E-2
1.304202913E-1,-6.526990533E-1,3.351551592E-1,2.424411625E-1
1.503732917E-1,-4.951596260E-1,8.382469416E-2,4.028440416E-1
1.703252913E-1,-5.762870908E-1,3.246771693E-1,4.602875113E-1
1.902782917E-1,-6.584033966E-1,5.484754443E-1,2.138177305E-1
2.102312916E-1,-5.114324689E-1,3.782209754E-1,-2.075075507E-1
2.301842915E-1,-2.653336525E-1,-1.991038322E-1,-5.866663456E-1
2.501362916E-1,-2.397791147E-1,-6.608562469E-1,-8.717191219E-1
2.700892915E-1,-6.275193095E-1,-1.170681834E0,-1.449085355E0
2.900422914E-1,-8.078481555E-1,-3.812115490E-1,-1.692028046E0
3.099942915E-1,-8.907118440E-1,7.252214104E-2,-1.219309092E0
3.299472914E-1,-7.117282748E-1,1.507533640E-1,-7.112491131E-1
3.499002913E-1,-4.584443271E-1,7.628694177E-2,-4.310499728E-1
3.698532917E-1,-5.331524014E-1,4.459715486E-1,-1.734475195E-1
3.898052913E-1,-7.277263999E-1,1.330078483E0,-1.037481353E-1
4.097582917E-1,-9.300683737E-1,1.527804136E0,-4.076138139E-1
4.297112916E-1,-1.099698544E0,9.350846410E-1,-8.971790075E-1
4.496632917E-1,-1.271031260E0,5.656372383E-2,-9.746302366E-1
4.696162916E-1,-1.540374398E0,-6.598459929E-2,-2.661626339E-1
4.895692915E-1,-1.572862387E0,9.166672081E-2,3.312473297E-1
5.095222914E-1,-1.144542336E0,-4.424639046E-1,3.952752650E-1
5.294742915E-1,-1.141864538E0,-1.226652637E-1,-3.040842116E-1
5.494272914E-1,-1.392522812E0,3.915820420E-1,-1.017817020E0
5.693802917E-1,-1.713958383E0,9.668547660E-2,-1.360233784E0
5.893332916E-1,-1.647511840E0,-9.329469800E-1,-1.260243654E0
6.092852917E-1,-1.554038763E0,-1.931858659E0,-6.035255194E-1
6.292382916E-1,-1.396452546E0,-2.083440781E0,3.263154626E-2
6.491912915E-1,-7.027226090E-1,-8.207296133E-1,-4.947866499E-2
6.691432917E-1,-2.648101747E-2,-2.272906303E-1,-4.947368503E-1
6.890962915E-1,6.799951196E-1,-1.898588091E-1,-1.006035447E0
7.090492914E-1,1.032892823E0,4.668869376E-1,-7.218249440E-1
7.290022913E-1,4.561474919E-1,2.883540094E-1,-2.367636934E-2
7.489542915E-1,-7.833171487E-1,-4.511307478E-1,4.479011297E-1
7.689069165E-1,-1.528661966E0,-8.506445289E-1,1.014407039E0
7.888599164E-1,-1.833618164E0,-1.604718566E0,1.890422106E0
8.088119165E-1,-2.393737078E0,-2.117722750E0,2.589228153E0
8.287649164E-1,-2.773201942E0,-2.202166080E0,2.514239073E0
8.487179168E-1,-2.653464079E0,-2.254523516E0,1.814901948E0
8.686709167E-1,-2.128065586E0,-2.289457083E0,9.291203618E-1
8.886229163E-1,-1.285040498E0,-2.226576090E0,2.550163567E-1
9.085759167E-1,-3.762080967E-1,-2.101955175E0,-3.717282712E-1
9.285289166E-1,2.111507654E-1,-1.745973706E0,-6.253336668E-1
9.484809167E-1,3.358427882E-1,-1.479117632E0,-5.357537270E-1
9.684339166E-1,-2.019314468E-1,-1.477086425E0,-4.540982246E-1
9.883869165E-1,-1.070192933E0,-1.445894837E0,-4.870928526E-1
1.008339916E0,-1.454411745E0,-1.365405202E0,-4.725462198E-1
1.028291916E0,-1.008394837E0,-1.670686245E0,-3.605843484E-1
1.048244916E0,-4.820837080E-1,-1.465529561E0,-2.973872125E-1
1.068197917E0,-2.980485857E-1,-7.906696200E-1,-2.531705201E-1
1.088149916E0,-6.139723063E-1,-7.276036143E-1,-2.105714679E-1
1.108102917E0,-9.450503588E-1,-5.873599052E-1,-3.618376851E-1
1.128055917E0,-9.662463069E-1,-4.652488530E-1,-5.253321528E-1
1.148008917E0,-9.550694823E-1,-2.494229376E-1,-7.669748664E-1
1.167960917E0,-9.550900459E-1,-1.639725454E-2,-1.130167961E0
1.187913917E0,-1.040444255E0,3.421679139E-1,-1.601519585E0
1.207866916E0,-1.106665373E0,3.304306567E-1,-1.762161613E0
1.227818917E0,-1.100207329E0,-1.267325580E-1,-1.483811259E0
1.247771916E0,-1.145445228E0,-2.597048581E-1,-1.200521111E0
1.267724916E0,-9.880916476E-1,-1.867378801E-1,-1.040102720E0
1.287676916E0,-7.601803541E-1,-2.954652905E-1,-9.271327257E-1
1.307629916E0,-7.192199826E-1,-3.738476634E-1,-6.703417301E-1
1.327582917E0,-7.606917620E-1,-2.983131409E-1,-3.141606152E-1
1.347535917E0,-6.740398407E-1,-2.125298381E-1,-2.524444461E-1
1.367487917E0,-5.879010558E-1,-6.484083086E-2,-2.468155921E-1
1.387440917E0,-5.300946236E-1,4.203925654E-2,4.769866914E-2
1.407393917E0,-1.659331918E-1,3.248510063E-1,5.612194538E-1
1.427345917E0,5.850499868E-1,2.670672536E-1,9.186955690E-1
1.447298917E0,1.073361993E0,-2.999545336E-1,2.197395414E-1
1.467251916E0,1.214297175E0,-7.707245350E-1,-4.120981097E-1
1.487204916E0,9.876807332E-1,-8.192988634E-1,-3.444371223E-1
1.507156916E0,3.394462764E-1,-9.157303572E-1,4.583493173E-1
1.527109916E0,1.939919293E-1,-5.990965962E-1,1.418370962E0
1.547062917E0,5.252196193E-1,2.654240429E-1,1.947194338E0
1.567014916E0,8.814336061E-1,1.342869282E0,1.919858217E0
1.586967917E0,1.199676156E0,3.146883249E-1,1.535102367E0
1.606920917E0,1.176670313E0,-4.472147524E-1,1.086086273E0
1.626872917E0,4.598339200E-1,-5.581635833E-1,1.093040228E0
1.646825917E0,-3.893077075E-1,2.230372876E-1,1.511246324E0
1.666778916E0,-7.366338372E-1,1.095986366E0,1.753293633E0
1.686731916E0,-5.394849777E-1,5.820388198E-1,1.453284264E0
1.706683917E0,-3.090978265E-1,4.747458696E-1,1.466789842E0
1.726636916E0,-4.766320437E-2,9.574658871E-1,1.745685339E0
1.746589917E0,4.157595932E-1,1.277385473E0,1.700950980E0
1.766542583E0,7.391186953E-1,9.304766059E-1,1.257056952E0
1.786495583E0,5.268785357E-1,9.963547587E-1,9.138056040E-1
1.806448583E0,1.049902365E-1,1.314453363E0,1.511345744E0
1.826400583E0,-8.398868144E-2,1.247523427E0,2.683582783E0
1.846353583E0,-1.860097498E-1,8.955552578E-1,3.927999020E0
