"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.070429152E-2,1.003327942E1,-1.322753906E1,-2.703845215E1
3.065629164E-2,1.041740417E1,-1.290359497E1,-2.700428772E1
5.060929153E-2,1.140440369E1,-1.223284912E1,-2.711740112E1
7.056229142E-2,1.221870422E1,-1.136993408E1,-2.718089294E1
9.051429154E-2,1.301927185E1,-1.050537109E1,-2.733181763E1
1.104672914E-1,1.336286926E1,-9.933227539E0,-2.723249817E1
1.304202913E-1,1.364848328E1,-9.587036133E0,-2.756571960E1
1.503732917E-1,1.352972412E1,-9.383636475E0,-2.774334717E1
1.703252913E-1,1.359954834E1,-9.195922852E0,-2.763392639E1
1.902782917E-1,1.365736389E1,-8.952819824E0,-2.793600464E1
2.102312916E-1,1.392573547E1,-8.655578613E0,-2.807890320E1
2.301842915E-1,1.384994507E1,-8.390533447E0,-2.786499023E1
2.501362916E-1,1.402410889E1,-7.905639648E0,-2.825270081E1
2.700892915E-1,1.383598328E1,-7.737792969E0,-2.826356506E1
2.900422914E-1,1.374331665E1,-6.814422607E0,-2.881245422E1
3.099942915E-1,1.423088074E1,-5.634124756E0,-2.902531433E1
3.299472914E-1,1.451750183E1,-4.638366699E0,-2.909672546E1
3.499002913E-1,1.472868347E1,-4.071014404E0,-2.899240112E1
3.698532917E-1,1.494412231E1,-3.421875000E0,-2.918444824E1
3.898052913E-1,1.545841980E1,-2.938720703E0,-2.923953247E1
4.097582917E-1,1.619805908E1,-2.561218262E0,-2.859600830E1
4.297112916E-1,1.698469543E1,-1.710205078E0,-2.860296631E1
4.496632917E-1,1.757800293E1,-5.819091797E-1,-2.817408752E1
4.696162916E-1,1.771858215E1,7.801513672E-1,-2.867486572E1
4.895692915E-1,1.755418396E1,1.807159424E0,-2.876802063E1
5.095222914E-1,1.714942932E1,2.691558838E0,-2.855517578E1
5.294742915E-1,1.661103821E1,3.326904297E0,-2.875834656E1
5.494272914E-1,1.608416748E1,4.522430420E0,-2.898242188E1
5.693802917E-1,1.615852356E1,6.131774902E0,-2.855522156E1
5.893332916E-1,1.573789978E1,7.787139893E0,-2.847019958E1
6.092852917E-1,1.439167786E1,9.371734619E0,-2.826467896E1
6.292382916E-1,1.221336365E1,1.077941895E1,-2.825646973E1
6.491912915E-1,1.029513550E1,1.149600220E1,-2.777200317E1
6.691432917E-1,9.230712891E0,1.197503662E1,-2.669541931E1
6.890962915E-1,8.267593384E0,1.178384399E1,-2.573757935E1
7.090492914E-1,7.251663208E0,1.176696777E1,-2.468507385E1
7.290022913E-1,6.860260010E0,1.125463867E1,-2.351399231E1
7.489542915E-1,6.039657593E0,1.086712646E1,-2.245610046E1
7.689069165E-1,5.265396118E0,1.082742310E1,-2.136314392E1
7.888599164E-1,4.519546509E0,1.051235962E1,-2.081480408E1
8.088119165E-1,3.175033569E0,1.032879639E1,-2.131005859E1
8.287649164E-1,3.161117554E0,9.813537598E0,-2.054693604E1
8.487179168E-1,2.523254395E0,8.473937988E0,-2.032287598E1
8.686709167E-1,1.988098145E0,7.929412842E0,-2.213279724E1
8.886229163E-1,1.118194580E0,7.398834229E0,-2.399696350E1
9.085759167E-1,1.195068359E-1,7.226379395E0,-2.612330627E1
9.285289166E-1,-1.444747925E0,6.659240723E0,-2.757591248E1
9.484809167E-1,-2.516540527E0,5.902008057E0,-2.902069092E1
9.684339166E-1,-3.284866333E0,5.386779785E0,-3.035870361E1
9.883869165E-1,-3.919464111E0,5.534484863E0,-3.148411560E1
1.008339916E0,-3.813400269E0,5.990753174E0,-3.154217529E1
