序号,文件夹,subject_id,activity,中文标签,采集日期,开始时间,结束时间,时长(s),时长(min),accel Hz,gyro Hz,手机,加速度芯片,陀螺仪芯片,备注
1,下楼15分钟C,C,WALKING_DOWNSTAIRS,下楼梯,2026-09-02,11:13:44,11:28:48,903.8,15.1,50.1,50.1,"Apple iPhone15,4",,,
2,下楼8minA1,A,WALKING_DOWNSTAIRS,下楼梯,2026-09-01,17:17:00,17:20:30,427.5,7.1,50.1,50.1,"Apple iPhone16,2",,,
3,下楼8minA2,A,WALKING_DOWNSTAIRS,下楼梯,2026-09-01,17:17:05,17:20:35,439.4,7.3,49.8,49.8,"Apple iPhone15,2",,,
4,爬楼梯10minC,C,WALKING_UPSTAIRS,爬楼梯,2026-09-02,11:17:05,11:22:34,329.2,5.5,49.6,49.6,"Apple iPhone14,2",,,
5,爬楼梯15minA,A,WALKING_UPSTAIRS,爬楼梯,,,,877.5,14.6,50.1,50.1,"Apple iPhone15,4",,,
6,走路15minA1,A,WALKING,走路,2026-09-02,12:16:01,12:35:01,1140.8,19.0,50.0,50.0,HUAWEI TAS-AN00,accelerometer-icm20690,gyroscope-icm20690,
7,走路15minA2,A,WALKING,走路,2026-09-02,11:14:15,11:28:33,857.6,14.3,49.8,49.8,"Apple iPhone15,2",,,
8,走路30minC,C,WALKING,走路,2026-09-01,20:06:56,20:37:23,1827.1,30.5,50.1,50.1,"Apple iPhone15,4",,,
9,躺卧30minA,A,LAYING,躺卧,2026-09-01,00:20:49,00:50:56,1806.8,30.1,50.0,50.0,HUAWEI TAS-AN00,accelerometer-icm20690,gyroscope-icm20690,
10,躺卧30minC,C,LAYING,躺卧,2026-09-02,14:56:17,14:56:19,1907.9,31.8,50.1,50.1,"Apple iPhone15,4",,,
11,静坐30minA,A,SITTING,静坐,2026-08-31,21:47:35,22:17:55,1820.2,30.3,50.0,50.0,HUAWEI TAS-AN00,accelerometer-icm20690,gyroscope-icm20690,
12,静坐30minC,C,SITTING,静坐,2026-09-01,13:15:57,13:16:45,1828.0,30.5,49.8,49.8,"Apple iPhone15,2",,,
13,静站15minA,A,STANDING,静站,2026-09-02,20:08:01,20:21:34,813.5,13.6,50.0,50.0,HUAWEI TAS-AN00,accelerometer-icm20690,gyroscope-icm20690,
14,静站15minC,C,STANDING,静站,2026-09-02,14:27:18,14:42:43,928.3,15.5,49.8,49.8,"Apple iPhone15,2",,,
