"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.392217700E-2,3.410588205E-1,2.315078020E0,8.730561256E0
3.391436500E-2,1.389498860E-1,2.382795572E0,9.079855919E0
5.391592700E-2,2.204580903E-1,2.321743488E0,9.336332321E0
7.391592700E-2,2.928587496E-1,2.313497782E0,9.518331528E0
9.391436500E-2,3.827849627E-1,2.328169584E0,9.349175453E0
1.139206150E-1,4.075793028E-1,2.319990873E0,9.006863594E0
1.339159270E-1,2.932322323E-1,2.335093498E0,8.890235901E0
1.539159270E-1,2.620022595E-1,2.349966288E0,9.015951157E0
1.739143650E-1,3.536618948E-1,2.327173471E0,9.197555542E0
1.939159270E-1,3.648380041E-1,2.313133955E0,9.336715698E0
2.139159270E-1,3.778912127E-1,2.346432447E0,9.212189674E0
2.339143650E-1,3.646273315E-1,2.323381186E0,9.107552528E0
2.539159270E-1,3.451576829E-1,2.283761978E0,9.111134529E0
2.739143650E-1,3.168773651E-1,2.270689487E0,9.124388695E0
2.939143650E-1,3.191470802E-1,2.317041159E0,9.194528580E0
3.139206150E-1,2.861645520E-1,2.380142927E0,9.169256210E0
3.339159270E-1,2.897558510E-1,2.411660194E0,9.103472710E0
3.539159270E-1,3.210337162E-1,2.373908281E0,9.094470978E0
3.739143650E-1,3.842501938E-1,2.319215298E0,9.113499641E0
3.939143650E-1,3.342592716E-1,2.291624546E0,9.215617180E0
4.139206150E-1,2.981259823E-1,2.295292377E0,9.235632896E0
4.339143650E-1,2.442085594E-1,2.341366291E0,9.193848610E0
4.539143650E-1,2.790202498E-1,2.335179806E0,9.100495338E0
4.739174900E-1,3.317405879E-1,2.350119591E0,9.067263603E0
4.939159270E-1,3.844321668E-1,2.320776224E0,9.116909027E0
5.139159270E-1,3.848727047E-1,2.294028282E0,9.172971725E0
5.339143650E-1,3.765313029E-1,2.302743196E0,9.203588486E0
5.539159270E-1,3.549355865E-1,2.318008423E0,9.173824310E0
5.739174900E-1,3.190034330E-1,2.328418493E0,9.160924911E0
5.939143650E-1,3.043700755E-1,2.338866711E0,9.147000313E0
6.139174900E-1,2.873712182E-1,2.342084646E0,9.138860703E0
6.339143650E-1,3.197408319E-1,2.339738369E0,9.136627197E0
6.539143650E-1,3.253720105E-1,2.315365314E0,9.139903069E0
6.739143650E-1,3.001945615E-1,2.337200403E0,9.166526794E0
6.939159270E-1,3.411066830E-1,2.315221786E0,9.163778305E0
7.139159270E-1,3.329568207E-1,2.349506617E0,9.137892723E0
7.339143650E-1,3.027707338E-1,2.330697775E0,9.137996674E0
7.539159270E-1,3.283312321E-1,2.330774307E0,9.138744354E0
7.739174900E-1,3.362416625E-1,2.340131044E0,9.112044334E0
7.939143650E-1,3.289441466E-1,2.370029688E0,9.175778389E0
8.139159270E-1,3.434721529E-1,2.382441282E0,9.196205139E0
8.339159270E-1,3.269042969E-1,2.355061293E0,9.263424873E0
8.539143650E-1,2.370642722E-1,2.320134640E0,9.329102516E0
8.739143650E-1,2.715503573E-1,2.305874825E0,9.148311615E0
8.939143650E-1,5.080591440E-1,2.299486876E0,8.952782631E0
9.139174900E-1,6.947110891E-1,2.315585613E0,8.863908768E0
9.339143650E-1,5.561634302E-1,2.306640863E0,8.537205696E0
9.539159270E-1,5.437327623E-1,2.307579279E0,9.333498001E0
9.739159270E-1,3.629513979E-1,2.201190710E0,9.632006645E0
9.939143650E-1,3.209092021E-1,2.276052475E0,9.552883148E0
1.013915927E0,1.565233171E-1,2.398290873E0,9.332828522E0
1.033914365E0,-6.780379266E-2,2.472176075E0,8.831749916E0
1.053915927E0,-7.365521789E-2,2.484386444E0,8.886712074E0
1.073915927E0,1.685230583E-1,2.416151524E0,9.132988930E0
1.093914365E0,3.480690420E-1,2.391874552E0,9.238850594E0
1.113917490E0,4.418259561E-1,2.304629803E0,9.300544739E0
1.133914365E0,5.334855914E-1,2.238358259E0,9.217350960E0
1.153914365E0,5.643132925E-1,2.158813238E0,9.089549065E0
1.173914365E0,5.517293811E-1,2.175151348E0,9.068297386E0
1.193915927E0,4.562582076E-1,2.275525808E0,9.127558708E0
1.213915927E0,3.115526736E-1,2.382115602E0,9.193906784E0
1.233914365E0,2.008256316E-1,2.404151917E0,9.205255508E0
1.253915927E0,2.418622524E-1,2.367827177E0,9.173756599E0
1.273915927E0,3.961828947E-1,2.350014210E0,9.112647057E0
1.293914365E0,4.430039227E-1,2.359658003E0,9.038973808E0
1.313915927E0,4.546014369E-1,2.320613384E0,9.090572357E0
1.333915927E0,3.410588205E-1,2.280860186E0,9.217848778E0
1.353914365E0,3.007691801E-1,2.260815859E0,9.322906494E0
1.373914365E0,3.558932841E-1,2.223102331E0,9.221698761E0
1.393914365E0,4.628374875E-1,2.214033127E0,9.092689514E0
1.413917490E0,5.466153622E-1,2.220459223E0,9.029874802E0
1.433914365E0,6.413012743E-1,2.255156040E0,9.072960854E0
1.453914365E0,6.605602503E-1,2.288933277E0,9.172933578E0
1.473917490E0,6.159322858E-1,2.279653311E0,9.204853058E0
1.493914365E0,5.136902928E-1,2.291356325E0,9.194768906E0
1.513915927E0,3.556251228E-1,2.353710890E0,9.163309097E0
1.533914365E0,2.570606470E-1,2.393818617E0,9.106498718E0
1.553915927E0,2.810505331E-1,2.314120293E0,9.072396278E0
1.573914365E0,3.520433903E-1,2.241212130E0,9.100676537E0
1.593914365E0,4.107587934E-1,2.211131334E0,9.201003075E0
1.613917490E0,4.356680810E-1,2.222403288E0,9.256921768E0
1.633914365E0,4.248558581E-1,2.222834110E0,9.189530373E0
1.653914365E0,3.798927665E-1,2.267002344E0,9.100015640E0
1.673914365E0,3.434242904E-1,2.270335197E0,9.104095459E0
1.693915927E0,4.120037854E-1,2.293683529E0,9.150965691E0
1.713915927E0,4.598303735E-1,2.341193914E0,9.180241585E0
1.733914365E0,4.838106930E-1,2.347303867E0,9.192893028E0
1.753915927E0,4.462121427E-1,2.324405909E0,9.166756630E0
1.773915927E0,4.391827583E-1,2.286146402E0,9.154479027E0
1.793914365E0,4.870380759E-1,2.215967655E0,9.127070427E0
1.813915927E0,4.837436378E-1,2.173915863E0,9.142163277E0
1.833915927E0,4.283035100E-1,2.234220982E0,9.171640396E0
1.853914365E0,4.000519216E-1,2.266284227E0,9.165962219E0
1.873914365E0,4.249324799E-1,2.272805929E0,9.142335892E0
1.893914365E0,4.243865907E-1,2.270957708E0,9.143694878E0
1.913917490E0,4.315596223E-1,2.262079954E0,9.175414085E0
1.933914365E0,3.818559945E-1,2.254600525E0,9.203168869E0
1.953915927E0,3.826700449E-1,2.208401918E0,9.177799225E0
1.973915927E0,4.246930480E-1,2.176271677E0,9.146300316E0
1.993914365E0,4.992580712E-1,2.177248716E0,9.127713203E0
2.013915927E0,5.304305553E-1,2.220554829E0,9.168327332E0
2.033914365E0,5.606070757E-1,2.247810602E0,9.222638130E0
2.053915927E0,5.761598349E-1,2.246144056E0,9.215761185E0
2.073914365E0,5.852673650E-1,2.186710596E0,9.174993515E0
2.093914365E0,5.266381502E-1,2.154235601E0,9.097860336E0
2.113917490E0,4.368843436E-1,2.199639320E0,9.081091881E0
2.133914365E0,3.301699758E-1,2.249869585E0,9.070518494E0
2.153914365E0,2.813282609E-1,2.287659645E0,9.135947227E0
2.173914365E0,2.670205235E-1,2.281291008E0,9.209468842E0
2.193915927E0,3.510282636E-1,2.258555651E0,9.209297180E0
2.213915927E0,5.083464384E-1,2.205423594E0,9.208177567E0
2.233914365E0,6.476793885E-1,2.169165850E0,9.147774696E0
2.253915927E0,7.236426473E-1,2.129575253E0,9.127577782E0
2.273917490E0,6.477081180E-1,2.134574413E0,9.155685425E0
2.293914365E0,4.955518544E-1,2.193021536E0,9.147977829E0
2.313915927E0,3.739551306E-1,2.226789474E0,9.135717392E0
2.333915927E0,2.300636172E-1,2.293654680E0,9.143782616E0
2.353914365E0,1.938345581E-1,2.325037956E0,9.198397636E0
2.373914365E0,2.477519810E-1,2.286979675E0,9.245919228E0
2.393914365E0,3.747212887E-1,2.226214886E0,9.171373367E0
2.413917490E0,4.950442910E-1,2.187649012E0,9.148982048E0
2.433914365E0,5.580884218E-1,2.169070005E0,9.142325401E0
2.453915927E0,5.639110804E-1,2.170563936E0,9.142690659E0
