"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.540217700E-2,-3.359758854E-2,1.619665511E-2,-2.544690110E-2
3.539436500E-2,-5.878268927E-2,9.145525284E-3,-3.473205259E-3
5.539592700E-2,-4.356341809E-2,1.328195538E-2,1.815142483E-2
7.539592700E-2,-5.934119690E-4,4.642575979E-3,2.008873969E-2
9.539436500E-2,3.703588620E-2,-1.117010694E-2,1.165879890E-2
1.154006150E-1,2.820452116E-2,-5.567600485E-3,2.111848444E-3
1.353959270E-1,-5.218534265E-3,1.343903481E-3,3.141592606E-4
1.553959270E-1,-2.178170905E-2,9.023352526E-3,1.445132587E-2
1.753943650E-1,-1.973967440E-2,1.342158206E-2,2.080432512E-2
1.953959270E-1,-4.084070213E-3,-9.773843922E-4,1.317723561E-2
2.153959270E-1,3.630284918E-3,-1.094321441E-2,2.967059845E-4
2.353943650E-1,4.084070213E-3,-1.518436475E-3,-8.970992640E-3
2.553959270E-1,-1.937315450E-3,-2.513274085E-3,-9.424777701E-3
2.753943650E-1,-8.063420653E-3,-1.291543595E-3,-6.510077976E-3
2.953943650E-1,-5.323254038E-3,-1.326450263E-3,-8.412486874E-3
3.154006150E-1,5.724680144E-3,-5.585053586E-4,-5.567600485E-3
3.353959270E-1,7.661995478E-3,3.944444004E-3,-2.617993741E-4
3.553959270E-1,-6.283185212E-4,-4.764748737E-3,4.904375412E-3
3.753943650E-1,-1.148426626E-2,-3.281218931E-3,4.014257283E-4
3.953943650E-1,-7.278022822E-3,1.466076588E-3,-3.368485486E-3
4.154006150E-1,6.911503617E-3,5.410520826E-3,-8.726646047E-5
4.353943650E-1,1.558579039E-2,6.457718089E-3,1.209513191E-2
4.553943650E-1,9.756390937E-3,-9.948377265E-4,1.942551509E-2
4.753974900E-1,-2.391101094E-3,-1.553343027E-3,1.581268385E-2
4.953959270E-1,-1.150172018E-2,-7.504915702E-4,1.034980267E-2
5.153959270E-1,-8.639379404E-3,4.293509759E-3,3.612831468E-3
5.353943650E-1,-3.543018363E-3,3.787364578E-3,-7.330382941E-4
5.553959270E-1,-2.268928074E-4,3.071779385E-3,-6.352998316E-3
5.753974900E-1,9.599310579E-4,-9.424777818E-4,-9.686577134E-3
5.953943650E-1,7.155850180E-4,-5.044001620E-3,-8.168140426E-3
6.153974900E-1,1.047197584E-4,-5.358160939E-3,-1.431170036E-3
6.353943650E-1,1.221730490E-4,-4.363323096E-4,-1.745329209E-4
6.553943650E-1,-1.815142459E-3,2.234021435E-3,-4.188790335E-4
6.753943650E-1,-5.585053586E-4,-4.677482415E-3,1.308996929E-3
6.953959270E-1,4.153883550E-3,-3.368485486E-3,3.159045940E-3
7.153959270E-1,2.460914198E-3,-3.089232836E-3,5.585053586E-4
7.353943650E-1,1.029744279E-3,-1.518436475E-3,-1.099557383E-3
7.553959270E-1,-7.679448463E-4,-5.410520826E-4,-8.726646047E-5
