"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.440666653E-3,2.034269714E-1,1.683998108E-1,9.732012177E0
2.352966665E-2,2.016307068E-1,1.517843628E-1,9.750573578E0
4.361866665E-2,2.097138977E-1,1.645079041E-1,9.704170074E0
6.370666664E-2,2.082170105E-1,1.598675537E-1,9.722581787E0
8.379566664E-2,2.041754150E-1,1.459465027E-1,9.725874939E0
1.038846667E-1,1.962419128E-1,1.594184875E-1,9.714947662E0
1.239726667E-1,1.929487610E-1,1.628613281E-1,9.722132721E0
1.440616667E-1,2.037263489E-1,1.556762695E-1,9.723479919E0
1.641496667E-1,1.859133911E-1,1.666035461E-1,9.721084900E0
1.842386667E-1,1.968406677E-1,1.645079041E-1,9.726024628E0
2.043276667E-1,2.008822632E-1,1.609153748E-1,9.738149414E0
2.244156667E-1,1.944456482E-1,1.543290710E-1,9.728569336E0
2.445046667E-1,2.014810181E-1,1.616638184E-1,9.700128479E0
2.645936667E-1,1.965412903E-1,1.510359192E-1,9.733359375E0
2.846816666E-1,2.010319519E-1,1.541793823E-1,9.713600464E0
3.047706666E-1,1.874102783E-1,1.648072815E-1,9.722132721E0
3.248586667E-1,2.004331970E-1,1.495390320E-1,9.729317780E0
3.449476667E-1,2.034269714E-1,1.550775146E-1,9.737400970E0
3.650366667E-1,2.044747925E-1,1.559756470E-1,9.739795990E0
3.851246667E-1,1.917512512E-1,1.643582153E-1,9.730365601E0
4.052136667E-1,1.920506287E-1,1.556762695E-1,9.747729492E0
4.253026667E-1,1.983375549E-1,1.562750244E-1,9.731413422E0
4.453906667E-1,1.887574768E-1,1.445993042E-1,9.735604706E0
4.654796667E-1,1.754351807E-1,1.583706665E-1,9.711654510E0
4.855686667E-1,2.113604736E-1,1.695973206E-1,9.758956146E0
5.056566666E-1,1.974394226E-1,1.555265808E-1,9.744735718E0
5.257456666E-1,2.454895020E-1,1.713935852E-1,9.772577820E0
5.458346666E-1,1.905537415E-1,1.649569702E-1,9.654922485E0
5.659226667E-1,1.498384094E-1,1.675016785E-1,9.642797699E0
5.860116667E-1,1.829196167E-1,1.552272034E-1,9.742640076E0
6.060996667E-1,2.037263489E-1,1.570234680E-1,9.742490387E0
6.261886667E-1,1.763333130E-1,1.675016785E-1,9.695637817E0
6.462776667E-1,1.695973206E-1,1.658551025E-1,9.729168091E0
6.663656667E-1,1.790277100E-1,1.630110168E-1,9.700577545E0
6.864546667E-1,1.863624573E-1,1.498384094E-1,9.724827118E0
7.065436667E-1,1.847158813E-1,1.395098877E-1,9.712552643E0
7.266316667E-1,1.675016785E-1,1.585203552E-1,9.722282410E0
7.467206666E-1,1.874102783E-1,1.654060364E-1,9.732461243E0
7.668096666E-1,2.118095398E-1,1.661544800E-1,9.749376068E0
7.868976666E-1,1.041833496E-1,1.389111328E-1,9.596244507E0
8.069876666E-1,1.686991882E-1,2.049238586E-1,9.605225830E0
8.270766666E-1,1.974394226E-1,1.624122620E-1,9.713001709E0
8.471646667E-1,2.224374390E-1,1.712438965E-1,9.764644318E0
8.672536667E-1,1.947450256E-1,1.498384094E-1,9.706864471E0
8.873426667E-1,1.830693054E-1,1.607656860E-1,9.701475677E0
9.074306667E-1,1.904040527E-1,1.722917175E-1,9.741891632E0
9.275196667E-1,2.282752991E-1,1.799258423E-1,9.824220428E0
9.476076667E-1,-3.445834351E-1,-7.209008789E-1,9.623787231E0
9.676966667E-1,3.004252625E-1,1.264869690E-1,9.788444824E0
9.877856667E-1,5.403762817E-2,-1.330732727E-1,9.732461243E0
1.007873667E0,1.519340515E-1,1.505868530E-1,9.719737701E0
1.027962667E0,-1.532812500E-1,-4.198768616E-1,9.705517273E0
1.048051667E0,1.547781372E-1,-4.065545654E-1,9.745633850E0
1.068139667E0,2.820135498E-1,-5.852828979E-2,9.755064240E0
1.088228667E0,-2.356100464E-1,-7.783813477E-2,9.608968048E0
1.108317667E0,1.673519897E-1,3.427871704E-2,9.837542725E0
1.128405667E0,9.294172668E-1,-3.249742126E-1,9.854158173E0
1.148494667E0,6.535409546E-1,-9.984237671E-2,9.667346649E0
1.168583667E0,4.496649170E-1,-1.152303772E0,9.328002319E0
1.188671667E0,3.177891541E-1,4.331991577E-1,9.924212494E0
1.208760667E0,6.360273743E-1,1.197509766E0,9.669292603E0
1.228849667E0,7.970924377E-1,6.623725891E-1,1.001237915E1
1.248937667E0,-4.119433594E-1,-3.094065857E-1,9.587113495E0
1.269026667E0,-5.325924683E-1,-1.314266968E-1,9.286987610E0
1.289115667E0,1.276844788E-1,-3.610491943E-1,9.897268524E0
1.309203667E0,-5.673202515E-2,-3.971241760E-1,9.663305054E0
1.329292667E0,-2.392025757E-1,-5.604345703E-1,9.738149414E0
1.349381667E0,1.683998108E-1,-5.517526245E-1,9.670340424E0
1.369469667E0,1.487905884E-1,-8.087681580E-1,9.825268250E0
1.389558667E0,-4.604425049E-1,-6.873706055E-1,9.621242523E0
1.409647667E0,-5.995033264E-1,4.101470947E-2,9.988279266E0
1.429735667E0,-1.342707825E-1,-5.718109131E-2,9.852361908E0
1.449824667E0,2.977308655E-1,-2.312690735E-1,9.905950470E0
1.469913667E0,1.052311707E-1,-3.082090759E-1,9.338480530E0
1.490001667E0,6.885681152E-2,-3.827540588E-1,9.592502289E0
1.510090667E0,3.192860413E-1,-2.026785278E-1,9.571845245E0
1.530179667E0,3.600013733E-1,3.370989990E-1,9.643695831E0
1.550267667E0,2.679428101E-1,8.686436462E-1,9.748927002E0
1.570356667E0,3.878434753E-1,1.202898560E0,9.700128479E0
1.590445667E0,6.780899048E-1,7.331753540E-1,1.108025848E1
1.610533667E0,-6.870712280E-2,9.636959839E-1,8.422984314E0
1.630622667E0,1.305285645E-1,2.310146027E0,1.157138718E1
1.650711667E0,-4.210743713E-1,1.476379852E0,7.622598724E0
1.670799667E0,6.707551575E-1,6.150709534E-1,1.057266403E1
1.690888667E0,6.062393188E-2,3.631448364E-1,9.163494415E0
1.710977667E0,2.650987244E-1,4.270619202E-1,9.744885406E0
1.731065667E0,7.195536804E-1,5.414241028E-1,1.044003983E1
1.751154667E0,3.270698547E-1,7.598199463E-1,9.081015930E0
1.771243667E0,4.312532043E-1,4.733157349E-1,1.004965164E1
1.791332667E0,4.299060059E-1,6.776408386E-1,9.495953064E0
1.811419542E0,4.833448792E-1,6.400689697E-1,9.734556885E0
1.831508542E0,1.671873322E0,-2.698887634E-1,9.630672913E0
1.851597542E0,1.535207520E0,-1.176553345E-1,9.933942261E0
1.871685542E0,1.924996948E-1,9.476792908E-1,9.508975983E0
1.891774542E0,-3.498225403E-1,-2.917433167E-1,9.459728394E0
1.911863542E0,3.888912964E-1,-3.332070923E-1,9.092991028E0
1.931951542E0,-3.969744873E-1,-1.152603149E0,1.037477554E1
1.952040542E0,1.402583313E-1,-2.972817993E-1,1.065574127E1
1.972129542E0,1.160686340E0,-1.300345917E0,1.008572662E1
1.992217542E0,1.617985382E0,-1.671873322E0,1.040441391E1
2.012306542E0,1.667831726E0,-1.816472626E0,1.008018814E1
2.032395542E0,1.151255951E0,-1.423839111E0,9.974208527E0
2.052483542E0,1.429377594E0,-2.401605835E0,9.083560638E0
2.072572542E0,9.768685913E-1,-3.420686646E0,8.645721130E0
2.092661542E0,1.259031830E0,-1.979483643E0,9.398805084E0
2.112749542E0,1.275347900E0,-2.038760376E0,9.828262024E0
2.132838542E0,1.238374786E0,-1.328337708E0,9.835147705E0
2.152927542E0,8.976832581E-1,2.888992310E-2,9.609417114E0
2.173015542E0,5.807922363E-1,1.224453735E-1,1.077564194E1
2.193104542E0,-1.216969299E-1,-3.328628082E0,9.845476227E0
2.213193542E0,-8.663983154E-1,-2.549647980E0,8.978778534E0
2.233281542E0,-6.973997498E-1,-1.907483368E0,9.120084686E0
2.253370542E0,-4.677772522E-1,-2.372865601E0,1.030951126E1
2.273459542E0,-1.294058990E0,-1.212179260E0,1.020727386E1
2.293548542E0,-1.345252533E0,-4.719685364E-1,9.600435791E0
2.313636542E0,-1.741777954E0,-6.559359741E-1,9.372459869E0
2.333725542E0,1.842668152E-1,-1.748064880E0,8.629105682E0
2.353814542E0,1.333427124E0,-3.279679871E-1,6.951993256E0
2.373902542E0,8.936416626E-2,1.348845062E0,6.300847321E0
2.393991542E0,-3.249742126E-1,8.258326721E-1,6.074817352E0
2.414080542E0,-1.252146149E0,9.969268799E-2,6.914720764E0
2.434168542E0,1.820514221E0,2.182461548E-1,7.059020691E0
2.454257542E0,3.304378510E0,-2.818638611E-1,7.918832703E0
2.474346542E0,8.484356689E-1,4.439767456E-1,8.318351898E0
2.494434542E0,-2.261796570E0,2.875520325E-1,9.548643494E0
2.514523542E0,-6.735992432E-1,-1.555265808E-1,1.110346024E1
2.534612542E0,1.895358582E0,-2.475851440E-1,1.153725815E1
2.554700542E0,2.540816345E0,-1.006956024E0,1.139400604E1
2.574789542E0,1.433868256E0,-9.773176575E-1,1.101200043E1
2.594878542E0,-3.480262756E-1,-1.492396545E-1,1.189800797E1
2.614967542E0,-7.170089722E-2,-7.529342651E-1,1.269465134E1
2.635055542E0,9.038204956E-1,-1.667382660E0,1.161584473E1
2.655144542E0,-2.189945984E-1,-2.253563690E0,1.020921982E1
2.675233542E0,-1.870959320E0,-1.632954254E0,9.766290894E0
2.695321542E0,-1.416803741E0,-3.397933960E-2,9.724827118E0
2.715410542E0,1.686991882E-1,-4.866380310E-1,9.607770538E0
2.735499542E0,-8.797206116E-1,-1.603914642E0,9.776619415E0
2.755587542E0,-2.553090820E0,-1.417402496E0,9.022038574E0
2.775676542E0,-1.747615814E0,-5.622308350E-1,8.685837708E0
2.795765542E0,-7.571255493E-1,-1.247505798E0,1.002794678E1
2.815854458E0,-1.592388611E0,-1.621877289E0,1.152288803E1
2.835942458E0,-2.401156769E0,-2.272274780E0,1.154354507E1
2.856031458E0,-9.104067993E-1,-1.624421997E0,9.092092896E0
2.876120458E0,1.591191101E-1,-6.825805664E-1,7.920329590E0
2.896208458E0,-2.411485291E-1,-1.328337708E0,9.275461578E0
2.916297458E0,-2.114353180E0,-2.274520111E0,1.026520340E1
2.936386458E0,-2.889740753E0,-3.201841736E0,9.663454742E0
2.956474458E0,-1.869761810E0,-1.434467010E0,9.477391663E0
2.976563458E0,-1.164578247E-1,-1.121168518E0,9.469757538E0
2.996652458E0,6.152206421E-1,-4.821473694E-1,8.562194824E0
3.016741458E0,-1.191222839E0,-1.235830078E0,9.382189636E0
3.036829458E0,-3.328179016E0,-1.957928467E0,9.189390564E0
3.056918458E0,-3.613485718E0,-1.895657959E0,8.257428589E0
3.077007458E0,-2.090852051E0,-2.027683411E0,9.118587799E0
3.097095458E0,-1.993105316E0,-2.183060303E0,9.556576996E0
3.117184458E0,-2.838846588E0,-1.041234741E0,1.033480865E1
3.137273458E0,-3.087329865E0,-1.065783691E0,1.164817749E1
3.157362458E0,-2.191293182E0,-2.171683960E0,1.344189743E1
3.177450458E0,-7.023993530E0,-3.539539490E0,9.730066223E0
