"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.729566669E-2,1.642734278E-4,1.137015526E-3,-6.654054741E-4
4.738466669E-2,5.243574269E-4,-2.868520096E-5,-5.808824208E-4
6.747266668E-2,-1.989256125E-4,2.741096541E-4,1.154539408E-3
8.756166667E-2,-1.033762004E-3,1.595096895E-3,1.629524631E-3
1.076506667E-1,1.024700468E-3,4.492927110E-4,5.765776150E-4
1.277386667E-1,-1.705241157E-3,1.445907168E-3,6.444872124E-4
1.478276667E-1,6.768917665E-4,-1.071372302E-3,4.992814502E-4
1.679156667E-1,1.138974447E-3,-7.877801545E-4,1.093652099E-3
1.880046666E-1,-5.160511937E-4,1.902540680E-4,-8.330186247E-4
2.080936666E-1,-4.187328741E-4,-3.467260394E-4,2.264842624E-4
2.281816666E-1,2.427720465E-4,6.847514305E-4,-5.408262368E-4
2.482706667E-1,3.158228938E-4,-2.724654041E-4,-3.274951596E-4
2.683596667E-1,-1.670641359E-4,-1.160963438E-4,-3.488737857E-4
2.884476667E-1,2.066270914E-3,-1.051828032E-3,2.219703747E-4
3.085366667E-1,-7.589554880E-4,9.985567303E-4,-3.429029603E-4
3.286246667E-1,-1.196924131E-3,-3.937270958E-4,6.939958548E-4
3.487136667E-1,-7.342526224E-4,-1.029500971E-3,-2.745220903E-3
3.688026667E-1,-6.588043179E-4,3.344842698E-4,-6.407266483E-5
3.888906667E-1,-1.088792924E-3,-7.873217110E-4,2.450908069E-4
4.089796667E-1,-2.640293445E-3,1.304354519E-4,-5.444613053E-4
4.290686666E-1,-4.865545779E-4,2.445129212E-4,-1.843343489E-4
4.491566666E-1,1.672195503E-3,6.648513488E-3,-7.569178706E-4
4.692456666E-1,-1.956845401E-3,5.436266307E-3,5.019813543E-4
4.893346666E-1,2.413627692E-3,1.434693579E-3,1.733403187E-4
5.094226667E-1,-3.407509532E-3,-8.917900268E-4,-3.001478035E-4
5.295116667E-1,3.844140563E-3,-3.432416357E-3,-1.539815567E-3
5.496006667E-1,5.258657038E-4,1.644139178E-2,2.671557013E-5
5.696886667E-1,-6.571128033E-4,3.821268678E-3,-1.493974123E-4
5.897776667E-1,-7.888965774E-4,-4.900394939E-3,-7.354479749E-5
6.098656667E-1,1.939996262E-3,1.162498444E-2,-2.076852834E-3
6.299546667E-1,-2.260156674E-3,-6.008327473E-4,-3.812058130E-4
6.500436667E-1,1.597739989E-3,1.091238670E-2,4.355849233E-4
6.701316666E-1,-7.511088625E-4,8.079527179E-4,1.172400545E-3
6.902206666E-1,8.329830598E-4,2.724218415E-3,8.152518421E-4
7.103096666E-1,-1.096409280E-3,-2.067168942E-3,2.184149344E-4
7.303976667E-1,2.792021725E-3,-1.649532653E-2,-6.335744401E-4
7.504866667E-1,6.592436694E-5,-2.818662906E-3,-1.057043206E-3
7.705756667E-1,4.823245574E-3,-6.708242930E-3,4.311619326E-3
7.906636667E-1,2.293104306E-2,1.003417373E-2,1.463971566E-4
8.107536667E-1,8.116094396E-3,2.609167481E-3,-1.848794054E-4
8.308426667E-1,-2.604306443E-3,6.668626331E-3,-7.394059794E-4
8.509306667E-1,1.556842355E-3,2.818900347E-2,2.395454794E-4
8.710196667E-1,8.792965673E-3,1.328634005E-2,9.561363840E-4
8.911086667E-1,1.327201445E-2,2.654708549E-2,-9.815361118E-4
9.111966667E-1,6.630245131E-3,4.580200836E-2,6.890108343E-4
9.312856667E-1,-8.429188281E-3,2.718416229E-2,3.106049076E-2
9.513736666E-1,3.787924768E-3,-7.088715583E-2,4.149962068E-1
9.714626666E-1,-7.864146493E-3,3.930721432E-2,4.454877675E-1
9.915516666E-1,-4.369633272E-2,3.957656212E-3,5.672493577E-1
1.011639667E0,-5.975445360E-2,-1.743307523E-2,5.396701694E-1
1.031728667E0,-4.328878596E-2,-1.426267903E-3,5.724959970E-1
1.051817667E0,-3.090010211E-2,3.862252831E-2,6.896982789E-1
1.071905667E0,-8.965060115E-2,9.554035962E-2,9.379773736E-1
1.091994667E0,-8.067975938E-2,4.388039559E-2,1.022424936E0
1.112083667E0,-1.335894018E-1,1.799333841E-1,8.558252454E-1
1.132171667E0,-1.585892439E-1,2.967431843E-1,7.204613090E-1
