"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.729566669E-2,-3.428616333E1,9.767509460E0,-1.795434570E1
4.738466669E-2,-3.429995728E1,9.833915710E0,-1.805323792E1
6.747266668E-2,-3.432333374E1,9.892463684E0,-1.801091003E1
8.756166667E-2,-3.439978027E1,9.889495850E0,-1.801591492E1
1.076506667E-1,-3.440194702E1,9.919578552E0,-1.807571411E1
1.277386667E-1,-3.432025146E1,9.801597595E0,-1.792924500E1
1.478276667E-1,-3.446984863E1,9.873458862E0,-1.772184753E1
1.679156667E-1,-3.430999756E1,9.955879211E0,-1.793803406E1
1.880046666E-1,-3.449295044E1,9.846343994E0,-1.811250305E1
2.080936666E-1,-3.438134766E1,9.937911987E0,-1.806755066E1
2.281816666E-1,-3.418154907E1,9.899131775E0,-1.790328979E1
2.482706667E-1,-3.432641602E1,9.925895691E0,-1.793687439E1
2.683596667E-1,-3.424676514E1,9.927917480E0,-1.803688049E1
2.884476667E-1,-3.440148926E1,9.863418579E0,-1.796743774E1
3.085366667E-1,-3.456869507E1,9.877464294E0,-1.828227234E1
3.286246667E-1,-3.440005493E1,9.941925049E0,-1.809375000E1
3.487136667E-1,-3.443670654E1,9.831787109E0,-1.823716736E1
3.688026667E-1,-3.436105347E1,9.896575928E0,-1.800402832E1
3.888906667E-1,-3.433459473E1,9.853286743E0,-1.783839417E1
4.089796667E-1,-3.446896362E1,9.904869080E0,-1.791104126E1
4.290686666E-1,-3.445648193E1,9.916648865E0,-1.823133850E1
4.491566666E-1,-3.441055298E1,9.915534973E0,-1.803933716E1
4.692456666E-1,-3.438430786E1,9.895675659E0,-1.812243652E1
4.893346666E-1,-3.437969971E1,9.853500366E0,-1.805621338E1
5.094226667E-1,-3.429687500E1,1.003126526E1,-1.810510254E1
5.295116667E-1,-3.442163086E1,9.891212463E0,-1.835095215E1
5.496006667E-1,-3.437814331E1,9.840332031E0,-1.800843811E1
5.696886667E-1,-3.431332397E1,9.925598145E0,-1.803604126E1
5.897776667E-1,-3.435159302E1,9.812179565E0,-1.812184143E1
6.098656667E-1,-3.434606934E1,9.806579590E0,-1.833702087E1
6.299546667E-1,-3.437844849E1,9.845817566E0,-1.789044189E1
6.500436667E-1,-3.420477295E1,9.719795227E0,-1.810466003E1
6.701316666E-1,-3.425872803E1,9.919212341E0,-1.818072510E1
6.902206666E-1,-3.425137329E1,9.895698547E0,-1.822512817E1
7.103096666E-1,-3.448141479E1,9.787307739E0,-1.832467651E1
7.303976667E-1,-3.440554810E1,9.905136108E0,-1.828979492E1
7.504866667E-1,-3.455776978E1,9.826820374E0,-1.825207520E1
7.705756667E-1,-3.441213989E1,9.813018799E0,-1.837419128E1
7.906636667E-1,-3.444400024E1,9.792167664E0,-1.869180298E1
8.107536667E-1,-3.441226196E1,9.793037415E0,-1.841679382E1
8.308426667E-1,-3.429742432E1,9.889427185E0,-1.857969666E1
8.509306667E-1,-3.439855957E1,9.869819641E0,-1.849438477E1
8.710196667E-1,-3.422412109E1,9.910316467E0,-1.855439758E1
8.911086667E-1,-3.437942505E1,9.958259583E0,-1.855867004E1
9.111966667E-1,-3.431719971E1,9.949295044E0,-1.833601379E1
9.312856667E-1,-3.437649536E1,9.912971497E0,-1.836027527E1
9.513736666E-1,-3.422860718E1,1.002705383E1,-1.828790283E1
9.714626666E-1,-3.427426147E1,1.027960205E1,-1.827616882E1
9.915516666E-1,-3.429879761E1,1.066069794E1,-1.836039734E1
1.011639667E0,-3.429751587E1,1.132057190E1,-1.863914490E1
1.031728667E0,-3.428274536E1,1.172610474E1,-1.866238403E1
