"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.434136000E-2,6.423499107E0,7.168478966E0,2.063830614E0
3.433354700E-2,6.512831688E0,7.169628143E0,2.116866827E0
5.433042200E-2,6.420070648E0,7.112100124E0,1.919891119E0
7.433042200E-2,6.385488987E0,7.086568356E0,1.819995403E0
9.433198500E-2,6.381160259E0,7.113728523E0,1.944972754E0
1.143304220E-1,6.361259460E0,7.134471893E0,1.923491955E0
1.343319850E-1,6.419936657E0,7.124483109E0,1.898917913E0
1.543319850E-1,6.414353371E0,7.125622749E0,1.906617641E0
1.743304220E-1,6.435929775E0,7.134031296E0,1.956369162E0
1.943304220E-1,6.398321629E0,7.121811390E0,1.922026753E0
2.143304220E-1,6.415349483E0,7.101891518E0,1.922630072E0
2.343319850E-1,6.435317039E0,7.120911121E0,1.886075377E0
2.543304220E-1,6.369342327E0,7.148024082E0,1.908839464E0
2.743304220E-1,6.378545761E0,7.157350540E0,1.926556587E0
2.943304220E-1,6.326074600E0,7.161717892E0,1.910199404E0
3.143304220E-1,6.340229034E0,7.159955502E0,1.916615844E0
3.343304220E-1,6.394653797E0,7.149804115E0,1.912967086E0
3.543304220E-1,6.359392166E0,7.139844418E0,1.900833249E0
3.743319850E-1,6.309353352E0,7.136837482E0,1.931048036E0
3.943304220E-1,6.332031250E0,7.122060299E0,1.901915431E0
4.143304220E-1,6.389511108E0,7.168565273E0,1.905027866E0
4.343304220E-1,6.343207359E0,7.222635746E0,1.943038225E0
4.543304220E-1,6.259659290E0,7.277798176E0,1.865360737E0
4.743304220E-1,6.297631264E0,7.220845222E0,1.904309630E0
4.943288600E-1,6.299978733E0,7.212570667E0,1.874468327E0
5.143319850E-1,6.398206711E0,7.236503124E0,1.894359350E0
5.343304220E-1,6.366344929E0,7.177203655E0,1.837607145E0
5.543304220E-1,6.274196625E0,7.151173592E0,1.849128127E0
5.743288600E-1,6.339415073E0,7.154640675E0,1.914556861E0
5.943319850E-1,6.438055992E0,7.185967445E0,1.922486424E0
6.143304220E-1,6.340928078E0,7.218105793E0,1.905679107E0
6.343304220E-1,6.283993721E0,7.140294552E0,1.889149547E0
6.543319850E-1,6.259486675E0,7.129702568E0,1.685795665E0
6.743319850E-1,6.564259052E0,6.964454651E0,2.235082865E0
6.943304220E-1,6.566653252E0,7.048558235E0,1.847480893E0
7.143304220E-1,6.505447865E0,7.160089970E0,1.919967771E0
7.343319850E-1,6.409469128E0,7.134931564E0,2.100701332E0
7.543304220E-1,6.304670334E0,7.205148697E0,1.918684483E0
7.743304220E-1,6.340324879E0,7.228803158E0,1.718021631E0
7.943304220E-1,6.688556671E0,7.118526459E0,1.885328412E0
8.143319850E-1,6.445745945E0,7.085323811E0,1.738975644E0
8.343304220E-1,6.227643967E0,7.276668072E0,1.846149683E0
8.543304220E-1,6.120125294E0,7.363904476E0,2.149437666E0
8.743319850E-1,5.987572670E0,7.492031574E0,2.042033672E0
8.943304220E-1,5.556798458E0,7.635195255E0,1.949684501E0
9.143304220E-1,6.125411510E0,7.513272762E0,1.690315962E0
9.343304220E-1,6.295821190E0,7.353857040E0,1.497889161E0
9.543319850E-1,5.731728077E0,7.419410706E0,2.072746515E0
9.743304220E-1,5.962069511E0,7.302468300E0,2.428917408E0
9.943288600E-1,6.221179485E0,7.262379646E0,2.069902182E0
1.014331985E0,6.289883614E0,7.250849247E0,1.893353820E0
1.034330422E0,7.003796101E0,7.329637527E0,1.568498969E0
1.054330422E0,6.327759743E0,7.483623028E0,1.420106292E0
1.074330422E0,5.998164654E0,7.286378860E0,2.489586592E0
1.094331985E0,5.600142956E0,7.458848000E0,2.049101353E0
1.114330422E0,5.267205238E0,7.619575500E0,1.672435999E0
1.134330422E0,5.053259373E0,7.954073906E0,1.690861821E0
1.154331985E0,5.222443104E0,8.225270271E0,1.464274526E0
1.174330422E0,5.331743240E0,7.878637314E0,2.008888483E0
1.194330422E0,5.680349827E0,7.673665047E0,1.906962395E0
1.214330422E0,5.837752819E0,7.873858929E0,1.716479778E0
1.234331985E0,5.171149731E0,8.061344147E0,1.706634760E0
1.254330422E0,5.099907875E0,7.772095680E0,1.743744969E0
1.274330422E0,5.842512608E0,7.564805508E0,1.668327570E0
1.294330422E0,6.791296482E0,7.923217773E0,1.261112213E0
1.314331985E0,6.383516312E0,7.782744884E0,1.648982406E0
1.334330422E0,5.821376801E0,7.645020962E0,1.908820271E0
1.354330422E0,6.622581959E0,7.427349567E0,1.727991104E0
1.374331985E0,7.099525928E0,7.751064777E0,1.645295382E0
1.394330422E0,6.162981510E0,7.731327057E0,1.856415987E0
1.414330422E0,6.056334019E0,7.104869843E0,7.399806976E-1
1.434328860E0,7.779182434E0,5.202323437E0,5.438476801E-1
1.454331985E0,1.008860016E1,2.904923201E0,2.450532436E0
1.474330422E0,2.155030489E0,8.567822456E0,-1.384997815E-1
1.494328860E0,-6.985284328E0,1.595640659E1,-3.089659691E0
1.514331985E0,4.535000920E-1,1.040846539E1,5.240983963E0
1.534330422E0,3.231003761E0,8.231054306E0,9.930956960E-1
1.554330422E0,2.141383410E0,8.693634987E0,4.976491630E-1
1.574328860E0,2.578306198E0,8.720295906E0,2.694951534E0
1.594331985E0,3.106898069E0,9.118068695E0,1.288597584E0
1.614330422E0,3.354745626E0,9.039902687E0,1.333627701E0
1.634330422E0,3.487422705E0,8.916897774E0,1.323677421E0
1.654331985E0,3.428429604E0,9.380185127E0,1.184478521E0
1.674331985E0,3.439174891E0,9.680925369E0,8.755787015E-1
1.694330422E0,2.958677769E0,9.738663673E0,5.906112194E-1
1.714330422E0,2.148087263E0,9.793050766E0,3.305530548E-1
1.734331985E0,1.978434086E0,9.386409760E0,9.527006745E-2
1.754330422E0,2.812152624E0,8.258607864E0,-1.276875585E-1
1.774330422E0,3.922123671E0,7.393936157E0,2.815724850E0
1.794330422E0,4.937427998E0,8.741182327E0,2.748150826E0
1.814331985E0,4.813504219E0,9.062129974E0,-4.368077219E-1
1.834330422E0,5.291874886E0,9.384025574E0,5.644761324E-1
1.854330422E0,5.134030342E0,9.251338959E0,1.573842764E0
1.874331985E0,4.266898155E0,9.107446671E0,-1.708310694E-1
1.894330422E0,3.524973392E0,8.936769485E0,1.162815839E-1
1.914330422E0,3.655256271E0,9.098666191E0,1.107308626E0
1.934328860E0,3.390007496E0,9.324380875E0,4.029441178E-1
1.954331985E0,3.314714670E0,8.712759018E0,6.530328393E-1
1.974330422E0,3.124959707E0,9.174629211E0,6.473921239E-2
1.994328860E0,3.691763163E0,8.996730804E0,4.898536578E-2
2.014331985E0,3.722600460E0,9.004620552E0,7.259219140E-2
2.034330422E0,3.981691360E0,9.039318085E0,1.991209537E-1
2.054330422E0,4.237411022E0,8.780992508E0,-1.591282189E-1
2.074330422E0,4.073111534E0,8.671098709E0,7.544608414E-2
2.094331985E0,3.597450733E0,9.077864647E0,-5.341942608E-2
2.114330422E0,3.394661903E0,9.377704620E0,-1.907795668E-1
2.134330422E0,3.110786200E0,9.520360947E0,-1.534300148E-1
2.154331985E0,2.790394068E0,9.774940491E0,-3.947751224E-1
2.174331985E0,2.611154556E0,9.854811668E0,2.396883070E-1
2.194330422E0,3.278198242E0,9.460986137E0,9.937851876E-2
2.214330422E0,3.721163988E0,9.300879478E0,4.007414579E-1
2.234331985E0,3.594079733E0,9.212638855E0,-1.147588715E-1
2.254330422E0,3.477309704E0,9.082700729E0,-2.993135154E-1
2.274330422E0,3.219176531E0,9.368922234E0,3.341060579E-1
2.294330422E0,3.251306534E0,9.561924934E0,2.242600769E-1
2.314331985E0,3.465338707E0,9.609980583E0,1.524914950E-1
2.334330422E0,3.600065231E0,9.619289398E0,-1.884907037E-1
2.354330422E0,3.557323933E0,1.006526279E1,-1.885673255E-1
2.374331985E0,3.678815365E0,1.003197384E1,-3.117346168E-1
2.394330422E0,3.859156132E0,1.008014584E1,-8.210196346E-2
2.414330422E0,3.511575460E0,9.770478249E0,1.895250008E-2
2.434330422E0,3.183273077E0,9.442759514E0,2.883576415E-2
2.454331985E0,3.405933619E0,8.862185478E0,-1.770176888E-1
2.474330422E0,4.030858517E0,8.317752838E0,-2.144342661E-1
2.494328860E0,4.845346928E0,8.475407600E0,1.380400807E-1
2.514331985E0,4.821931839E0,9.098186493E0,3.495534360E-1
2.534330422E0,4.513893604E0,9.606446266E0,3.627406955E-1
2.554330422E0,3.403213978E0,9.624958992E0,-3.195780143E-2
2.574330422E0,3.143261194E0,9.063039780E0,7.300399244E-2
2.594331985E0,2.611872911E0,8.889565468E0,1.136958450E-1
2.614330422E0,2.232851505E0,8.996585846E0,3.816261590E-1
2.634330422E0,1.829150915E0,9.045207024E0,4.780167043E-1
2.654331985E0,1.800880194E0,8.915892601E0,3.173466325E-1
2.674331985E0,1.849195123E0,9.036943436E0,5.088157058E-1
2.694330422E0,1.740996361E0,9.307248116E0,4.153748155E-1
2.714330422E0,1.417577982E0,9.465535164E0,2.225649804E-1
2.734331985E0,1.354304075E0,9.529698372E0,5.835148320E-2
2.754330422E0,1.344621897E0,9.612480164E0,-1.242590621E-1
2.774330422E0,1.091765523E0,9.725726128E0,3.418919817E-2
2.794330422E0,9.421470761E-1,9.676472664E0,3.601549566E-1
2.814331985E0,9.505076408E-1,9.681059837E0,4.980418086E-1
2.834330422E0,1.244333625E0,9.798796654E0,7.056956887E-1
2.854330422E0,1.740077019E0,9.799332619E0,5.182105899E-1
2.874331985E0,1.588246346E0,1.007619953E1,5.634705424E-1
2.894330422E0,1.288262367E0,1.016196918E1,6.505237222E-1
2.914330422E0,1.016549230E0,9.820030212E0,6.462811828E-1
2.934330422E0,8.271200657E-1,9.350985527E0,7.297717929E-1
2.954331985E0,6.978906393E-1,9.313186646E0,6.486562490E-1
