"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.582136000E-2,-7.520623505E-2,-1.070934013E-1,-5.026548170E-3
3.581354700E-2,-2.443460980E-4,2.984513063E-3,-2.385865152E-2
5.581042200E-2,2.563888580E-2,4.181808978E-2,-1.998401992E-2
7.581042200E-2,-1.481784508E-2,-1.143190637E-2,-1.123992074E-2
9.581198500E-2,-2.768092230E-2,-3.632030264E-2,-1.396263367E-3
1.158104220E-1,-6.632251199E-3,1.780235791E-3,-3.089232836E-3
1.358119850E-1,2.478367416E-3,1.802925020E-2,-7.487462368E-3
1.558119850E-1,-9.721484035E-3,-4.956734832E-3,-1.115265395E-2
1.758104220E-1,-9.878563695E-3,-1.384046115E-2,-1.385791413E-2
1.958104220E-1,-5.602506921E-3,-3.228859045E-3,-1.357866172E-2
2.158104220E-1,3.019419499E-3,3.682644805E-3,-6.143558770E-3
2.358119850E-1,2.268928103E-3,-8.377580671E-4,-6.824237294E-3
2.558104220E-1,-4.293509759E-3,-6.161012221E-3,-1.391027402E-2
2.758104220E-1,-1.954768784E-3,-3.543018363E-3,-1.663298719E-2
2.958104220E-1,5.759586347E-4,4.223696887E-3,-1.317723561E-2
3.158104220E-1,3.717551241E-3,-5.305801053E-3,-8.115780540E-3
3.358104220E-1,5.585053470E-3,-7.871435024E-3,-7.278022822E-3
3.558104220E-1,5.550147034E-3,1.919862116E-4,-8.866272867E-3
3.758119850E-1,8.307767101E-3,-1.605702913E-3,-8.447393775E-3
3.958104220E-1,1.230457146E-2,-2.495820867E-3,-6.422811653E-3
4.158104220E-1,9.616764262E-3,-7.801621687E-3,-8.970992640E-3
4.358104220E-1,1.050688233E-2,-2.181661548E-3,-1.551597659E-2
4.558104220E-1,2.216568217E-3,-1.031489577E-2,-2.153736353E-2
4.758104220E-1,-1.274090377E-3,-1.424188633E-2,-2.350958437E-2
4.958088600E-1,-8.150687441E-3,-4.468042869E-3,-1.356120780E-2
5.158119850E-1,-5.113814492E-3,-1.003564335E-2,-2.024581842E-2
5.358104220E-1,3.141592606E-4,-1.199041214E-2,-1.923352852E-2
5.558104220E-1,-5.375613924E-3,-1.420698036E-2,-1.544616371E-2
5.758088600E-1,-1.989675453E-3,-2.520255372E-2,-1.059414819E-2
5.958119850E-1,7.819075137E-3,-2.293362655E-2,-1.446877979E-2
6.158104220E-1,2.769837528E-2,-1.954768784E-3,-2.872812003E-2
6.358104220E-1,2.270673402E-2,-1.254891697E-2,-2.352703735E-2
6.558119850E-1,-2.642428502E-2,-3.523819894E-2,-3.230604529E-2
6.758119850E-1,1.003564335E-2,-5.131268129E-2,-2.640683204E-2
6.958104220E-1,2.637192421E-2,-8.943066746E-2,-4.462806880E-2
7.158104220E-1,5.044001341E-2,5.192354321E-2,-7.906341553E-2
7.358119850E-1,1.206371561E-1,1.699601561E-1,-1.025555432E-1
7.558104220E-1,1.775174439E-1,1.743758470E-1,-7.869689912E-2
7.758104220E-1,1.417556405E-1,1.442689151E-1,-6.988298148E-2
7.958104220E-1,1.278104633E-1,1.528559327E-1,-1.430820972E-1
8.158119850E-1,8.646360785E-2,3.204424679E-2,-1.709550023E-1
8.358104220E-1,8.667305112E-2,1.185078546E-1,-1.708677262E-1
8.558104220E-1,1.667138487E-1,2.669132054E-1,-1.824392676E-1
8.758119850E-1,2.639985085E-1,3.883531988E-1,-2.012364566E-1
8.958104220E-1,3.022910357E-1,4.477642179E-1,-1.541998386E-1
9.158104220E-1,1.470090896E-1,9.817477316E-2,-1.437976807E-1
9.358104220E-1,-5.789257213E-2,-1.725956053E-1,-2.062281072E-1
9.558119850E-1,-7.548549026E-2,-1.927018017E-1,-1.230631620E-1
9.758104220E-1,5.864306167E-2,-9.796532989E-2,-4.038691893E-2
9.958088600E-1,2.435257882E-1,2.142042518E-1,-8.518952131E-2
1.015811985E0,3.631855547E-1,5.095139742E-1,-1.231678873E-1
1.035810422E0,2.649933398E-1,2.837730944E-1,-3.048741221E-1
1.055810422E0,3.492403775E-2,-3.049090132E-2,-4.343949854E-1
1.075810422E0,1.593485661E-2,-5.695009232E-2,-4.164704680E-1
1.095811985E0,1.706582904E-1,7.084291428E-2,-3.868871331E-1
1.115810422E0,2.920110226E-1,2.862339914E-1,-2.993065119E-1
1.135810422E0,2.571568191E-1,2.536486983E-1,-1.504997462E-1
1.155811985E0,4.675737023E-2,-2.262993902E-1,-1.062730998E-1
1.175810422E0,-6.928957254E-2,-3.777416050E-1,-3.752457723E-2
1.195810422E0,9.108873457E-2,-1.349663138E-1,-1.031489577E-2
1.215810422E0,2.550100684E-1,1.670803726E-1,-7.262314856E-2
1.235811985E0,2.812772691E-1,2.724633515E-1,-1.473581493E-1
1.255810422E0,2.676287889E-1,2.281668931E-1,-1.067094281E-1
1.275810422E0,2.654122114E-1,2.241526395E-1,-4.630358517E-2
1.295810422E0,1.694191098E-1,1.228013635E-1,-1.880941391E-1
1.315811985E0,8.520697057E-2,9.121090919E-2,-3.953345418E-1
1.335810422E0,1.865407825E-1,2.446427941E-1,-4.122991264E-1
1.355810422E0,3.120648563E-1,3.931179643E-1,-4.340633750E-1
1.375811985E0,2.296678722E-1,9.211847931E-2,-6.987425685E-1
1.395810422E0,8.065166324E-2,-3.133389652E-1,-8.593652248E-1
1.415810422E0,6.843435764E-2,-1.055226028E-1,-1.029150844E0
1.435808860E0,4.314453900E-2,7.697250843E-1,-1.348860264E0
1.455811985E0,5.621705651E-1,1.165792704E0,-3.001739502E0
1.475810422E0,1.130362511E0,1.467507720E0,-3.577157021E0
1.495808860E0,7.934092283E-1,2.451087952E0,-1.171325326E0
1.515811985E0,5.522570610E-1,2.541810274E0,8.101643920E-1
1.535810422E0,7.857297659E-1,1.443055630E0,2.992017865E-1
1.555810422E0,5.037893057E-1,1.476496220E0,1.697158217E-1
1.575808860E0,6.242519021E-1,1.089399576E0,1.687035263E-1
1.595811985E0,5.003858805E-1,5.310164094E-1,2.108532190E-1
1.615810422E0,3.489262164E-1,4.302585721E-1,3.260798752E-1
1.635810422E0,3.893829584E-1,3.455053866E-1,4.588121474E-1
1.655811985E0,4.591961205E-1,2.235417664E-1,5.023581386E-1
1.675811985E0,4.356690943E-1,1.563815027E-1,3.944793046E-1
