"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.133375001E-3,-6.171965332E0,3.324436798E0,6.717281342E0
2.122037500E-2,-5.785319366E0,3.748954010E0,6.002817078E0
4.130737500E-2,-5.371879120E0,4.409230957E0,5.493576050E0
6.139437500E-2,-5.197042694E0,4.513713684E0,5.558990021E0
8.148137500E-2,-5.662275238E0,4.077221375E0,7.536677399E0
1.015683750E-1,-5.726641388E0,3.644620972E0,8.165519714E0
1.216553750E-1,-6.144572296E0,3.587589569E0,7.835456085E0
1.417423750E-1,-6.308930511E0,3.670666809E0,7.649542694E0
1.618283750E-1,-5.736969910E0,3.855831757E0,8.633895721E0
1.819153750E-1,-4.311783600E0,4.110601959E0,9.104067993E0
2.020023750E-1,-3.428620148E0,4.147874451E0,8.260572052E0
2.220893750E-1,-3.849694519E0,4.029320984E0,6.868017883E0
2.421763750E-1,-4.084256744E0,4.750670929E0,6.752158813E0
2.622633750E-1,-3.290756836E0,5.166955261E0,7.295678558E0
2.823503750E-1,-1.994452515E0,4.966222687E0,7.590415649E0
3.024373750E-1,-8.334667969E-1,4.572840729E0,7.478897552E0
3.225243750E-1,-5.682183838E-1,1.027164001E0,8.725505219E0
3.426113750E-1,-6.646179199E-2,2.888842621E0,7.438631287E0
3.626983750E-1,8.831634521E-1,3.544179840E0,9.383686523E0
3.827853750E-1,3.035687256E-1,2.239043884E0,1.100152222E1
4.028723750E-1,8.186476135E-1,1.909728699E0,1.229617996E1
4.229593750E-1,-6.968009949E-1,2.158661041E0,1.090153015E1
4.430463750E-1,-1.835333405E0,3.194207611E0,9.137598267E0
4.631333750E-1,-1.111289062E0,3.608695679E0,8.226742401E0
4.832203750E-1,-5.638774109E-1,3.017874298E0,9.735604706E0
5.033073750E-1,-3.712280273E-1,2.458038483E0,9.984087982E0
5.233943750E-1,-6.598278809E-1,2.715952148E0,8.944799194E0
5.434803750E-1,-3.519181824E-1,3.623514862E0,8.101303253E0
5.635673750E-1,8.060737610E-1,3.624412994E0,7.702981567E0
5.836543750E-1,1.801204376E0,3.307222595E0,7.338639221E0
6.037413750E-1,1.415157166E0,3.075654144E0,7.489824829E0
6.238283750E-1,9.490264893E-1,3.401376801E0,8.578660583E0
6.439153750E-1,1.970053253E0,4.221820679E0,9.611213379E0
6.640023750E-1,2.264191589E0,4.167034607E0,9.477691040E0
