"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.243137500E-2,2.836558819E-1,-4.289194047E-1,1.900222898E-1
3.251837500E-2,1.179675758E-1,-6.838063002E-1,6.454613805E-2
5.260537500E-2,-3.596704453E-2,-1.188728809E0,-2.292657644E-1
7.269237500E-2,-1.416293234E-1,-1.471118808E0,-4.264739156E-1
9.277937500E-2,-1.569983810E-1,-1.047433257E0,-5.182983875E-1
1.128663750E-1,-2.079139799E-1,-1.054142356E0,-4.907160103E-1
1.329533750E-1,-2.234120816E-1,-1.342110038E0,-3.959820569E-1
1.530403750E-1,-5.365871638E-2,-1.754466176E0,-2.754151523E-1
1.731273750E-1,3.441785276E-1,-1.669995308E0,-2.917632461E-1
1.932143750E-1,6.894986629E-1,-1.268212318E0,-4.664626122E-1
2.133013750E-1,8.892264366E-1,-1.548841715E0,-5.948125720E-1
2.333883750E-1,9.884548783E-1,-2.711103439E0,-5.378608704E-1
2.534753750E-1,1.083969235E0,-3.441903830E0,-5.423291326E-1
2.735623750E-1,1.153890133E0,-3.770310640E0,-8.333535194E-1
2.936493750E-1,1.014665246E0,-3.800355196E0,-1.375920177E0
3.137363750E-1,9.204510599E-2,-2.668644190E0,-1.181118727E0
3.338233750E-1,-2.072692871E0,-1.046211720E0,5.157801509E-1
3.539093750E-1,-1.707736373E0,-2.127094507E0,-1.884334087E-1
3.739963750E-1,-9.403717518E-1,-2.132102013E0,-5.808514953E-1
3.940833750E-1,-2.632778585E-1,-6.465311050E-1,-8.631843925E-1
4.141703750E-1,3.288473189E-1,-5.516232923E-2,-1.194597840E0
4.342573750E-1,6.845054626E-1,-2.884393036E-1,-9.644369483E-1
4.543443750E-1,6.472929716E-1,-1.257739067E0,-7.523021102E-1
4.744313750E-1,6.010471582E-1,-2.178091049E0,-7.090563178E-1
4.945183750E-1,6.856025457E-1,-2.245531559E0,-7.286875844E-1
5.146053750E-1,4.121345282E-1,-1.650549173E0,-6.494659781E-1
5.346923750E-1,1.202277467E-1,-1.612656593E0,-4.251937270E-1
5.547793750E-1,-4.752836376E-2,-1.547955751E0,-4.268100262E-1
5.748663750E-1,-2.593975961E-1,-1.067842960E0,-5.065146685E-1
5.949533750E-1,-4.787074924E-1,-1.017909884E0,-4.535532296E-1
6.150403750E-1,-6.353303194E-1,-1.016913891E0,-3.851517737E-1
6.351273750E-1,-6.096205115E-1,-6.794559360E-1,-2.749123871E-1
6.552143750E-1,-5.406903625E-1,5.734610371E-3,-2.562926114E-1
6.753013750E-1,-4.694167078E-1,3.873480260E-1,-3.772138804E-2
6.953883750E-1,-4.770943522E-1,1.875584722E-1,6.797122210E-2
7.154743750E-1,-3.589621484E-1,-6.714112163E-1,3.605562449E-2
7.355613750E-1,-2.509314120E-1,-7.324564457E-1,1.832466722E-1
7.556483750E-1,-2.544322610E-1,-1.369206309E-1,3.206168115E-1
7.757353750E-1,-2.392925918E-1,3.953708336E-2,4.123653471E-1
7.958223750E-1,-2.077359110E-1,-2.757081389E-2,5.205139518E-1
8.159093750E-1,-4.139155895E-2,-6.180562079E-2,6.693004966E-1
8.359963750E-1,1.388806403E-1,2.570031285E-1,8.375174403E-1
8.560833750E-1,1.443679482E-1,4.720702767E-1,8.951338530E-1
8.761703750E-1,-2.914646268E-2,5.503854752E-1,9.183158875E-1
8.962573750E-1,-4.352931678E-2,6.461591721E-1,1.017184854E0
9.163443750E-1,1.759936213E-1,7.762326598E-1,1.071393251E0
9.364318333E-1,3.670165837E-1,7.813150883E-1,1.017786503E0
9.565188333E-1,2.577971518E-1,3.144577742E-1,7.743491530E-1
9.766058333E-1,4.590922594E-2,-2.143586129E-1,3.894959688E-1
9.966928333E-1,-7.071950287E-2,-3.227852285E-1,1.119812876E-1
1.016778833E0,-2.335977405E-1,3.218048811E-1,-1.511488203E-2
1.036865833E0,-3.287000656E-1,-3.803870082E-2,-3.396322429E-1
1.056952833E0,-3.462090194E-1,-5.630686283E-1,-3.504185975E-1
1.077039833E0,-1.350654811E-1,-6.925402284E-1,-3.168366551E-1
1.097126833E0,1.731752306E-1,-9.740816951E-1,-5.331878662E-1
1.117213833E0,2.286847234E-1,-7.805801630E-1,-5.652621388E-1
1.137300833E0,1.303051114E-1,-2.521367967E-1,-4.581051171E-1
1.157387833E0,-4.537454620E-2,3.777476400E-2,-4.654109478E-1
1.177474833E0,-2.462691367E-1,-1.382889748E-1,-5.584175587E-1
1.197561833E0,-3.993750811E-1,-2.900728881E-1,-6.428850293E-1
1.217648833E0,-4.910568297E-1,-3.530652821E-1,-8.350867033E-1
1.237735833E0,-7.598201036E-1,4.130773544E-1,-7.901951075E-1
1.257822833E0,-1.162072539E0,1.211026549E0,-5.497944951E-1
1.277909833E0,-1.375741959E0,9.370018840E-1,-3.996402025E-1
1.297995833E0,-9.091749787E-1,-2.437272482E-2,-4.892275929E-1
1.318082833E0,-3.554084003E-1,-2.869301438E-1,-9.417008162E-1
1.338169833E0,-2.333078980E-1,-6.327607632E-1,-1.191573739E0
