"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.243137500E-2,9.851684570E-1,-4.026426697E1,-4.222579956E0
3.251837500E-2,7.594299316E-1,-4.021591187E1,-4.162170410E0
5.260537500E-2,6.812744141E-1,-4.026597595E1,-4.298965454E0
7.269237500E-2,8.306884766E-1,-4.023606873E1,-4.302017212E0
9.277937500E-2,1.000885010E0,-4.033036804E1,-4.491683960E0
1.128663750E-1,1.138031006E0,-4.031239319E1,-4.553680420E0
1.329533750E-1,1.367370605E0,-4.019076538E1,-4.766845703E0
1.530403750E-1,1.290740967E0,-4.012445068E1,-4.999114990E0
1.731273750E-1,1.343719482E0,-4.023950195E1,-5.149017334E0
1.932143750E-1,1.407989502E0,-4.007820129E1,-4.940872192E0
2.133013750E-1,1.436676025E0,-4.008192444E1,-4.479980469E0
2.333883750E-1,1.760437012E0,-4.018556213E1,-4.123367310E0
2.534753750E-1,1.847595215E0,-4.021229553E1,-3.647201538E0
2.735623750E-1,1.861206055E0,-4.000154114E1,-3.265380859E0
2.936493750E-1,2.402465820E0,-4.009771729E1,-2.634689331E0
3.137363750E-1,3.252838135E0,-4.014152527E1,-2.410842896E0
3.338233750E-1,3.000610352E0,-3.988534546E1,-3.563568115E0
3.539093750E-1,2.601928711E0,-3.949971008E1,-5.389022827E0
3.739963750E-1,2.515930176E0,-3.931718445E1,-7.078613281E0
3.940833750E-1,2.729217529E0,-3.926780701E1,-7.512222290E0
4.141703750E-1,3.417114258E0,-3.929896545E1,-7.550628662E0
4.342573750E-1,4.348327637E0,-3.921983337E1,-7.288452148E0
4.543443750E-1,4.811035156E0,-3.922901917E1,-6.844375610E0
4.744313750E-1,5.191772461E0,-3.900604248E1,-6.579833984E0
4.945183750E-1,5.277404785E0,-3.898518372E1,-6.462692261E0
5.146053750E-1,5.487060547E0,-3.884550476E1,-6.252319336E0
5.346923750E-1,5.711761475E0,-3.882316589E1,-6.189605713E0
5.547793750E-1,5.625732422E0,-3.872964478E1,-6.336029053E0
5.748663750E-1,5.808380127E0,-3.879312134E1,-6.680130005E0
5.949533750E-1,6.023620605E0,-3.861219788E1,-7.385498047E0
6.150403750E-1,6.034637451E0,-3.843688965E1,-7.903701782E0
6.351273750E-1,6.169128418E0,-3.825086975E1,-8.732070923E0
6.552143750E-1,6.334594727E0,-3.802931213E1,-9.236907959E0
6.753013750E-1,6.535156250E0,-3.782499695E1,-9.686645508E0
6.953883750E-1,6.554504395E0,-3.782299805E1,-1.012100220E1
7.154743750E-1,6.458282471E0,-3.763328552E1,-1.014965820E1
7.355613750E-1,6.154937744E0,-3.763212585E1,-1.062229919E1
7.556483750E-1,5.775512695E0,-3.750559998E1,-1.073947144E1
7.757353750E-1,5.582122803E0,-3.746478271E1,-1.105503845E1
7.958223750E-1,5.182586670E0,-3.754875183E1,-1.139620972E1
8.159093750E-1,4.771514893E0,-3.761247253E1,-1.161585999E1
8.359963750E-1,4.042297363E0,-3.765470886E1,-1.176448059E1
8.560833750E-1,3.562042236E0,-3.782603455E1,-1.146591187E1
8.761703750E-1,2.981719971E0,-3.789459229E1,-1.155659485E1
8.962573750E-1,2.358734131E0,-3.801062012E1,-1.142398071E1
9.163443750E-1,1.855651855E0,-3.809799194E1,-1.140820312E1
9.364318333E-1,1.312744141E0,-3.836170959E1,-1.130345154E1
9.565188333E-1,7.068176270E-1,-3.849972534E1,-1.104479980E1
9.766058333E-1,3.052978516E-1,-3.846737671E1,-1.065110779E1
9.966928333E-1,-2.444458008E-2,-3.856092834E1,-1.079673767E1
1.016778833E0,-1.573791504E-1,-3.849200439E1,-1.077586365E1
1.036865833E0,-4.284667969E-2,-3.842948914E1,-1.095193481E1
1.056952833E0,1.889038086E-1,-3.820584106E1,-1.131639099E1
1.077039833E0,2.495117188E-1,-3.830340576E1,-1.169987488E1
1.097126833E0,5.950012207E-1,-3.823478699E1,-1.180606079E1
1.117213833E0,7.722778320E-1,-3.826130676E1,-1.173204041E1
1.137300833E0,1.055389404E0,-3.825500488E1,-1.154866028E1
1.157387833E0,1.311767578E0,-3.816304016E1,-1.144874573E1
1.177474833E0,1.651275635E0,-3.812767029E1,-1.153909302E1
1.197561833E0,2.035369873E0,-3.799819946E1,-1.195915222E1
1.217648833E0,2.505828857E0,-3.776109314E1,-1.224356079E1
1.237735833E0,3.133453369E0,-3.763285828E1,-1.275270081E1
1.257822833E0,3.805511475E0,-3.723402405E1,-1.344647217E1
